N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
28,0.8,94000,19497,17092,357711,59306,17092,5.812195192798964,1.098401646536512,0.9817184643510055,5.652737676360096,False,0
28,0.8,94001,25498,21478,351659,55051,21477,5.686736884652738,1.0746922548749533,0.9725274725274725,5.0907239013389844,False,0
28,0.8,94002,24000,20538,353161,56013,20537,5.759099267191841,1.0883674597659954,0.9728813559322034,5.228649719238458,False,0
28,0.8,94003,25497,21277,351665,55017,21275,5.749577466669977,1.0865680086078227,0.9768683274021353,5.251198310925963,False,0
28,0.8,94004,25499,21502,351683,55302,21500,5.900496532434632,1.1150890311872141,0.9692307692307692,4.78285906553585,False,0
28,0.8,94005,25500,21537,351704,55206,21535,6.03030127660541,1.139619822049517,0.9802158273381295,5.293271130085764,False,0
28,0.8,94006,21003,18238,356132,58316,18235,5.644508987020294,1.066711932337486,0.9682539682539683,4.757874076547358,False,0
28,0.8,94007,29995,24736,347152,51683,24734,5.918120519320296,1.118419651644995,0.9807692307692307,5.133328211773995,False,0
28,0.8,94008,28495,23817,348660,52844,23817,5.8197387621370185,1.0998272471412451,0.9663120567375887,4.745303651294164,False,0
28,0.8,94009,18001,15950,359151,60799,15949,5.773029169833118,1.0909999639214356,0.9876106194690265,5.1386768773028475,False,0
28,0.8,94010,24002,20435,353206,56258,20435,5.664518011732726,1.0704932825779176,0.9857397504456328,5.301510788286249,False,0
28,0.8,94011,25497,21763,351664,54797,21762,5.83785479608766,1.103250855753831,0.9801324503311258,4.874388064827292,False,0
28,0.8,94012,23998,20516,353186,56047,20514,5.726354091560921,1.0821792032405277,0.9787234042553191,5.1640944554191845,False,0
28,0.8,94013,22497,19374,354667,57153,19373,6.029150147554164,1.139402279106907,0.9666080843585237,4.960878937509584,False,0
28,0.8,94014,28499,23810,348658,52437,23809,5.595313625168104,1.0574148828290055,0.9832402234636871,5.503605990262747,False,0
28,0.8,94015,20998,18236,356178,58203,18235,5.764555045386666,1.0893985049311266,0.9854014598540146,5.5883841720136935,False,0
28,0.8,94016,19497,17015,357632,59583,17013,5.6692307940659585,1.0713839147234114,0.975,5.141964092157609,False,0
28,0.8,94017,28498,23481,348651,53162,23480,5.931736481488357,1.1209928266276772,0.9747292418772563,5.086303294563139,False,0
