N,n,seed_a,seed_b,d_l2
23,0.8,80000,80001,0.00170536869643137
23,0.8,80000,80002,0.0034786482843272718
23,0.8,80000,80003,0.0020616622303875455
23,0.8,80000,80004,0.003098812230488919
23,0.8,80000,80005,0.0010906849546564743
23,0.8,80000,80006,0.0018221378458160012
23,0.8,80000,80007,0.002713630684701657
23,0.8,80000,80008,0.0026102016672212756
23,0.8,80000,80009,0.0019135924853543244
23,0.8,80000,80010,0.0019058786524445404
23,0.8,80000,80011,0.0037394856211265723
23,0.8,80000,80012,0.0020010766407734773
23,0.8,80000,80013,0.0005621182220999571
23,0.8,80000,80014,0.002716847377735892
23,0.8,80000,80015,0.0032246109541038833
23,0.8,80000,80016,0.0023642623277782293
23,0.8,80000,80017,0.0006517621258525941
23,0.8,80000,80018,0.00045627410455982765
23,0.8,80000,80019,0.002500853644414692
23,0.8,80001,80002,0.0018646724811129092
23,0.8,80001,80003,0.0004204021915882598
23,0.8,80001,80004,0.0014244156427761666
23,0.8,80001,80005,0.0007312579433982785
23,0.8,80001,80006,0.0002516700335503696
23,0.8,80001,80007,0.0010220999027842426
23,0.8,80001,80008,0.000939891703593897
23,0.8,80001,80009,0.0005449268683404028
23,0.8,80001,80010,0.0006264832841896142
23,0.8,80001,80011,0.002071841947457723
23,0.8,80001,80012,0.0006794482007235729
23,0.8,80001,80013,0.0011567561116902427
23,0.8,80001,80014,0.0010282860584971737
23,0.8,80001,80015,0.001722633234860075
23,0.8,80001,80016,0.000739067862035392
23,0.8,80001,80017,0.001989060633577407
23,0.8,80001,80018,0.0020202938496353073
23,0.8,80001,80019,0.000819161975684649
23,0.8,80002,80003,0.0016501341395428702
23,0.8,80002,80004,0.0006385732662026886
23,0.8,80002,80005,0.0023953062830802084
23,0.8,80002,80006,0.0017561295262935124
23,0.8,80002,80007,0.0009754389638886367
23,0.8,80002,80008,0.0010328752068944026
23,0.8,80002,80009,0.001992633736230784
23,0.8,80002,80010,0.00159926086308134
23,0.8,80002,80011,0.0009895521583130349
23,0.8,80002,80012,0.001505229157054013
23,0.8,80002,80013,0.0029291581568294837
23,0.8,80002,80014,0.0010677849880187465
23,0.8,80002,80015,0.0004564107663884319
23,0.8,80002,80016,0.001356360169616185
23,0.8,80002,80017,0.003836071276425728
23,0.8,80002,80018,0.0037375370154495774
23,0.8,80002,80019,0.001077203449114552
23,0.8,80003,80004,0.0011201869059198227
23,0.8,80003,80005,0.0011276401770140265
23,0.8,80003,80006,0.00031343727639806726
23,0.8,80003,80007,0.0007168926558273189
23,0.8,80003,80008,0.0006414037272109298
23,0.8,80003,80009,0.00037131309257293463
