N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
22,0.8,98000,22,0.8,98001,0.0008222268727021765
22,0.8,98000,22,0.8,98002,0.0009712001952918739
22,0.8,98000,22,0.8,98003,0.0011130756288984442
22,0.8,98000,22,0.8,98004,0.0002717111665175393
22,0.8,98000,22,0.8,98005,0.0016789709121362217
22,0.8,98000,22,0.8,98006,0.0010800416733564486
22,0.8,98000,22,0.8,98007,0.0011196295850551532
22,0.8,98000,22,0.8,98008,0.0004164611452772731
22,0.8,98000,22,0.8,98009,0.0003502425918584647
22,0.8,98000,22,0.8,98010,0.0009836437952723612
22,0.8,98000,22,0.8,98011,0.0004299983316752515
22,0.8,98000,22,0.8,98012,0.0018355676264986444
22,0.8,98000,22,0.8,98013,0.0017888814950293862
22,0.8,98000,22,0.8,98014,0.0015811596669616356
22,0.8,98000,22,0.8,98015,0.001171252739114378
22,0.8,98000,22,0.8,98016,0.0017671817472067978
22,0.8,98000,22,0.8,98017,0.0010950661084790261
22,0.8,98000,22,0.8,98018,0.0005665335936514623
22,0.8,98000,22,0.8,98019,0.0009027674410033215
22,0.8,98000,23,0.8,98000,0.002472300357252626
22,0.8,98000,23,0.8,98001,0.0011632305483566482
22,0.8,98000,23,0.8,98002,0.002248029821837946
22,0.8,98000,23,0.8,98003,0.004399094855091254
22,0.8,98000,23,0.8,98004,0.0017990753243678607
22,0.8,98000,23,0.8,98005,0.0024213609746940486
22,0.8,98000,23,0.8,98006,0.0021992909643804097
22,0.8,98000,23,0.8,98007,0.003668803789705816
22,0.8,98000,23,0.8,98008,0.0016677933204441175
22,0.8,98000,23,0.8,98009,0.0012750342954527844
22,0.8,98000,23,0.8,98010,0.0018658447174927676
22,0.8,98000,23,0.8,98011,0.002091261647609993
22,0.8,98000,23,0.8,98012,0.0013243712224858988
22,0.8,98000,23,0.8,98013,0.0014703333020797808
22,0.8,98000,23,0.8,98014,0.0024294037786309515
22,0.8,98000,23,0.8,98015,0.0020727747966165482
22,0.8,98000,23,0.8,98016,0.0038186807635603947
22,0.8,98000,23,0.8,98017,0.0018123151675120172
22,0.8,98000,23,0.8,98018,0.0013911517018156247
22,0.8,98000,23,0.8,98019,0.0012874853502719739
22,0.8,98000,24,0.8,98000,0.0042173496247643275
22,0.8,98000,24,0.8,98001,0.0019366268156645022
22,0.8,98000,24,0.8,98002,0.0020965363403075542
22,0.8,98000,24,0.8,98003,0.003977916824489306
22,0.8,98000,24,0.8,98004,0.003463367308421925
22,0.8,98000,24,0.8,98005,0.0025270309467379636
22,0.8,98000,24,0.8,98006,0.002073137591727292
22,0.8,98000,24,0.8,98007,0.003076737157728149
22,0.8,98000,24,0.8,98008,0.0024338697217804834
22,0.8,98000,24,0.8,98009,0.0023525010809055135
22,0.8,98000,24,0.8,98010,0.003020060811720403
22,0.8,98000,24,0.8,98011,0.0028064180163596664
22,0.8,98000,24,0.8,98012,0.003857345271150021
22,0.8,98000,24,0.8,98013,0.0022009051244172126
22,0.8,98000,24,0.8,98014,0.0027865972757570765
22,0.8,98000,24,0.8,98015,0.004067572716259257
22,0.8,98000,24,0.8,98016,0.0020574902920858337
22,0.8,98000,24,0.8,98017,0.004422510087452643
22,0.8,98000,24,0.8,98018,0.0025964879070803993
22,0.8,98000,24,0.8,98019,0.0039430486422979884
22,0.8,98000,28,0.8,98000,0.005168306931865297
22,0.8,98000,28,0.8,98001,0.005568123486979932
22,0.8,98000,28,0.8,98002,0.005475056897578756
22,0.8,98000,28,0.8,98003,0.0056117401655197815
22,0.8,98000,28,0.8,98004,0.004415792875927159
22,0.8,98000,28,0.8,98005,0.005553543151519347
22,0.8,98000,28,0.8,98006,0.005755187252209361
22,0.8,98000,28,0.8,98007,0.004462620035582862
22,0.8,98000,28,0.8,98008,0.004498786835748488
22,0.8,98000,28,0.8,98009,0.004989988606106017
22,0.8,98000,28,0.8,98010,0.0061847064110143145
22,0.8,98000,28,0.8,98011,0.0050380122439808665
22,0.8,98000,28,0.8,98012,0.00566393364562429
22,0.8,98000,28,0.8,98013,0.006022542533868719
22,0.8,98000,28,0.8,98014,0.0057266284553646315
22,0.8,98000,28,0.8,98015,0.004448323596124065
22,0.8,98000,28,0.8,98016,0.004858963356961431
22,0.8,98000,28,0.8,98017,0.005372222076793656
22,0.8,98000,28,0.8,98018,0.004927707634003992
22,0.8,98000,28,0.8,98019,0.0042637574223316965
22,0.8,98001,22,0.8,98002,0.0017082857878511954
22,0.8,98001,22,0.8,98003,0.0008947421563300027
22,0.8,98001,22,0.8,98004,0.000860484283881265
22,0.8,98001,22,0.8,98005,0.0012217531604962243
22,0.8,98001,22,0.8,98006,0.0005291614953705746
22,0.8,98001,22,0.8,98007,0.0005685922563852746
22,0.8,98001,22,0.8,98008,0.000597599808031075
22,0.8,98001,22,0.8,98009,0.0011526854088557683
22,0.8,98001,22,0.8,98010,0.0003684958782002338
22,0.8,98001,22,0.8,98011,0.0012032916214078225
22,0.8,98001,22,0.8,98012,0.0011252719082685536
22,0.8,98001,22,0.8,98013,0.00116168472281029
22,0.8,98001,22,0.8,98014,0.0008973407034792807
22,0.8,98001,22,0.8,98015,0.0005620326427354713
22,0.8,98001,22,0.8,98016,0.0009983434903323434
22,0.8,98001,22,0.8,98017,0.0002827788259018351
22,0.8,98001,22,0.8,98018,0.0010050784721958052
22,0.8,98001,22,0.8,98019,0.00018528755502597973
22,0.8,98001,23,0.8,98000,0.001728295671367113
22,0.8,98001,23,0.8,98001,0.0009408453282284108
22,0.8,98001,23,0.8,98002,0.0015443374152986295
22,0.8,98001,23,0.8,98003,0.0036784839540274583
22,0.8,98001,23,0.8,98004,0.001003295227687217
22,0.8,98001,23,0.8,98005,0.0016597849964325065
22,0.8,98001,23,0.8,98006,0.0014929137565309358
22,0.8,98001,23,0.8,98007,0.0030115091520320878
22,0.8,98001,23,0.8,98008,0.0009001446799523289
22,0.8,98001,23,0.8,98009,0.0009367429321765496
22,0.8,98001,23,0.8,98010,0.0010502377138205791
22,0.8,98001,23,0.8,98011,0.0013108914734837693
22,0.8,98001,23,0.8,98012,0.0005588488064529841
22,0.8,98001,23,0.8,98013,0.0007818966847670354
22,0.8,98001,23,0.8,98014,0.0017291671031634658
22,0.8,98001,23,0.8,98015,0.0012525065466752166
22,0.8,98001,23,0.8,98016,0.0031209716553975845
22,0.8,98001,23,0.8,98017,0.001144813464608215
22,0.8,98001,23,0.8,98018,0.0005863085008871367
22,0.8,98001,23,0.8,98019,0.0005218057080522714
22,0.8,98001,24,0.8,98000,0.0034977625934403157
22,0.8,98001,24,0.8,98001,0.0011269316877704587
22,0.8,98001,24,0.8,98002,0.0012931930025460777
22,0.8,98001,24,0.8,98003,0.0032365996449494608
22,0.8,98001,24,0.8,98004,0.0026739876646622493
22,0.8,98001,24,0.8,98005,0.0018463503954405749
22,0.8,98001,24,0.8,98006,0.0012938258479002099
22,0.8,98001,24,0.8,98007,0.0023174430743321778
22,0.8,98001,24,0.8,98008,0.001651141166454329
22,0.8,98001,24,0.8,98009,0.0015755656565717693
22,0.8,98001,24,0.8,98010,0.002240201564147692
22,0.8,98001,24,0.8,98011,0.002058517816913204
22,0.8,98001,24,0.8,98012,0.0031849791994920363
22,0.8,98001,24,0.8,98013,0.001410613912153376
22,0.8,98001,24,0.8,98014,0.0020022490033961508
22,0.8,98001,24,0.8,98015,0.003338819081990019
22,0.8,98001,24,0.8,98016,0.0012627440995718496
22,0.8,98001,24,0.8,98017,0.0037298310171637733
22,0.8,98001,24,0.8,98018,0.0019408002152032336
22,0.8,98001,24,0.8,98019,0.0032140068246540353
22,0.8,98001,28,0.8,98000,0.00441957343587647
22,0.8,98001,28,0.8,98001,0.004847424584712921
22,0.8,98001,28,0.8,98002,0.004761904663809959
22,0.8,98001,28,0.8,98003,0.00491872710859079
22,0.8,98001,28,0.8,98004,0.003643488878933478
22,0.8,98001,28,0.8,98005,0.004848754867254324
22,0.8,98001,28,0.8,98006,0.005057460091189387
22,0.8,98001,28,0.8,98007,0.003701098544040007
22,0.8,98001,28,0.8,98008,0.003715901859019244
22,0.8,98001,28,0.8,98009,0.004250059472756064
22,0.8,98001,28,0.8,98010,0.005513520474464417
22,0.8,98001,28,0.8,98011,0.004275274007780312
22,0.8,98001,28,0.8,98012,0.004942485670914145
22,0.8,98001,28,0.8,98013,0.005320165319305379
22,0.8,98001,28,0.8,98014,0.005027640164253502
22,0.8,98001,28,0.8,98015,0.0036647613625231824
22,0.8,98001,28,0.8,98016,0.004109489251101036
22,0.8,98001,28,0.8,98017,0.004638724147620411
22,0.8,98001,28,0.8,98018,0.004176743737410987
22,0.8,98001,28,0.8,98019,0.0034781743572117924
22,0.8,98002,22,0.8,98003,0.00205484412154905
22,0.8,98002,22,0.8,98004,0.0008566776501884209
22,0.8,98002,22,0.8,98005,0.0026366197754649962
22,0.8,98002,22,0.8,98006,0.002036528586974769
22,0.8,98002,22,0.8,98007,0.002079122224947899
22,0.8,98002,22,0.8,98008,0.0013738822749252827
22,0.8,98002,22,0.8,98009,0.0006432938081429233
22,0.8,98002,22,0.8,98010,0.001937235940957798
22,0.8,98002,22,0.8,98011,0.0005602488105452154
22,0.8,98002,22,0.8,98012,0.0027764692830482556
22,0.8,98002,22,0.8,98013,0.002752533715063112
22,0.8,98002,22,0.8,98014,0.0025311675078962597
22,0.8,98002,22,0.8,98015,0.002126850779340713
22,0.8,98002,22,0.8,98016,0.002666042693615863
22,0.8,98002,22,0.8,98017,0.001988750394099332
22,0.8,98002,22,0.8,98018,0.0007973535005356358
22,0.8,98002,22,0.8,98019,0.0018121102678845
22,0.8,98002,23,0.8,98000,0.0034081852702115664
22,0.8,98002,23,0.8,98001,0.0015401422693904195
22,0.8,98002,23,0.8,98002,0.0032004516243491943
22,0.8,98002,23,0.8,98003,0.0053319532395041495
22,0.8,98002,23,0.8,98004,0.0026943526085665068
22,0.8,98002,23,0.8,98005,0.0033417726227683298
22,0.8,98002,23,0.8,98006,0.0031437602450343437
22,0.8,98002,23,0.8,98007,0.004625794588510906
22,0.8,98002,23,0.8,98008,0.0025942694681956122
22,0.8,98002,23,0.8,98009,0.0017023830214294034
22,0.8,98002,23,0.8,98010,0.0027369120016646816
22,0.8,98002,23,0.8,98011,0.003012447889912107
22,0.8,98002,23,0.8,98012,0.0021222954996919815
22,0.8,98002,23,0.8,98013,0.002423552427910485
22,0.8,98002,23,0.8,98014,0.0033802161994394876
22,0.8,98002,23,0.8,98015,0.002907111568555938
22,0.8,98002,23,0.8,98016,0.004762421150631337
22,0.8,98002,23,0.8,98017,0.0027580835635047985
22,0.8,98002,23,0.8,98018,0.0022871816224466356
22,0.8,98002,23,0.8,98019,0.0022046875855815866
22,0.8,98002,24,0.8,98000,0.005152114567149099
22,0.8,98002,24,0.8,98001,0.0027366237698069357
22,0.8,98002,24,0.8,98002,0.0029463084977563946
22,0.8,98002,24,0.8,98003,0.004910152912167036
22,0.8,98002,24,0.8,98004,0.004339076132758815
22,0.8,98002,24,0.8,98005,0.0034829163686546207
22,0.8,98002,24,0.8,98006,0.0029911679131380074
22,0.8,98002,24,0.8,98007,0.004005818673148373
22,0.8,98002,24,0.8,98008,0.0033459988955070775
22,0.8,98002,24,0.8,98009,0.0032761629092326852
22,0.8,98002,24,0.8,98010,0.003930703962752099
22,0.8,98002,24,0.8,98011,0.0037348207235918503
22,0.8,98002,24,0.8,98012,0.004809342454478101
22,0.8,98002,24,0.8,98013,0.0031030919202376206
22,0.8,98002,24,0.8,98014,0.003673027460290951
22,0.8,98002,24,0.8,98015,0.005006603244636484
22,0.8,98002,24,0.8,98016,0.002867600202291132
22,0.8,98002,24,0.8,98017,0.005372704979480504
22,0.8,98002,24,0.8,98018,0.0035541765472338967
22,0.8,98002,24,0.8,98019,0.004877501389614299
22,0.8,98002,28,0.8,98000,0.006063447046831333
22,0.8,98002,28,0.8,98001,0.006484725522014146
22,0.8,98002,28,0.8,98002,0.006398462442685791
22,0.8,98002,28,0.8,98003,0.006545495321244901
22,0.8,98002,28,0.8,98004,0.005297206760509518
22,0.8,98002,28,0.8,98005,0.0064844112726292905
22,0.8,98002,28,0.8,98006,0.00667480812635884
22,0.8,98002,28,0.8,98007,0.005354708855597214
22,0.8,98002,28,0.8,98008,0.005322216536247652
22,0.8,98002,28,0.8,98009,0.005884444677672418
22,0.8,98002,28,0.8,98010,0.007110377313065078
22,0.8,98002,28,0.8,98011,0.005903232489633862
22,0.8,98002,28,0.8,98012,0.006559323223724167
22,0.8,98002,28,0.8,98013,0.006935902206972156
22,0.8,98002,28,0.8,98014,0.006650120467565137
22,0.8,98002,28,0.8,98015,0.0053033748482028235
22,0.8,98002,28,0.8,98016,0.005752747359573001
22,0.8,98002,28,0.8,98017,0.0062699654138426856
