N,n,seed_a,seed_b,d_l2
24,0.8,98000,98001,0.002780679078240621
24,0.8,98000,98002,0.00238737151658552
24,0.8,98000,98003,0.000350487985715059
24,0.8,98000,98004,0.0012099869188724947
24,0.8,98000,98005,0.0017209473173689545
24,0.8,98000,98006,0.00222820803056503
24,0.8,98000,98007,0.001228319727405812
24,0.8,98000,98008,0.001899754362333706
24,0.8,98000,98009,0.0019823325043453782
24,0.8,98000,98010,0.0013672507824665113
24,0.8,98000,98011,0.0014477816636550057
24,0.8,98000,98012,0.0005774495927729855
24,0.8,98000,98013,0.0021405508264560193
24,0.8,98000,98014,0.0016440898155903009
24,0.8,98000,98015,0.00023874580425321907
24,0.8,98000,98016,0.0025512332899040547
24,0.8,98000,98017,0.0004331459256756262
24,0.8,98000,98018,0.0016758073445560277
24,0.8,98000,98019,0.00030922024930977977
24,0.8,98001,98002,0.0005149043933329218
24,0.8,98001,98003,0.0024720455296867827
24,0.8,98001,98004,0.001763482311132142
24,0.8,98001,98005,0.0014566378055091288
24,0.8,98001,98006,0.000748432181899533
24,0.8,98001,98007,0.0015746713521915747
24,0.8,98001,98008,0.0009322842854685816
24,0.8,98001,98009,0.0008998758678887683
24,0.8,98001,98010,0.0014198418794309248
24,0.8,98001,98011,0.0013950164573155936
24,0.8,98001,98012,0.002613546534744792
24,0.8,98001,98013,0.0007303399397705064
24,0.8,98001,98014,0.0011930609045813906
24,0.8,98001,98015,0.0026082878536755425
24,0.8,98001,98016,0.0004980921170166552
24,0.8,98001,98017,0.003073887797143359
24,0.8,98001,98018,0.0015949485867167226
24,0.8,98001,98019,0.002489527671287866
24,0.8,98002,98003,0.002101140896193195
24,0.8,98002,98004,0.0014076640844990582
24,0.8,98002,98005,0.0010920303520791004
24,0.8,98002,98006,0.0004329549862143973
24,0.8,98002,98007,0.0012097941447980383
24,0.8,98002,98008,0.0005591439711718765
24,0.8,98002,98009,0.0006140074593616843
24,0.8,98002,98010,0.0010639433469611414
24,0.8,98002,98011,0.0009917502975223824
24,0.8,98002,98012,0.002217452041371533
24,0.8,98002,98013,0.0003519764045021722
24,0.8,98002,98014,0.0007697198710166029
24,0.8,98002,98015,0.0022313148074792283
24,0.8,98002,98016,0.0002311378913137513
24,0.8,98002,98017,0.0026907043537342397
24,0.8,98002,98018,0.0012247094756851918
24,0.8,98002,98019,0.0020991260659483464
24,0.8,98003,98004,0.000917197402788742
24,0.8,98003,98005,0.0015046185685617483
24,0.8,98003,98006,0.0019539235710500646
24,0.8,98003,98007,0.0009305821183737658
24,0.8,98003,98008,0.001611292731353673
24,0.8,98003,98009,0.0016920689010879457
24,0.8,98003,98010,0.0010556653316816775
24,0.8,98003,98011,0.001180415561674688
24,0.8,98003,98012,0.0006253475903412755
24,0.8,98003,98013,0.0018584035574553718
24,0.8,98003,98014,0.001361060469430397
24,0.8,98003,98015,0.00018116308579285516
24,0.8,98003,98016,0.0022679490499659823
24,0.8,98003,98017,0.0006894048712534583
24,0.8,98003,98018,0.0014805920076775092
24,0.8,98003,98019,0.00015599803709959395
24,0.8,98004,98005,0.0013353893273251808
24,0.8,98004,98006,0.0014287530197873443
24,0.8,98004,98007,0.0006739497887858956
24,0.8,98004,98008,0.001074506805051208
24,0.8,98004,98009,0.0012140022056767558
24,0.8,98004,98010,0.0005607915375405798
24,0.8,98004,98011,0.000839574511225201
24,0.8,98004,98012,0.0013573158711688111
24,0.8,98004,98013,0.0012812391447728833
24,0.8,98004,98014,0.0006958104710771725
24,0.8,98004,98015,0.00108295241315145
24,0.8,98004,98016,0.0015278045521974165
24,0.8,98004,98017,0.0015958461131235719
24,0.8,98004,98018,0.0013927843630609533
24,0.8,98004,98019,0.0009666274060366788
