N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
22,0.8,98000,85387,42263,227249,21492,42261,5.000380663259683,1.0660847394577067,0.9655913978494624,4.668559140388026,False,0
22,0.8,98001,68182,38179,244411,25381,38178,5.10940508462309,1.089328824192641,0.969758064516129,4.59220125929687,False,0
22,0.8,98002,96614,43713,215975,19934,43712,5.4045353024770275,1.152250798057288,0.9797297297297297,5.20312472160578,False,0
22,0.8,98003,96633,45745,215983,17675,45745,5.316084134772657,1.1333929457402259,0.9803921568627451,5.179286296974635,False,0
22,0.8,98004,83923,43587,228701,19811,43587,5.268510765691001,1.123250269372567,0.9616252821670429,5.182431336013219,False,0
22,0.8,98005,71190,39577,241409,23922,39572,5.069803349877756,1.080885705976011,0.9766355140186916,5.253336767074389,False,0
22,0.8,98006,68956,38870,243669,24333,38862,5.084675385182162,1.0840564345565764,0.9719222462203023,4.956779767295683,False,0
22,0.8,98007,74960,41108,237610,22354,41099,5.0878697336695815,1.0847374719423837,0.9643652561247216,5.119994079598595,False,0
22,0.8,98008,83172,42963,229429,20470,42963,4.993075536038795,1.0645272811011446,0.98068669527897,5.173642996410168,False,0
22,0.8,98009,98117,44820,214509,18778,44820,5.150035781947389,1.0979913179682097,0.9764453961456103,4.8547308709380355,False,0
22,0.8,98010,72692,40778,239914,22724,40776,5.010304712233087,1.0682005538079848,0.9724137931034482,5.310807105590258,False,0
22,0.8,98011,87644,42974,225043,20913,42973,5.128815668291114,1.0934671745355444,0.977924944812362,5.206524205444455,False,0
22,0.8,98012,57716,35733,254938,27876,35733,5.35225434132266,1.141104459687417,0.9863636363636363,5.191445159249924,False,0
22,0.8,98013,71939,39809,240726,23688,39807,5.262642772295395,1.1219992089770539,0.9813084112149533,5.448337484745104,False,0
22,0.8,98014,69695,40042,242895,23515,40042,5.223302200395584,1.1136117708661748,0.9768421052631578,4.674786445636319,False,0
22,0.8,98015,74183,40931,238446,23213,40928,5.2522009843719575,1.1197730123117435,0.9864253393665159,5.4547608999056205,False,0
22,0.8,98016,59958,36357,252694,27518,36355,5.279168615195707,1.1255225305217806,0.9789227166276346,5.249088866290015,False,0
22,0.8,98017,62204,37503,250400,25787,37502,5.369997621013558,1.1448873396280144,0.960919540229885,5.101135719289309,False,0
22,0.8,98018,80172,43282,232423,20211,43281,5.4381337646462855,1.1594140142602207,0.9889867841409692,5.405353638722493,False,0
22,0.8,98019,74939,40191,237671,23507,40188,5.236054886224736,1.116330652620408,0.9728506787330317,5.136256889321762,False,0
23,0.8,98000,49470,33475,277354,33282,33474,0.04827847677227442,0.010066758295738895,0.9831932773109243,4.6493812528235345,False,0
23,0.8,98001,49464,31990,277389,34447,31987,5.068617387475874,1.056879784629033,0.9723865877712031,4.564450570391325,False,0
23,0.8,98002,56964,36844,269923,29320,36844,0.2517545201619073,0.052494446257780124,0.9822616407982262,5.444673588632082,False,0
23,0.8,98003,36737,28034,290141,38353,28032,5.234210719422064,1.0914083812115516,0.9660297239915074,5.0745796524053945,False,0
23,0.8,98004,53970,33897,272941,32547,33893,5.218578325643329,1.0881488017824692,0.9853556485355649,5.083479817100354,False,0
23,0.8,98005,50231,34165,276631,32013,34165,5.199329040546174,1.0841350483794183,0.9678800856531049,4.764330206242001,False,0
23,0.8,98006,60709,35739,266126,30380,35739,5.293224812747127,1.1037136703023365,0.9756592292089249,4.870941837897568,False,0
23,0.8,98007,48747,34076,278142,32172,34070,5.295182003956096,1.1041217728804724,0.9723991507430998,4.779871943299433,False,0
23,0.8,98008,50221,33204,276626,33023,33202,5.23277819281439,1.0911096787653312,0.9769392033542977,4.820415206697227,False,0
23,0.8,98009,55449,34863,271385,31803,34863,5.205484249511654,1.0854184981702542,0.9763948497854077,4.780122530779757,False,0
23,0.8,98010,50214,33688,276566,32501,33686,5.21530872658473,1.087467043250564,0.9868995633187773,5.228260816559263,False,0
23,0.8,98011,50974,33841,275877,32919,33840,0.7825987462840001,0.1631831190232096,1.0,5.8839160839217355,False,0
23,0.8,98012,62205,37040,264593,28766,37037,5.18136545820021,1.0803893825321835,0.9710467706013363,5.10441923956222,False,0
23,0.8,98013,59219,37066,267651,29243,37065,0.43567888780402253,0.09084532800749379,0.9867549668874173,5.118898489097405,False,0
23,0.8,98014,53975,36009,272896,30464,36006,0.6068397961258081,0.12653484451568758,0.9790794979079498,4.820389862072606,False,0
23,0.8,98015,45741,32516,281153,34230,32515,5.337979890522099,1.1130457491206638,0.9711934156378601,4.250462632651496,False,0
23,0.8,98016,46481,32216,280374,33994,32215,5.224376253117625,1.0893577532325174,0.9754601226993865,4.962182121405429,False,0
23,0.8,98017,61446,35837,265423,30830,35837,5.431279448413085,1.1325000517660868,0.9806451612903225,5.355654850320885,False,0
23,0.8,98018,59963,36618,266920,29889,36618,5.284439318694338,1.1018817681577173,0.979296066252588,4.918471706074139,False,0
23,0.8,98019,58471,36286,268379,30269,36284,5.316388728044079,1.1085436805277482,0.9804347826086957,4.941693035387163,False,0
24,0.8,98000,35237,27227,305869,42305,27225,0.6981100669940892,0.1425011207029749,0.9815573770491803,4.813678840609722,False,0
24,0.8,98001,45734,32382,295389,37195,32381,5.325919917298359,1.0871488506922469,0.9852631578947368,5.432954852149055,False,0
24,0.8,98002,44231,31008,296837,38189,31005,5.610695438609197,1.1452784105627993,0.970276008492569,4.945673235990453,False,0
24,0.8,98003,38983,29413,302147,40095,29413,5.538866096285232,1.1306163074583484,0.9812108559498957,5.3363313781065616,False,0
24,0.8,98004,35991,27439,305148,41819,27438,5.474544302112915,1.11748667620314,0.9779116465863453,4.98827034002481,False,0
24,0.8,98005,56227,36884,284866,31963,36881,5.472124745540638,1.1169927862859836,0.9729206963249516,5.0028003505730885,False,0
24,0.8,98006,53240,35297,287909,33966,35294,5.50465612856082,1.1236332270381908,0.9899396378269618,5.262070012211769,False,0
24,0.8,98007,43489,31682,297659,37486,31682,5.3504296703058145,1.0921518830747396,0.9746835443037974,5.104085834245529,False,0
24,0.8,98008,46484,32507,294673,36646,32505,5.273054672180527,1.076357777720093,0.9853556485355649,5.177038592209718,False,0
24,0.8,98009,41991,30311,299141,39045,30309,5.2480154728982535,1.0712466725693068,0.9773584905660377,4.558224936235474,False,0
24,0.8,98010,36742,27721,304357,41684,27721,5.34345951784795,1.0907291066621416,0.9828693790149893,5.53734386288431,False,0
24,0.8,98011,48724,33997,292399,35517,33997,5.437197321124623,1.1098632556319117,0.9614604462474645,5.126668221875728,False,0
24,0.8,98012,53217,35121,287847,33872,35120,5.339172034639172,1.0898539278169537,0.9670103092783505,4.742852029279809,False,0
24,0.8,98013,49459,31846,291622,37128,31845,5.341624605899675,1.0903545568291242,0.9774859287054409,4.225321616180493,False,0
24,0.8,98014,44987,32402,296128,37053,32400,5.304818966964317,1.082841637241729,0.9853862212943633,4.986811078330181,False,0
24,0.8,98015,36744,28263,304397,41449,28260,3.8020499287492155,0.7760901918350598,0.9752577319587629,5.168907872497686,False,0
24,0.8,98016,42733,30336,298330,38477,30334,5.146035163245263,1.0504300290309025,0.9760956175298805,4.850183292657022,False,0
24,0.8,98017,38240,29083,302814,40598,29081,5.396513905122776,1.1015587881154196,0.9775051124744376,5.281285408782033,False,0
24,0.8,98018,59969,37531,281116,31592,37529,5.38624960199407,1.099463596012871,0.96875,4.786100957803027,False,0
24,0.8,98019,38241,28933,302934,40545,28931,5.119144601558515,1.0449410161117887,0.9753593429158111,5.343581424669075,False,0
28,0.8,98000,25499,21600,372604,59482,21598,5.606001779504829,1.0594347541396663,0.9794168096054888,5.023868123316551,False,0
28,0.8,98001,26998,22771,371162,58060,22771,0.201525910274632,0.038084817237328046,0.9787985865724381,5.2287187541487725,False,0
28,0.8,98002,26995,22661,371095,57892,22659,6.151340226169003,1.1624940334422138,0.9673202614379085,4.761625944028218,False,0
28,0.8,98003,27000,22675,371170,58345,22674,0.7103876265121799,0.1342506424434759,0.9660714285714286,5.197101164432327,False,0
28,0.8,98004,29994,24621,368079,56422,24620,5.805532729358162,1.097142559294839,0.9719626168224299,5.605574317073707,False,0
28,0.8,98005,27750,23294,370328,57128,23292,5.932798385950063,1.1211935077078046,0.9859402460456942,5.6083752736036265,False,0
28,0.8,98006,24749,20912,373334,59317,20910,5.710961315659304,1.0792702420246258,0.9663551401869159,5.5218500399804205,False,0
28,0.8,98007,27000,22358,371127,58272,22358,5.882419073568614,1.1116727125803938,0.9773123909249564,4.814373088325909,False,0
28,0.8,98008,23250,19768,374861,60804,19766,5.7789257412652155,1.0921143111783824,0.978688524590164,4.859645160592404,False,0
28,0.8,98009,29247,24288,368912,56865,24287,1.060569253497915,0.20042874949406447,0.9639175257731959,4.752595292731408,False,0
28,0.8,98010,23998,20423,374122,60338,20421,5.7627913492341944,1.089065197687718,0.9741219963031423,5.385165537807577,False,0
28,0.8,98011,24748,21084,373343,59809,21082,5.453830195201794,1.0306770278056285,0.9667832167832168,4.894661660717322,False,0
28,0.8,98012,23250,19887,374842,60646,19885,5.830584645088563,1.1018769263582955,0.9712351945854484,5.145074407867489,False,0
28,0.8,98013,21002,18212,377143,63322,18211,5.802329248208747,1.0965371582626222,0.9695945945945946,4.872742561399326,False,0
28,0.8,98014,28492,23813,369633,57113,23812,5.798592374665435,1.0958309555428722,0.9665492957746479,5.2141082542047545,False,0
28,0.8,98015,26996,22717,371098,58201,22716,5.8501027275948205,1.1055654972426094,0.9644760213143873,4.970850422812611,False,0
28,0.8,98016,26999,22712,371086,57950,22710,5.771258764642937,1.0906653887890756,0.9850187265917603,5.63084771260345,False,0
28,0.8,98017,24747,21129,373361,60068,21129,6.026827953285133,1.1389634256403474,0.988976377952756,4.529267520285886,False,0
28,0.8,98018,27001,22671,371062,58444,22670,5.856716307152292,1.1068153462986816,0.9698492462311558,4.879124197422978,False,0
28,0.8,98019,22496,19172,375680,61632,19172,5.846455970064154,1.104876324848474,0.9875666074600356,5.340281192886092,False,0
