N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
10,0.7,90000,10,0.7,90001,0.0005092567004754094
10,0.7,90000,10,0.7,90002,0.00024035935200245078
10,0.7,90000,10,0.7,90003,0.0005270690074897986
10,0.7,90000,10,0.7,90004,0.0008195528291365597
10,0.7,90000,10,0.7,90005,0.0004696597017914055
10,0.7,90000,10,0.7,90006,0.0006035638633142399
10,0.7,90000,10,0.7,90007,0.0005700760020783748
10,0.7,90000,10,0.7,90008,0.0003737969058292362
10,0.7,90000,10,0.7,90009,0.0007746970709183975
10,0.7,90000,10,0.7,90010,0.0006962724322541612
10,0.7,90000,10,0.7,90011,0.000952724063661329
10,0.7,90000,10,0.7,90012,0.0002733019501590168
10,0.7,90000,10,0.7,90013,0.00027161448792980067
10,0.7,90000,10,0.7,90014,0.000545432423927386
10,0.7,90000,10,0.7,90015,0.0004970354397000018
10,0.7,90000,10,0.7,90016,0.00036890358871731124
10,0.7,90000,10,0.7,90017,0.0006291866070419431
10,0.7,90000,10,0.7,90018,0.00042443078421209
10,0.7,90000,10,0.7,90019,0.00045655277470080604
10,0.7,90000,12,0.7,90000,0.0023713128304145925
10,0.7,90000,12,0.7,90001,0.004245750782499064
10,0.7,90000,12,0.7,90002,0.001863897444462454
10,0.7,90000,12,0.7,90003,0.004041153991862024
10,0.7,90000,12,0.7,90004,0.002607946672003462
10,0.7,90000,12,0.7,90005,0.004616335156810764
10,0.7,90000,12,0.7,90006,0.00294465438543649
10,0.7,90000,12,0.7,90007,0.002832328829680834
10,0.7,90000,12,0.7,90008,0.0012701621616707356
10,0.7,90000,12,0.7,90009,0.0035525215109426106
10,0.7,90000,12,0.7,90010,0.0028744873034268195
10,0.7,90000,12,0.7,90011,0.001623975360799393
10,0.7,90000,12,0.7,90012,0.0019836304877562036
10,0.7,90000,12,0.7,90013,0.0017269392680362408
10,0.7,90000,12,0.7,90014,0.0021715583742665575
10,0.7,90000,12,0.7,90015,0.0025522630251404743
10,0.7,90000,12,0.7,90016,0.003956623163567368
10,0.7,90000,12,0.7,90017,0.003363012117714727
10,0.7,90000,12,0.7,90018,0.003200889699857132
10,0.7,90000,12,0.7,90019,0.0033993619026491174
10,0.7,90000,14,0.7,90000,0.007005537760387334
10,0.7,90000,14,0.7,90001,0.006702989294685997
10,0.7,90000,14,0.7,90002,0.004382794064263949
10,0.7,90000,14,0.7,90003,0.006595254699077705
10,0.7,90000,14,0.7,90004,0.005575895917072849
10,0.7,90000,14,0.7,90005,0.004974851362141817
10,0.7,90000,14,0.7,90006,0.005620476550416541
10,0.7,90000,14,0.7,90007,0.005460769755649768
10,0.7,90000,14,0.7,90008,0.006548166855013096
10,0.7,90000,14,0.7,90009,0.006082752493817794
10,0.7,90000,14,0.7,90010,0.006280123066255744
10,0.7,90000,14,0.7,90011,0.0055192481843062205
10,0.7,90000,14,0.7,90012,0.005993507111039051
10,0.7,90000,14,0.7,90013,0.005879122105305552
10,0.7,90000,14,0.7,90014,0.005211771418213363
10,0.7,90000,14,0.7,90015,0.006345978687402811
10,0.7,90000,14,0.7,90016,0.005790251580738649
10,0.7,90000,14,0.7,90017,0.0037037561804575897
10,0.7,90000,14,0.7,90018,0.007447076297338888
10,0.7,90000,14,0.7,90019,0.005327379769450829
10,0.7,90000,16,0.7,90000,0.007057793078881615
10,0.7,90000,16,0.7,90001,0.0071485698812124195
10,0.7,90000,16,0.7,90002,0.006842886102641646
10,0.7,90000,16,0.7,90003,0.006897008022308232
10,0.7,90000,16,0.7,90004,0.0072519932783752005
10,0.7,90000,16,0.7,90005,0.007711905707381858
10,0.7,90000,16,0.7,90006,0.007715703690039424
10,0.7,90000,16,0.7,90007,0.00664161735140464
10,0.7,90000,16,0.7,90008,0.007187032440949108
10,0.7,90000,16,0.7,90009,0.007570541437101334
10,0.7,90000,16,0.7,90010,0.0074374049681614025
10,0.7,90000,16,0.7,90011,0.008532650835084634
10,0.7,90000,16,0.7,90012,0.009016260952448995
10,0.7,90000,16,0.7,90013,0.008174371705343214
10,0.7,90000,16,0.7,90014,0.007707150458529197
10,0.7,90000,16,0.7,90015,0.006876333972694924
10,0.7,90000,16,0.7,90016,0.00722052082762266
10,0.7,90000,16,0.7,90017,0.00744686867772134
10,0.7,90000,16,0.7,90018,0.006679526273877886
10,0.7,90000,16,0.7,90019,0.008819331282788587
10,0.7,90000,18,0.7,90000,0.009495029189383703
10,0.7,90000,18,0.7,90001,0.008179164080227732
10,0.7,90000,18,0.7,90002,0.008825529929102485
10,0.7,90000,18,0.7,90003,0.009353643763769275
10,0.7,90000,18,0.7,90004,0.010065871613606284
10,0.7,90000,18,0.7,90005,0.008829082322080564
10,0.7,90000,18,0.7,90006,0.00777239001060573
10,0.7,90000,18,0.7,90007,0.0091229803794201
10,0.7,90000,18,0.7,90008,0.008912109040435079
10,0.7,90000,18,0.7,90009,0.008512508611223187
10,0.7,90000,18,0.7,90010,0.009904216096493692
10,0.7,90000,18,0.7,90011,0.007112721218052802
10,0.7,90000,18,0.7,90012,0.009801148142975856
10,0.7,90000,18,0.7,90013,0.00914358787548871
10,0.7,90000,18,0.7,90014,0.009999096335316128
10,0.7,90000,18,0.7,90015,0.009019538465175234
10,0.7,90000,18,0.7,90016,0.009288971233884563
10,0.7,90000,18,0.7,90017,0.008682023659184352
10,0.7,90000,18,0.7,90018,0.008823378598016124
10,0.7,90000,18,0.7,90019,0.007884137090396218
10,0.7,90000,20,0.7,90000,0.010276713991165894
10,0.7,90000,20,0.7,90001,0.010407413273274024
10,0.7,90000,20,0.7,90002,0.010047059485999725
10,0.7,90000,20,0.7,90003,0.009675980939982759
10,0.7,90000,20,0.7,90004,0.009519655512492477
10,0.7,90000,20,0.7,90005,0.009632353009510385
10,0.7,90000,20,0.7,90006,0.00990784193151783
10,0.7,90000,20,0.7,90007,0.008715592973333993
10,0.7,90000,20,0.7,90008,0.010159290805139989
10,0.7,90000,20,0.7,90009,0.00937413890361246
10,0.7,90000,20,0.7,90010,0.010405700976709138
10,0.7,90000,20,0.7,90011,0.01000618539930421
10,0.7,90000,20,0.7,90012,0.009827571024353308
10,0.7,90000,20,0.7,90013,0.010155210220267453
10,0.7,90000,20,0.7,90014,0.010635050423730068
10,0.7,90000,20,0.7,90015,0.009378339343747964
10,0.7,90000,20,0.7,90016,0.00980077028794604
10,0.7,90000,20,0.7,90017,0.009059698397651755
10,0.7,90000,20,0.7,90018,0.009190753745082788
10,0.7,90000,20,0.7,90019,0.009791989083200805
10,0.7,90000,22,0.7,90000,0.01084767458061037
10,0.7,90000,22,0.7,90001,0.010562526388182641
10,0.7,90000,22,0.7,90002,0.010891066758164746
10,0.7,90000,22,0.7,90003,0.011119020898225737
10,0.7,90000,22,0.7,90004,0.010297960576957262
10,0.7,90000,22,0.7,90005,0.010535661103971873
10,0.7,90000,22,0.7,90006,0.010053922826890523
10,0.7,90000,22,0.7,90007,0.011035001136577911
10,0.7,90000,22,0.7,90008,0.010791709704783525
10,0.7,90000,22,0.7,90009,0.01035453670965417
10,0.7,90000,22,0.7,90010,0.010130349691490266
10,0.7,90000,22,0.7,90011,0.010519153932219366
10,0.7,90000,22,0.7,90012,0.010507060016066695
10,0.7,90000,22,0.7,90013,0.01082827242418883
10,0.7,90000,22,0.7,90014,0.010095240075750881
10,0.7,90000,22,0.7,90015,0.01070934484557652
10,0.7,90000,22,0.7,90016,0.010639300365351571
10,0.7,90000,22,0.7,90017,0.010802229559160085
10,0.7,90000,22,0.7,90018,0.008813913770399306
10,0.7,90000,22,0.7,90019,0.011176705184661666
10,0.7,90000,8,0.7,90000,0.0005106551563025702
10,0.7,90000,8,0.7,90001,0.0008060980727738776
10,0.7,90000,8,0.7,90002,0.0014712573491793015
10,0.7,90000,8,0.7,90003,0.0006728262089605824
10,0.7,90000,8,0.7,90004,0.0012854752237487746
10,0.7,90000,8,0.7,90005,0.0018207133530647283
10,0.7,90000,8,0.7,90006,0.0012328156603779994
10,0.7,90000,8,0.7,90007,0.0014768177677630138
10,0.7,90000,8,0.7,90008,0.0011793752696769026
10,0.7,90000,8,0.7,90009,0.0005773125380295068
10,0.7,90000,8,0.7,90010,0.0006855021362977015
10,0.7,90000,8,0.7,90011,0.0008494602754367821
10,0.7,90000,8,0.7,90012,0.002127370793457099
10,0.7,90000,8,0.7,90013,0.0014602723897688779
10,0.7,90000,8,0.7,90014,0.0025229101745634984
10,0.7,90000,8,0.7,90015,0.0019220671226039
10,0.7,90000,8,0.7,90016,0.000966135410048504
10,0.7,90000,8,0.7,90017,0.001148798308604538
10,0.7,90000,8,0.7,90018,0.0016255803049011336
10,0.7,90000,8,0.7,90019,0.001983613618687524
10,0.7,90001,10,0.7,90002,0.0004989201165115653
10,0.7,90001,10,0.7,90003,0.00017904917065274462
10,0.7,90001,10,0.7,90004,0.0003407895738328204
10,0.7,90001,10,0.7,90005,0.0003374557484232649
10,0.7,90001,10,0.7,90006,0.0002816340255958556
10,0.7,90001,10,0.7,90007,0.0001776722075065485
10,0.7,90001,10,0.7,90008,0.0007329344621971822
10,0.7,90001,10,0.7,90009,0.0002824868448399245
10,0.7,90001,10,0.7,90010,0.0011700832437273308
10,0.7,90001,10,0.7,90011,0.00046856236231440727
10,0.7,90001,10,0.7,90012,0.0006413022240876487
10,0.7,90001,10,0.7,90013,0.000774377432305582
10,0.7,90001,10,0.7,90014,0.00010867295149349901
10,0.7,90001,10,0.7,90015,8.775606094700273e-05
10,0.7,90001,10,0.7,90016,0.0006556957978899119
10,0.7,90001,10,0.7,90017,0.0003469487648379277
10,0.7,90001,10,0.7,90018,0.000839051386232785
10,0.7,90001,10,0.7,90019,0.0002949102373910683
10,0.7,90001,12,0.7,90000,0.002862605986739227
