N,n,seed_a,seed_b,d_l2
22,0.7,90000,90001,0.00032458093932050667
22,0.7,90000,90002,7.797645959274548e-05
22,0.7,90000,90003,0.000635812133722418
22,0.7,90000,90004,0.0006908716019380012
22,0.7,90000,90005,0.0003711617896769914
22,0.7,90000,90006,0.0010868371805087625
22,0.7,90000,90007,0.00044144553271741055
22,0.7,90000,90008,0.00012082906443912438
22,0.7,90000,90009,0.0006335488442513363
22,0.7,90000,90010,0.0008108570459382342
22,0.7,90000,90011,0.0004389676582624917
22,0.7,90000,90012,0.0004051237715412598
22,0.7,90000,90013,0.0007596391605573341
22,0.7,90000,90014,0.0008966815326965445
22,0.7,90000,90015,0.00018776268108518544
22,0.7,90000,90016,0.0003067761922462348
22,0.7,90000,90017,0.00033003939954942806
22,0.7,90000,90018,0.0027496564130342926
22,0.7,90000,90019,0.0007095920686499296
22,0.7,90001,90002,0.00036534911530386645
22,0.7,90001,90003,0.0007947311133503965
22,0.7,90001,90004,0.00041708258176949796
22,0.7,90001,90005,7.28000434999638e-05
22,0.7,90001,90006,0.0008599448885335197
22,0.7,90001,90007,0.0006191905915410488
22,0.7,90001,90008,0.0002958417784916445
22,0.7,90001,90009,0.00041427163412398457
22,0.7,90001,90010,0.000501420120212873
22,0.7,90001,90011,0.00018213738782995082
22,0.7,90001,90012,0.00010637320518454044
22,0.7,90001,90013,0.0007667838780764914
22,0.7,90001,90014,0.0005784101697816965
22,0.7,90001,90015,0.00016107240483117263
22,0.7,90001,90016,0.00020585148333260309
22,0.7,90001,90017,0.00036423944631670205
22,0.7,90001,90018,0.002485095181069907
22,0.7,90001,90019,0.0008792222903739093
22,0.7,90002,90003,0.0006185450269195634
22,0.7,90002,90004,0.0007302122035919518
22,0.7,90002,90005,0.00040879305556722797
22,0.7,90002,90006,0.001124940100797396
22,0.7,90002,90007,0.00042680759357687566
22,0.7,90002,90008,0.000157445582583994
22,0.7,90002,90009,0.0006740820103796596
22,0.7,90002,90010,0.0008522191891245475
22,0.7,90002,90011,0.00047918075134544127
22,0.7,90002,90012,0.000435918668112648
22,0.7,90002,90013,0.0007641995917847307
22,0.7,90002,90014,0.0009347349868666275
22,0.7,90002,90015,0.00022001269579649405
22,0.7,90002,90016,0.00033347066859432394
22,0.7,90002,90017,0.0003455916300304075
22,0.7,90002,90018,0.002786895205741038
22,0.7,90002,90019,0.0006896160900859206
22,0.7,90003,90004,0.0011830906707480482
22,0.7,90003,90005,0.0008342440042558343
22,0.7,90003,90006,0.0016482250317946703
22,0.7,90003,90007,0.0001960856852008801
22,0.7,90003,90008,0.0007499846392177023
22,0.7,90003,90009,0.0011985390053831264
22,0.7,90003,90010,0.001252712061984556
22,0.7,90003,90011,0.0008767307835968863
22,0.7,90003,90012,0.0008143683626271803
22,0.7,90003,90013,0.00037021129332878163
22,0.7,90003,90014,0.0012005019638709146
22,0.7,90003,90015,0.0006931260057246065
22,0.7,90003,90016,0.0006280214404665945
22,0.7,90003,90017,0.0004565314302618921
22,0.7,90003,90018,0.0032582247300133064
22,0.7,90003,90019,0.00010135394253436436
22,0.7,90004,90005,0.0003623997028775002
22,0.7,90004,90006,0.0004893488061817868
22,0.7,90004,90007,0.001013794739573219
22,0.7,90004,90008,0.0006232517860423935
22,0.7,90004,90009,0.0001963859474140607
22,0.7,90004,90010,0.00020178959262802395
22,0.7,90004,90011,0.0003104300618836373
22,0.7,90004,90012,0.00041272297976657107
22,0.7,90004,90013,0.0011042745886385838
22,0.7,90004,90014,0.00041511239079806083
22,0.7,90004,90015,0.0005343538840889054
22,0.7,90004,90016,0.0006105356472649136
22,0.7,90004,90017,0.0007295607325335515
22,0.7,90004,90018,0.0020858798003169196
22,0.7,90004,90019,0.0012731647808868207
22,0.7,90005,90006,0.0008188440796771286
22,0.7,90005,90007,0.0006609401214127408
22,0.7,90005,90008,0.00034022521926106806
22,0.7,90005,90009,0.00038096458276320284
22,0.7,90005,90010,0.0004558061730359242
22,0.7,90005,90011,0.0001262633537184008
22,0.7,90005,90012,0.00010723918865648672
22,0.7,90005,90013,0.0007942840471258643
22,0.7,90005,90014,0.000533651195783528
22,0.7,90005,90015,0.0001986944981973712
22,0.7,90005,90016,0.0002598386227399709
22,0.7,90005,90017,0.0003913779141235633
22,0.7,90005,90018,0.002437939440998553
22,0.7,90005,90019,0.0009208278790503823
22,0.7,90006,90007,0.0014685976464426308
22,0.7,90006,90008,0.0009900971951909527
22,0.7,90006,90009,0.0004571203864657835
22,0.7,90006,90010,0.0005066693436454255
22,0.7,90006,90011,0.0007871376840474935
22,0.7,90006,90012,0.0008630263183746477
22,0.7,90006,90013,0.0015837889645261545
22,0.7,90006,90014,0.000757820564563071
22,0.7,90006,90015,0.0009672711739112889
22,0.7,90006,90016,0.0010538038848628382
22,0.7,90006,90017,0.001200297444735433
22,0.7,90006,90018,0.0016722309784796337
22,0.7,90006,90019,0.001735329135478934
22,0.7,90007,90008,0.0005562415213264017
22,0.7,90007,90009,0.0010157249933207956
22,0.7,90007,90010,0.0010959719162652855
22,0.7,90007,90011,0.0007098010323058352
22,0.7,90007,90012,0.0006499264044128503
22,0.7,90007,90013,0.00042995460211073673
22,0.7,90007,90014,0.001074512663879936
22,0.7,90007,90015,0.0005081512150871682
22,0.7,90007,90016,0.00046476961554079696
22,0.7,90007,90017,0.00029997981391248485
22,0.7,90007,90018,0.0030957355936302683
22,0.7,90007,90019,0.00027546190510322854
22,0.7,90008,90009,0.0005422852100519814
22,0.7,90008,90010,0.0007493346581324402
22,0.7,90008,90011,0.00041241970255060317
22,0.7,90008,90012,0.0003839613351665048
22,0.7,90008,90013,0.000854969700548661
