N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
22,0.8,84000,22,0.8,84001,0.0004960417038131064
22,0.8,84000,22,0.8,84002,0.00153629534764642
22,0.8,84000,22,0.8,84003,0.001590792431945629
22,0.8,84000,22,0.8,84004,0.0007110227259878709
22,0.8,84000,22,0.8,84005,0.0004128634670993759
22,0.8,84000,22,0.8,84006,0.001205576068565711
22,0.8,84000,22,0.8,84007,0.0014093212761495623
22,0.8,84000,22,0.8,84008,0.00023552561491891165
22,0.8,84000,22,0.8,84009,0.000838436958595242
22,0.8,84000,22,0.8,84010,0.0017522181022562994
22,0.8,84000,22,0.8,84011,0.0001531262393910725
22,0.8,84000,22,0.8,84012,0.001521901449883805
22,0.8,84000,22,0.8,84013,0.0016377655761548478
22,0.8,84000,22,0.8,84014,0.001248680612187014
22,0.8,84000,22,0.8,84015,0.0018876094263023998
22,0.8,84000,22,0.8,84016,0.0021549074691628433
22,0.8,84000,22,0.8,84017,0.0010489393598966201
22,0.8,84000,22,0.8,84018,0.0004827054958268298
22,0.8,84000,22,0.8,84019,0.0004351631581542239
22,0.8,84000,23,0.8,84000,0.0005535745313791434
22,0.8,84000,23,0.8,84001,0.00013467980674125267
22,0.8,84000,23,0.8,84002,0.0009281597155471415
22,0.8,84000,23,0.8,84003,0.0011655703740386261
22,0.8,84000,23,0.8,84004,0.0010645167633104638
22,0.8,84000,23,0.8,84005,0.0029732391732227572
22,0.8,84000,23,0.8,84006,0.0006614557883025587
22,0.8,84000,23,0.8,84007,0.0017536422705266765
22,0.8,84000,23,0.8,84008,0.0003157656856139609
22,0.8,84000,23,0.8,84009,0.0010662949334854005
22,0.8,84000,23,0.8,84010,0.0005965248025397318
22,0.8,84000,23,0.8,84011,0.000595573977626123
22,0.8,84000,23,0.8,84012,0.0012516191458651327
22,0.8,84000,23,0.8,84013,0.0003243184345383099
22,0.8,84000,23,0.8,84014,0.0003415267452665223
22,0.8,84000,23,0.8,84015,0.00215677697220113
22,0.8,84000,23,0.8,84016,0.0016471155160779573
22,0.8,84000,23,0.8,84017,0.001810831505181633
22,0.8,84000,23,0.8,84018,0.0010051615095478124
22,0.8,84000,23,0.8,84019,0.0007009748831437523
22,0.8,84000,24,0.8,84000,0.0016173153204964257
22,0.8,84000,24,0.8,84001,0.0017875902108911747
22,0.8,84000,24,0.8,84002,0.0023973058350690007
22,0.8,84000,24,0.8,84003,0.0012920890572753585
22,0.8,84000,24,0.8,84004,0.0009805916825849188
22,0.8,84000,24,0.8,84005,0.0014652362859781734
22,0.8,84000,24,0.8,84006,0.001546949897196002
22,0.8,84000,24,0.8,84007,0.0018307647172255924
22,0.8,84000,24,0.8,84008,0.0008043303495432493
22,0.8,84000,24,0.8,84009,0.0011266973958388295
22,0.8,84000,24,0.8,84010,0.0006678432150255119
22,0.8,84000,24,0.8,84011,0.0006959125655699813
22,0.8,84000,24,0.8,84012,0.001246556992237677
22,0.8,84000,24,0.8,84013,0.0012130052012543423
22,0.8,84000,24,0.8,84014,0.001060197649648017
22,0.8,84000,24,0.8,84015,0.0017707859296640107
22,0.8,84000,24,0.8,84016,0.001696683230283568
22,0.8,84000,24,0.8,84017,0.0011619945681335506
22,0.8,84000,24,0.8,84018,0.0014573925780032259
22,0.8,84000,24,0.8,84019,0.0022651505781977935
22,0.8,84000,28,0.8,84000,0.0026436581710630636
22,0.8,84000,28,0.8,84001,0.0027010942349487282
22,0.8,84000,28,0.8,84002,0.0032724967517040997
22,0.8,84000,28,0.8,84003,0.0038598075933989435
22,0.8,84000,28,0.8,84004,0.0023440568163287517
22,0.8,84000,28,0.8,84005,0.002980254543997498
22,0.8,84000,28,0.8,84006,0.0037724471399552787
22,0.8,84000,28,0.8,84007,0.003185618357791535
22,0.8,84000,28,0.8,84008,0.0037024163597985673
22,0.8,84000,28,0.8,84009,0.003325469169448749
22,0.8,84000,28,0.8,84010,0.0028316873605398114
22,0.8,84000,28,0.8,84011,0.0029743514718695665
22,0.8,84000,28,0.8,84012,0.004216483250022632
22,0.8,84000,28,0.8,84013,0.0034605689657110244
22,0.8,84000,28,0.8,84014,0.001855836475094792
22,0.8,84000,28,0.8,84015,0.0030992099127541144
22,0.8,84000,28,0.8,84016,0.0029172888637892165
22,0.8,84000,28,0.8,84017,0.0022514624223918807
22,0.8,84000,28,0.8,84018,0.0033023407055207104
22,0.8,84000,28,0.8,84019,0.0026579554479792297
22,0.8,84001,22,0.8,84002,0.0011156457792620262
22,0.8,84001,22,0.8,84003,0.0011602727066786385
22,0.8,84001,22,0.8,84004,0.0003065659451711983
22,0.8,84001,22,0.8,84005,0.0002508063724912143
22,0.8,84001,22,0.8,84006,0.0009621888739613951
22,0.8,84001,22,0.8,84007,0.0010189521302002584
22,0.8,84001,22,0.8,84008,0.0006799473688738916
22,0.8,84001,22,0.8,84009,0.0004699225180035356
22,0.8,84001,22,0.8,84010,0.0014410764327849846
22,0.8,84001,22,0.8,84011,0.0004107652920484267
22,0.8,84001,22,0.8,84012,0.0012697959560715993
22,0.8,84001,22,0.8,84013,0.0012871119476662737
22,0.8,84001,22,0.8,84014,0.0008559667146083457
22,0.8,84001,22,0.8,84015,0.0014465049883522715
22,0.8,84001,22,0.8,84016,0.001760181137242704
22,0.8,84001,22,0.8,84017,0.00062466349051532
22,0.8,84001,22,0.8,84018,0.0005171644097269455
22,0.8,84001,22,0.8,84019,0.00038448647421212537
22,0.8,84001,23,0.8,84000,0.0008508695936674308
22,0.8,84001,23,0.8,84001,0.0004728444748612161
22,0.8,84001,23,0.8,84002,0.0013365462191893141
22,0.8,84001,23,0.8,84003,0.0012425239292260663
22,0.8,84001,23,0.8,84004,0.001501192315607247
22,0.8,84001,23,0.8,84005,0.002634183882650857
22,0.8,84001,23,0.8,84006,0.0011379081985476431
22,0.8,84001,23,0.8,84007,0.0014206154761966803
22,0.8,84001,23,0.8,84008,0.0007749756371047447
22,0.8,84001,23,0.8,84009,0.0015529590496993924
22,0.8,84001,23,0.8,84010,0.0010161238638021783
22,0.8,84001,23,0.8,84011,0.0005788157982125266
22,0.8,84001,23,0.8,84012,0.0011878157363549224
22,0.8,84001,23,0.8,84013,0.0007830962306483024
22,0.8,84001,23,0.8,84014,0.0006750911420632576
22,0.8,84001,23,0.8,84015,0.0018566074293151155
22,0.8,84001,23,0.8,84016,0.0013369235806893554
22,0.8,84001,23,0.8,84017,0.0015087388973634203
22,0.8,84001,23,0.8,84018,0.0008873033420870867
22,0.8,84001,23,0.8,84019,0.0008379987888453998
22,0.8,84001,24,0.8,84000,0.0021034111675822995
22,0.8,84001,24,0.8,84001,0.0022635483058558712
22,0.8,84001,24,0.8,84002,0.0028578736515137157
22,0.8,84001,24,0.8,84003,0.0017749967641735886
22,0.8,84001,24,0.8,84004,0.0014632498470216104
22,0.8,84001,24,0.8,84005,0.001903142041302474
22,0.8,84001,24,0.8,84006,0.0020200299628267793
