N,n,seed_a,seed_b,d_l2
24,0.9,92000,92001,0.0015211970231613172
24,0.9,92000,92002,0.0026303887515395897
24,0.9,92000,92003,0.0011470978465541494
24,0.9,92000,92004,0.0009271012102956745
24,0.9,92000,92005,0.001843943132777139
24,0.9,92000,92006,0.0011427963460551973
24,0.9,92000,92007,0.001550599073789646
24,0.9,92000,92008,0.001971121374085363
24,0.9,92000,92009,0.000545227371343742
24,0.9,92000,92010,0.0018718312263676683
24,0.9,92000,92011,0.0012356789932559196
24,0.9,92000,92012,0.0011304132344080618
24,0.9,92000,92013,0.000449651462658099
24,0.9,92000,92014,0.0017086185433776067
24,0.9,92000,92015,0.002517228856537308
24,0.9,92000,92016,0.0019402783093111658
24,0.9,92000,92017,0.0016926640393100042
24,0.9,92000,92018,0.002337426400913173
24,0.9,92000,92019,0.0021172420416649775
24,0.9,92001,92002,0.001133749216265531
24,0.9,92001,92003,0.0003906713880814452
24,0.9,92001,92004,0.0006557465389680431
24,0.9,92001,92005,0.00033425132259015276
24,0.9,92001,92006,0.000408805583136544
24,0.9,92001,92007,0.0001264086693907845
24,0.9,92001,92008,0.0005131559267318051
24,0.9,92001,92009,0.0010075768617204353
24,0.9,92001,92010,0.0003546455009990618
24,0.9,92001,92011,0.0003381160761782131
24,0.9,92001,92012,0.0004237383409880384
24,0.9,92001,92013,0.0011953711437434921
24,0.9,92001,92014,0.00024291906001639
24,0.9,92001,92015,0.0010124684159413542
24,0.9,92001,92016,0.0004347117051259359
24,0.9,92001,92017,0.00031087468370594293
24,0.9,92001,92018,0.0008402680642505248
24,0.9,92001,92019,0.0006409718938630069
24,0.9,92002,92003,0.0015132848575734772
24,0.9,92002,92004,0.0017824604364962656
24,0.9,92002,92005,0.0008102406495708307
24,0.9,92002,92006,0.0014909306463664876
24,0.9,92002,92007,0.0011418130828141657
24,0.9,92002,92008,0.000663552326788515
24,0.9,92002,92009,0.0021353200326197463
24,0.9,92002,92010,0.0008058348192633486
24,0.9,92002,92011,0.0014576555985527867
24,0.9,92002,92012,0.001552982619541791
24,0.9,92002,92013,0.002322467974595807
24,0.9,92002,92014,0.0009267826953538603
24,0.9,92002,92015,0.0001730974256708435
24,0.9,92002,92016,0.0007023873059247428
24,0.9,92002,92017,0.0009439762249171062
24,0.9,92002,92018,0.00030293836492403955
24,0.9,92002,92019,0.0005267434178771233
24,0.9,92003,92004,0.00032335458742070917
24,0.9,92003,92005,0.0007132067865121896
24,0.9,92003,92006,0.00018801556610090252
24,0.9,92003,92007,0.00040749865040540565
24,0.9,92003,92008,0.0008714441511640642
24,0.9,92003,92009,0.000631717050319949
24,0.9,92003,92010,0.0007383004940484791
24,0.9,92003,92011,0.00013013619980216935
24,0.9,92003,92012,0.0001242585720849729
24,0.9,92003,92013,0.0008162223760617303
24,0.9,92003,92014,0.0006035458007447806
24,0.9,92003,92015,0.0013894226858122802
24,0.9,92003,92016,0.000817645612914682
24,0.9,92003,92017,0.0006181983290006683
24,0.9,92003,92018,0.0012164619596563005
24,0.9,92003,92019,0.00100534380199592
24,0.9,92004,92005,0.0009755365662760981
24,0.9,92004,92006,0.0004051068996571253
24,0.9,92004,92007,0.0006652745764473752
24,0.9,92004,92008,0.001152671332093505
24,0.9,92004,92009,0.00039455673717474427
24,0.9,92004,92010,0.0009916183945732487
24,0.9,92004,92011,0.0003639347609082783
24,0.9,92004,92012,0.00025142240994912327
24,0.9,92004,92013,0.0005648139727333349
24,0.9,92004,92014,0.0008686693884527931
24,0.9,92004,92015,0.001657519464798833
24,0.9,92004,92016,0.0010847442538646352
24,0.9,92004,92017,0.0009031204611836403
24,0.9,92004,92018,0.0014879587952042876
24,0.9,92004,92019,0.001288045545434757
24,0.9,92005,92006,0.0007145989734782911
24,0.9,92005,92007,0.0003429160489700549
24,0.9,92005,92008,0.00024944592523644664
24,0.9,92005,92009,0.0013333200372134329
24,0.9,92005,92010,0.0001061620998694316
24,0.9,92005,92011,0.0006546056529387204
24,0.9,92005,92012,0.0007475285407712096
24,0.9,92005,92013,0.0015174060499391839
24,0.9,92005,92014,0.00017447280239626245
24,0.9,92005,92015,0.0006864460143053783
24,0.9,92005,92016,0.00013589670395249595
24,0.9,92005,92017,0.00028072952091018257
24,0.9,92005,92018,0.0005151430830898995
24,0.9,92005,92019,0.0003447067513219555
24,0.9,92006,92007,0.000471268160904832
24,0.9,92006,92008,0.0008338172864310945
24,0.9,92006,92009,0.00066821008644106
24,0.9,92006,92010,0.0007538634018091724
24,0.9,92006,92011,0.00027591893134161597
24,0.9,92006,92012,0.0002546212530264116
24,0.9,92006,92013,0.000862619286183856
24,0.9,92006,92014,0.0005762240449434806
24,0.9,92006,92015,0.001377148943391608
24,0.9,92006,92016,0.0008054613556510798
24,0.9,92006,92017,0.0005599698928134064
24,0.9,92006,92018,0.0011996970108882664
24,0.9,92006,92019,0.0009764072703937666
24,0.9,92007,92008,0.0005514317219748101
24,0.9,92007,92009,0.001024960732154451
24,0.9,92007,92010,0.00035242365014822625
24,0.9,92007,92011,0.0003277905065084166
24,0.9,92007,92012,0.0004324135819534576
24,0.9,92007,92013,0.0012002892477051006
24,0.9,92007,92014,0.00030563785245130793
24,0.9,92007,92015,0.001009851043673627
24,0.9,92007,92016,0.00045741803843031
24,0.9,92007,92017,0.0003914499608398458
24,0.9,92007,92018,0.0008473500936577767
24,0.9,92007,92019,0.0006605909220076375
24,0.9,92008,92009,0.0014869196030219223
24,0.9,92008,92010,0.00030523451260268066
24,0.9,92008,92011,0.0008345646568803343
24,0.9,92008,92012,0.0009231834623385906
24,0.9,92008,92013,0.0016770153249969627
24,0.9,92008,92014,0.0002948247552677255
24,0.9,92008,92015,0.0005646844612231079
24,0.9,92008,92016,0.00017142738312394442
24,0.9,92008,92017,0.0002848940433039833
24,0.9,92008,92018,0.00038020184337832967
24,0.9,92008,92019,0.00016967395057376533
24,0.9,92009,92010,0.0013548150463427765
24,0.9,92009,92011,0.0007092270596227925
24,0.9,92009,92012,0.0006036212651169182
24,0.9,92009,92013,0.00023647480105381963
24,0.9,92009,92014,0.0012126019448933613
24,0.9,92009,92015,0.0020152905755231633
24,0.9,92009,92016,0.0014363632647581923
24,0.9,92009,92017,0.0012185751129526444
24,0.9,92009,92018,0.0018391473896429483
24,0.9,92009,92019,0.0016282438846851339
24,0.9,92010,92011,0.0006718582598297209
24,0.9,92010,92012,0.0007643522703357599
24,0.9,92010,92013,0.0015396905407430396
24,0.9,92010,92014,0.00023485036698711855
24,0.9,92010,92015,0.000683835670305891
24,0.9,92010,92016,0.00015130657502005314
24,0.9,92010,92017,0.0003487870880292295
24,0.9,92010,92018,0.000519342616498896
24,0.9,92010,92019,0.00037679987909098694
24,0.9,92011,92012,0.0001321093215586655
24,0.9,92011,92013,0.000877825534499151
24,0.9,92011,92014,0.0005674798361027618
24,0.9,92011,92015,0.0013264965996126314
24,0.9,92011,92016,0.0007650461320025138
24,0.9,92011,92017,0.0006041766989515265
24,0.9,92011,92018,0.0011628409280304433
24,0.9,92011,92019,0.000956828863382267
24,0.9,92012,92013,0.0007787635784067196
24,0.9,92012,92014,0.0006463422326388065
24,0.9,92012,92015,0.0014262885843444426
24,0.9,92012,92016,0.0008562810743554045
24,0.9,92012,92017,0.0006779431695697973
24,0.9,92012,92018,0.0012582162724013167
24,0.9,92012,92019,0.001053736932079494
24,0.9,92013,92014,0.00140426897677799
24,0.9,92013,92015,0.002194777150478603
24,0.9,92013,92016,0.0016267312526716524
24,0.9,92013,92017,0.001412624793631917
24,0.9,92013,92018,0.0020257251127595664
24,0.9,92013,92019,0.001812629709109702
24,0.9,92014,92015,0.0008173388430186886
24,0.9,92014,92016,0.000243882662795747
24,0.9,92014,92017,0.0001599900469395619
24,0.9,92014,92018,0.0006344025602441595
24,0.9,92014,92019,0.0004384831584311529
24,0.9,92015,92016,0.0005918718838979046
24,0.9,92015,92017,0.0008436522545436589
24,0.9,92015,92018,0.0002082472667750829
24,0.9,92015,92019,0.0004160114694727484
24,0.9,92016,92017,0.0003121107289839155
24,0.9,92016,92018,0.00041276079218895855
24,0.9,92016,92019,0.0002490696914104695
24,0.9,92017,92018,0.0006595581478302271
24,0.9,92017,92019,0.0004380343150193198
24,0.9,92018,92019,0.00025680479785667896
