N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
32,0.85,114000,32,0.85,114001,0.0005462883338079373
32,0.85,114000,32,0.85,114002,0.0013719556856934862
32,0.85,114000,32,0.85,114003,0.0016028771731287728
32,0.85,114000,32,0.85,114004,0.0006633591143613251
32,0.85,114000,32,0.85,114005,0.0008974598275949271
32,0.85,114000,32,0.85,114006,0.0008567165237290453
32,0.85,114000,32,0.85,114007,0.0006742753622348118
32,0.85,114000,32,0.85,114008,0.0005796285487156584
32,0.85,114000,32,0.85,114009,0.00103605804226963
32,0.85,114000,40,0.85,114000,0.005200756233227325
32,0.85,114000,40,0.85,114001,0.0059267755414562084
32,0.85,114000,40,0.85,114002,0.004533260423752968
32,0.85,114000,40,0.85,114003,0.005034612781661657
32,0.85,114000,40,0.85,114004,0.004988202838562215
32,0.85,114000,40,0.85,114005,0.004636729400578141
32,0.85,114000,40,0.85,114006,0.005307176675017995
32,0.85,114000,40,0.85,114007,0.0053280170662908305
32,0.85,114000,40,0.85,114008,0.005046600163253374
32,0.85,114000,40,0.85,114009,0.004954288641526871
32,0.85,114000,48,0.85,114000,0.0071048341215219895
32,0.85,114000,48,0.85,114001,0.007149963786332795
32,0.85,114000,48,0.85,114002,0.0067738529030386165
32,0.85,114000,48,0.85,114003,0.006671237477671956
32,0.85,114000,48,0.85,114004,0.005682449907826905
32,0.85,114000,48,0.85,114005,0.00596772987704391
32,0.85,114000,48,0.85,114006,0.005049525579868297
32,0.85,114000,48,0.85,114007,0.007040756360267732
32,0.85,114000,48,0.85,114008,0.006775497890083977
32,0.85,114000,48,0.85,114009,0.0058273582680482315
32,0.85,114001,32,0.85,114002,0.0009020800249508853
32,0.85,114001,32,0.85,114003,0.0013163806186524017
32,0.85,114001,32,0.85,114004,0.0009848707576018121
32,0.85,114001,32,0.85,114005,0.0005351594872763456
32,0.85,114001,32,0.85,114006,0.0003952642848736762
32,0.85,114001,32,0.85,114007,0.00024792102012676675
32,0.85,114001,32,0.85,114008,8.567686178078894e-05
32,0.85,114001,32,0.85,114009,0.0006237936598294302
32,0.85,114001,40,0.85,114000,0.004971693448407274
32,0.85,114001,40,0.85,114001,0.005640528458703215
32,0.85,114001,40,0.85,114002,0.004374677610939157
32,0.85,114001,40,0.85,114003,0.004837713702181362
32,0.85,114001,40,0.85,114004,0.004793815504729695
32,0.85,114001,40,0.85,114005,0.004480676730704889
32,0.85,114001,40,0.85,114006,0.005055137031542711
32,0.85,114001,40,0.85,114007,0.005137874031186087
32,0.85,114001,40,0.85,114008,0.004855343619723687
32,0.85,114001,40,0.85,114009,0.004748574348060636
32,0.85,114001,48,0.85,114000,0.006857032724453506
