N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
32,0.85,114000,73443,42174,380919,27196,42174,6.087176181278099,1.0760708890147441,0.9978632478632479,7.949453086024258,False,0
32,0.85,114001,83178,46090,371099,23305,46089,6.29676954057383,1.1131221104271642,0.9936974789915967,8.565711156483697,False,0
32,0.85,114002,84666,45796,369631,24069,45793,6.329004344843612,1.1188204725995101,0.9900990099009901,7.548701890740482,False,0
32,0.85,114003,71963,43658,382432,26041,43657,6.014278038635439,1.0631841962651118,0.9845261121856866,7.292077693817616,False,0
32,0.85,114004,78670,43562,375631,26324,43560,6.1444942628397525,1.0862033900539563,0.9957894736842106,8.311379614759456,False,0
32,0.85,114005,86152,44987,368124,24762,44985,5.93869895479195,1.0498235755897123,0.9870410367170627,8.684265621694898,False,0
32,0.85,114006,80188,44584,374084,24818,44582,5.870423391420728,1.0377540471274318,0.9881188118811881,7.772085387490245,False,0
32,0.85,114007,81688,44925,372699,24677,44924,6.125737151812118,1.082887569953179,0.9918032786885246,7.930075588854254,False,0
32,0.85,114008,84678,45771,369574,23542,45767,6.115150914592383,1.081016169921848,0.9899396378269618,8.111203999857572,False,0
32,0.85,114009,109357,51097,344875,18101,51096,6.112273694043994,1.080507544381664,0.993963782696177,8.11495329626813,False,0
40,0.85,114000,26249,22131,542054,64236,22131,6.707867376520492,1.0606069576071513,0.9833055091819699,8.082983019723581,False,0
40,0.85,114001,28497,23598,539835,63155,23597,6.9348183075788645,1.0964910505691665,0.9773913043478261,8.56866715689163,False,0
40,0.85,114002,26997,22669,541296,64186,22667,7.285938469030757,1.1520080226988683,0.9902755267423015,7.915907486584708,False,0
40,0.85,114003,26998,22957,541362,63940,22954,6.759745503000195,1.068809609628059,0.9823434991974318,7.736407840053708,False,0
40,0.85,114004,28498,23926,539803,63202,23924,6.846676024509801,1.0825545319358896,0.9948364888123924,8.452004854663626,False,0
40,0.85,114005,27744,23485,540564,63538,23483,6.9668163088723105,1.1015503788021817,0.9902439024390244,7.835714418158151,False,0
40,0.85,114006,29997,25062,538352,61956,25060,6.974252918051891,1.1027262099559814,0.9855305466237942,7.9248918963742705,False,0
40,0.85,114007,24747,21290,543515,65510,21287,6.662761244022521,1.0534750518504048,0.9876543209876543,7.517293357591956,False,0
40,0.85,114008,26250,22359,542097,64497,22356,6.864270067225738,1.0853363943475225,0.9865771812080537,7.694613640760993,False,0
40,0.85,114009,27744,23226,540573,63344,23226,6.721525494720795,1.062766495710389,0.9866666666666667,7.493739166175593,False,0
48,0.85,114000,16501,15261,665803,88845,15260,7.6722942832524295,1.1074002924344544,0.989159891598916,7.805290263703601,False,0
48,0.85,114001,19498,17630,662792,86339,17630,7.483397505477671,1.080135391060127,0.9887798036465638,7.974966495222642,False,0
48,0.85,114002,17999,16389,664313,87557,16388,7.729885385748172,1.1157128520666655,0.9941690962099126,8.60743785059878,False,0
48,0.85,114003,16500,15149,665825,89309,15149,7.652039654964436,1.1044767886608522,0.9917808219178083,8.183539959974151,False,0
48,0.85,114004,19498,17605,662880,87189,17605,7.384724712426419,1.0658932001526686,0.9740082079343365,7.399405095868962,False,0
48,0.85,114005,18749,16985,663588,86969,16985,7.516933732290845,1.0849759284546745,0.9858757062146892,7.857530258690792,False,0
48,0.85,114006,18750,16950,663626,87377,16948,7.5124814085620635,1.0843332908788417,0.9844559585492227,7.056367268680188,False,0
48,0.85,114007,18000,16338,664385,87702,16338,7.643298161299504,1.1032150627307102,0.9917582417582418,7.9355660762372935,False,0
48,0.85,114008,19499,17523,662896,86854,17523,7.559235544390893,1.0910816691054674,0.9838926174496644,7.65273468420872,False,0
48,0.85,114009,20249,18168,662078,86037,18168,7.418826649503741,1.0708153907905387,0.9931880108991825,7.923914879007089,False,0
