N,n,seed_a,seed_b,d_l2
24,0.8,122000,122001,0.0013887538582930234
24,0.8,122000,122002,0.0007109024918064496
24,0.8,122000,122003,0.0006255381398731738
24,0.8,122000,122004,0.0006756742583639008
24,0.8,122000,122005,0.001488632559508732
24,0.8,122000,122006,0.0011789683096000924
24,0.8,122000,122007,0.0011368189169560354
24,0.8,122000,122008,0.0005881897611757111
24,0.8,122000,122009,0.0006547186474932196
24,0.8,122000,122010,0.000880706032751308
24,0.8,122000,122011,0.0018154019035332167
24,0.8,122000,122012,0.0004318191434957912
24,0.8,122000,122013,0.00015206071455231378
24,0.8,122000,122014,0.0008085357428790257
24,0.8,122000,122015,0.0019224038760112618
24,0.8,122000,122016,0.0004289805564733625
24,0.8,122000,122017,0.0011953182596901254
24,0.8,122000,122018,0.0003467845017377479
24,0.8,122000,122019,0.0008282241113467923
24,0.8,122001,122002,0.0008088449431784507
24,0.8,122001,122003,0.0017497775651487298
24,0.8,122001,122004,0.0007521163211770818
24,0.8,122001,122005,0.0002295594267054824
24,0.8,122001,122006,0.0011171628916116579
24,0.8,122001,122007,0.00035174386934522364
24,0.8,122001,122008,0.0019295970167794603
24,0.8,122001,122009,0.001980816211688518
24,0.8,122001,122010,0.0008682644404342677
24,0.8,122001,122011,0.0006616005270437448
24,0.8,122001,122012,0.0011341322150835236
24,0.8,122001,122013,0.0013552780990824368
24,0.8,122001,122014,0.0014284912726728644
24,0.8,122001,122015,0.0007354660628186413
24,0.8,122001,122016,0.0014574126597806853
24,0.8,122001,122017,0.0005870776975374073
24,0.8,122001,122018,0.0011237860905607812
24,0.8,122001,122019,0.0014376845779381412
24,0.8,122002,122003,0.0010162735460557835
24,0.8,122002,122004,0.00019691672936078628
24,0.8,122002,122005,0.0008381426151886574
24,0.8,122002,122006,0.0007209879302253752
24,0.8,122002,122007,0.00048419233113370654
24,0.8,122002,122008,0.0012953626571211348
24,0.8,122002,122009,0.0012343735786403281
24,0.8,122002,122010,0.00033577031081295636
24,0.8,122002,122011,0.0011400522616077113
24,0.8,122002,122012,0.0004389831103756806
24,0.8,122002,122013,0.0007466049497906476
24,0.8,122002,122014,0.0007472499023951639
24,0.8,122002,122015,0.0012518980025596799
24,0.8,122002,122016,0.0007467015811102153
24,0.8,122002,122017,0.0005655855202257338
24,0.8,122002,122018,0.0004340841882381636
24,0.8,122002,122019,0.000752443874456896
24,0.8,122003,122004,0.0010294715719535155
24,0.8,122003,122005,0.0018031231069585182
24,0.8,122003,122006,0.0010859792161093309
24,0.8,122003,122007,0.0014526559797120363
24,0.8,122003,122008,0.0007610590034084322
24,0.8,122003,122009,0.0003808935334875756
24,0.8,122003,122010,0.0009873116977112833
24,0.8,122003,122011,0.0020016944144620797
24,0.8,122003,122012,0.0006325124416409399
24,0.8,122003,122013,0.0007489534175549597
24,0.8,122003,122014,0.0005263755786563782
24,0.8,122003,122015,0.0021045370355457817
24,0.8,122003,122016,0.0003061962961530335
24,0.8,122003,122017,0.0013577858688168245
24,0.8,122003,122018,0.0006725238295631263
24,0.8,122003,122019,0.0005522240131663236
24,0.8,122004,122005,0.0008261023682720105
24,0.8,122004,122006,0.000779497484992737
24,0.8,122004,122007,0.0004766888592919718
24,0.8,122004,122008,0.0012416461100656258
24,0.8,122004,122009,0.0012407340165597287
24,0.8,122004,122010,0.00039800105345237413
24,0.8,122004,122011,0.0011518231189122023
24,0.8,122004,122012,0.0004136859111505299
24,0.8,122004,122013,0.0006836433890338998
24,0.8,122004,122014,0.0008012623055039483
24,0.8,122004,122015,0.001260077458430794
24,0.8,122004,122016,0.000735387272473684
24,0.8,122004,122017,0.000574474976191431
24,0.8,122004,122018,0.0003882430140796539
24,0.8,122004,122019,0.0008081358027498373
24,0.8,122005,122006,0.0010565919812049465
24,0.8,122005,122007,0.000360277714018073
24,0.8,122005,122008,0.0020512181367730625
24,0.8,122005,122009,0.002052881950776642
24,0.8,122005,122010,0.00085813161119205
24,0.8,122005,122011,0.00047951735193921046
24,0.8,122005,122012,0.0012011372150646203
24,0.8,122005,122013,0.0014745965826749793
24,0.8,122005,122014,0.001432451742427106
24,0.8,122005,122015,0.0005642475248889169
24,0.8,122005,122016,0.0015216770149077737
24,0.8,122005,122017,0.0005423044447264578
24,0.8,122005,122018,0.0012043246276642768
24,0.8,122005,122019,0.0014358620727865379
24,0.8,122006,122007,0.0008342068460525505
24,0.8,122006,122008,0.0016687567938664834
24,0.8,122006,122009,0.0014368830996638888
24,0.8,122006,122010,0.00039536426104604664
24,0.8,122006,122011,0.0010426507412458574
24,0.8,122006,122012,0.0007629407873895414
24,0.8,122006,122013,0.0012580577671569637
24,0.8,122006,122014,0.0005722484634934267
24,0.8,122006,122015,0.001137630649067447
24,0.8,122006,122016,0.0009142751057289809
24,0.8,122006,122017,0.0005404276632337986
24,0.8,122006,122018,0.0008597597825214606
24,0.8,122006,122019,0.0005602371635950988
24,0.8,122007,122008,0.0017067669608522725
24,0.8,122007,122009,0.0016946729663708283
24,0.8,122007,122010,0.0005456151540587301
24,0.8,122007,122011,0.0007228305413548132
24,0.8,122007,122012,0.0008499355489881793
24,0.8,122007,122013,0.0011326780135072637
24,0.8,122007,122014,0.001111843247125271
24,0.8,122007,122015,0.000826852378744464
24,0.8,122007,122016,0.0011705253458504403
24,0.8,122007,122017,0.00035672428484817277
24,0.8,122007,122018,0.0008511647929890607
24,0.8,122007,122019,0.0011194913130626433
24,0.8,122008,122009,0.0005170703266708811
24,0.8,122008,122010,0.0014283906645751452
24,0.8,122008,122011,0.002375849543120757
24,0.8,122008,122012,0.0009520276717395377
24,0.8,122008,122013,0.0005891029620306758
24,0.8,122008,122014,0.0011971179702363844
24,0.8,122008,122015,0.0024801808839569474
24,0.8,122008,122016,0.0007717099310779358
24,0.8,122008,122017,0.0017468675681500377
24,0.8,122008,122018,0.0008935827697230149
24,0.8,122008,122019,0.00121543549216785
24,0.8,122009,122010,0.0012867547780803245
24,0.8,122009,122011,0.0023035518512193494
24,0.8,122009,122012,0.0008671286070267209
24,0.8,122009,122013,0.0007576076138420589
24,0.8,122009,122014,0.0008861733701617252
24,0.8,122009,122015,0.0024101341106214143
24,0.8,122009,122016,0.0005742428078456085
24,0.8,122009,122017,0.0016582207096013303
24,0.8,122009,122018,0.0008620066503363908
24,0.8,122009,122019,0.0009025433201102678
24,0.8,122010,122011,0.0010231520180250713
24,0.8,122010,122012,0.00048329247244602514
24,0.8,122010,122013,0.0009383576214805378
24,0.8,122010,122014,0.000576044720900642
24,0.8,122010,122015,0.0011310204508733633
24,0.8,122010,122016,0.0007420105048706261
24,0.8,122010,122017,0.0003938212472570064
24,0.8,122010,122018,0.0005501065865157014
24,0.8,122010,122019,0.000580368534104379
24,0.8,122011,122012,0.0014578339258755578
24,0.8,122011,122013,0.0018246498836646955
24,0.8,122011,122014,0.0015487960560597177
24,0.8,122011,122015,0.00012296712305019615
24,0.8,122011,122016,0.0017469725747493886
