N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
23,0.8,122000,51727,34703,275158,31965,34699,5.498474315312075,1.1465111500651728,0.9593147751605996,5.071359969041592,False,0
23,0.8,122001,49479,33358,277377,33123,33356,0.12432481480606197,0.025923515912040347,0.9686192468619247,5.149010896961595,False,0
23,0.8,122002,54724,35146,272108,31041,35141,5.249482911049945,1.0945928533002065,0.9732510288065843,4.755581680101353,False,0
23,0.8,122003,53943,31523,272887,34798,31522,5.344888837946705,1.1144863642446565,0.9730290456431535,4.218588009042596,False,0
23,0.8,122004,52489,34832,274423,31883,34830,5.379087596665952,1.1216172983804797,0.9733924611973392,5.383733897041613,False,0
23,0.8,122005,50974,34580,275892,31999,34580,5.462434188878371,1.138996264219306,0.9617834394904459,5.0144692138453015,False,0
23,0.8,122006,57707,36338,269171,30256,36335,0.6134953478360747,0.12792262298078041,0.9719827586206896,5.246782608697577,False,0
23,0.8,122007,55475,35953,271428,30368,35952,5.491894876225361,1.1451392421791824,0.9822616407982262,5.151078551191379,False,0
23,0.8,122008,49464,33214,277389,33196,33212,5.193336631417538,1.0828855447011705,0.9834710743801653,5.099685562725025,False,0
23,0.8,122009,56219,35001,270609,30994,34996,5.352572361075587,1.1160884895677692,0.9790794979079498,5.287312611899092,False,0
23,0.8,122010,71190,40384,255646,26101,40383,5.3099583450386305,1.1072028529832045,0.9840546697038725,5.468509607726582,False,0
23,0.8,122011,49473,32714,277426,33695,32714,5.121008520429342,1.0678040910186117,0.9902723735408561,4.705813829818884,False,0
23,0.8,122012,62970,39940,263892,26778,39939,4.940840551427949,1.0302364725304332,0.9838709677419355,4.7152853625184665,False,0
23,0.8,122013,58456,35070,268334,30984,35069,1.9511837951752846,0.40684994576863387,0.970954356846473,4.929046258269213,False,0
23,0.8,122014,65210,38400,261706,27858,38399,5.202025057761905,1.0846972068294443,0.9637526652452025,4.874354401212178,False,0
23,0.8,122015,61466,36805,265371,29565,36802,5.340064312172747,1.1134803810797964,0.9703389830508474,4.866566787380714,False,0
23,0.8,122016,50975,34514,275919,32138,34514,5.305924103198748,1.106361655409797,0.9792099792099792,5.216295109519877,False,0
23,0.8,122017,44230,31708,282685,34948,31707,1.2690742968591244,0.2646202834044745,0.986784140969163,5.31646413655679,False,0
23,0.8,122018,54723,35493,272104,31032,35493,5.256822993784365,1.0961233663507044,0.9740518962075848,4.785308889513375,False,0
23,0.8,122019,55461,34336,271397,32220,34334,5.390122718256274,1.1239182802929342,0.9711934156378601,5.095599957177597,False,0
24,0.8,122000,52478,34829,288621,34280,34826,5.3650729027337025,1.0951409203775146,0.9812889812889813,5.180978015793233,False,0
24,0.8,122001,50982,34096,290119,34776,34094,5.237453585001535,1.0690907362303537,0.9781746031746031,4.891625904277499,False,0
24,0.8,122002,48735,33871,292396,35366,33866,5.529573709599806,1.128719506969021,0.9738430583501007,5.067863425211806,False,0
24,0.8,122003,41238,30050,299891,39470,30047,5.431952451755408,1.1087926511550674,0.9744597249508841,4.885822886100417,False,0
24,0.8,122004,48737,33135,292394,36068,33133,5.234025613024491,1.0683910043806606,0.9880478087649402,5.226948318070066,False,0
24,0.8,122005,46489,33069,294647,36660,33065,5.458714121890386,1.1142553541963487,0.9741035856573705,5.0068342799615575,False,0
24,0.8,122006,39743,29851,301361,39482,29850,5.4229171152881905,1.1069483208218138,0.9818181818181818,4.83757377669657,False,0
24,0.8,122007,45735,32585,295375,36030,32584,5.560471764024829,1.1350265459178586,0.989517819706499,5.013586382150844,False,0
24,0.8,122008,60718,37855,280388,30983,37853,5.4278471690745125,1.1079546638368942,0.9818181818181818,5.195393240395766,False,0
24,0.8,122009,46483,32603,294619,36083,32600,5.419341301130762,1.1062184108134205,0.9681908548707754,4.842463537931849,False,0
24,0.8,122010,42738,30791,298390,38641,30790,5.3561355670541815,1.0933165943712817,0.9688715953307393,4.635307801968968,False,0
24,0.8,122011,37487,28302,303625,40924,28302,5.225702319797481,1.0666920192651825,0.9746300211416491,5.2726254163581565,False,0
24,0.8,122012,44229,30798,296914,38862,30795,0.6417290654330731,0.13099239695201229,0.9742063492063492,5.060811892113122,False,0
24,0.8,122013,45732,31522,295387,37669,31521,5.229411350503075,1.067449121987601,0.9822834645669292,4.692746224956738,False,0
24,0.8,122014,38241,28468,302870,40890,28467,5.204976174904841,1.0624613126550193,0.9738955823293173,4.649853810027475,False,0
24,0.8,122015,34494,26438,306571,42704,26438,5.060658196903418,1.033002528753878,0.9762845849802372,5.120200772307384,False,0
24,0.8,122016,46486,33062,294679,36410,33061,5.218529970571703,1.0652279696101656,0.9782608695652174,5.5569719241379945,False,0
24,0.8,122017,37485,27860,303627,41764,27860,5.405627893528776,1.103419173208448,0.9563318777292577,5.059404830259524,False,0
24,0.8,122018,41238,29200,299923,40323,29200,5.6055135880785585,1.1442206697525132,0.9767441860465116,5.2125124854270455,False,0
24,0.8,122019,40485,29536,300659,39864,29533,5.4337189407456155,1.1091532342102552,0.9786407766990292,4.887408072369181,False,0
25,0.8,122000,35992,27946,319390,44131,27944,5.47873564351644,1.0957471287032878,0.9884393063583815,5.343068390071526,False,0
25,0.8,122001,34491,26708,320907,45191,26706,5.278907369876887,1.0557814739753772,0.9673469387755103,5.5499378546623355,False,0
25,0.8,122002,35246,27182,320148,44942,27179,5.762482776352923,1.1524965552705846,0.97265625,4.974574307101096,False,0
25,0.8,122003,35238,27056,320111,45484,27054,5.1877220399138535,1.0375444079827707,0.9777777777777777,5.137706810125224,False,0
25,0.8,122004,33745,26223,321626,46009,26221,5.466762465849679,1.0933524931699359,0.9666048237476809,4.7568621166025515,False,0
25,0.8,122005,37492,28350,317881,43902,28348,5.561321850479394,1.1122643700958788,0.9824561403508771,5.176792805399929,False,0
25,0.8,122006,38986,29169,316322,43005,29168,5.503952756259597,1.1007905512519194,0.9800399201596807,5.271529496218628,False,0
25,0.8,122007,38990,29181,316415,42966,29178,5.485815002925033,1.0971630005850066,0.979047619047619,4.457367111687886,False,0
25,0.8,122008,30744,24793,324643,47164,24792,5.477704860091054,1.0955409720182108,0.9845857418111753,5.322435106145348,False,0
25,0.8,122009,41989,31164,313351,40522,31162,5.562993583362101,1.1125987166724203,0.9801587301587301,5.42791549394,False,0
25,0.8,122010,38988,29245,316414,42899,29244,0.130144659389706,0.026028931877941204,0.9765625,5.105025957931239,False,0
