N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
54,0.9,121000,54,0.9,121001,0.0009871268934702564
54,0.9,121000,54,0.9,121002,0.0024696011076891663
54,0.9,121000,54,0.9,121003,0.0018207144208870936
54,0.9,121000,54,0.9,121004,0.0009358301851309634
54,0.9,121000,54,0.9,121005,0.0005349593242614378
54,0.9,121000,54,0.9,121006,0.0020136294901360236
54,0.9,121000,54,0.9,121007,0.0006027902061197395
54,0.9,121000,54,0.9,121008,0.00017796404772624556
54,0.9,121000,54,0.9,121009,0.0011862264613604159
54,0.9,121000,54,0.9,121010,0.0013105635408923828
54,0.9,121000,54,0.9,121011,0.0007642182489114931
54,0.9,121000,54,0.9,121012,0.0004512057700620153
54,0.9,121000,54,0.9,121013,0.0015650386350030414
54,0.9,121000,54,0.9,121014,0.001259152303718189
54,0.9,121000,54,0.9,121015,0.001956036641069929
54,0.9,121000,54,0.9,121016,0.0010349024856909073
54,0.9,121000,54,0.9,121017,0.0007119252877873003
54,0.9,121000,54,0.9,121018,0.0003119012553186538
54,0.9,121000,54,0.9,121019,0.001517523150843495
54,0.9,121000,56,0.9,121000,0.001197423667412333
54,0.9,121000,56,0.9,121001,0.0007956022323162054
54,0.9,121000,56,0.9,121002,0.000321525426039963
54,0.9,121000,56,0.9,121003,0.0005439682165459168
54,0.9,121000,56,0.9,121004,0.0021637909636713472
54,0.9,121000,56,0.9,121005,0.0007145586597726633
54,0.9,121000,56,0.9,121006,0.0007996256899610267
54,0.9,121000,56,0.9,121007,0.0005570746828547251
54,0.9,121000,56,0.9,121008,0.0006014532453055179
54,0.9,121000,56,0.9,121009,0.0006378952506773312
54,0.9,121000,56,0.9,121010,0.0006909305351026459
54,0.9,121000,56,0.9,121011,0.0003391461597853054
54,0.9,121000,56,0.9,121012,0.0009524508326216507
54,0.9,121000,56,0.9,121013,0.0013121468233046078
54,0.9,121000,56,0.9,121014,0.0011174453616716751
54,0.9,121000,56,0.9,121015,0.0014176219710274802
54,0.9,121000,56,0.9,121016,0.0005446695367251693
54,0.9,121000,56,0.9,121017,0.0006737036047543844
54,0.9,121000,56,0.9,121018,0.0010844685680022983
54,0.9,121000,56,0.9,121019,0.0008527658892659776
54,0.9,121000,58,0.9,121000,0.0010041482997977121
54,0.9,121000,58,0.9,121001,0.0017143431442348995
54,0.9,121000,58,0.9,121002,0.002286346804384279
54,0.9,121000,58,0.9,121003,0.002963647608885196
54,0.9,121000,58,0.9,121004,0.0010944973264337566
54,0.9,121000,58,0.9,121005,0.001568751952592158
54,0.9,121000,58,0.9,121006,0.001450354650110923
54,0.9,121000,58,0.9,121007,0.0008875033609261038
54,0.9,121000,58,0.9,121008,0.0018778139050670277
54,0.9,121000,58,0.9,121009,0.0009320847781135513
54,0.9,121000,58,0.9,121010,0.0011790339768183303
54,0.9,121000,58,0.9,121011,0.0011020685496714333
54,0.9,121000,58,0.9,121012,0.0016945746832884758
54,0.9,121000,58,0.9,121013,0.001331278818483734
54,0.9,121000,58,0.9,121014,0.0007258577056617871
54,0.9,121000,58,0.9,121015,0.0016355548137197075
54,0.9,121000,58,0.9,121016,0.001554265264583142
54,0.9,121000,58,0.9,121017,0.0016923513164050778
54,0.9,121000,58,0.9,121018,0.0018391864016381583
54,0.9,121000,58,0.9,121019,0.0009973844283280664
54,0.9,121001,54,0.9,121002,0.0014950271584553494
54,0.9,121001,54,0.9,121003,0.0008381214048572859
54,0.9,121001,54,0.9,121004,0.0003394981321251871
54,0.9,121001,54,0.9,121005,0.0005791114554972537
54,0.9,121001,54,0.9,121006,0.0010406882011345106
54,0.9,121001,54,0.9,121007,0.0015785075858290277
54,0.9,121001,54,0.9,121008,0.0011349784547817366
54,0.9,121001,54,0.9,121009,0.0002208796937948069
54,0.9,121001,54,0.9,121010,0.00044309509042214206
54,0.9,121001,54,0.9,121011,0.0003259774542287255
54,0.9,121001,54,0.9,121012,0.0005791268191662482
54,0.9,121001,54,0.9,121013,0.0006260577598063517
54,0.9,121001,54,0.9,121014,0.00047584882597627757
54,0.9,121001,54,0.9,121015,0.0010116848944538468
54,0.9,121001,54,0.9,121016,0.0002816153771214372
54,0.9,121001,54,0.9,121017,0.00038737802240075607
54,0.9,121001,54,0.9,121018,0.0006883669439266792
54,0.9,121001,54,0.9,121019,0.0005551550296959115
54,0.9,121001,56,0.9,121000,0.002165108520436002
54,0.9,121001,56,0.9,121001,0.00045482829925375465
54,0.9,121001,56,0.9,121002,0.0012798166573388876
54,0.9,121001,56,0.9,121003,0.0009791713752287056
54,0.9,121001,56,0.9,121004,0.003112914056929925
54,0.9,121001,56,0.9,121005,0.001566434739646274
54,0.9,121001,56,0.9,121006,0.001741948119219042
54,0.9,121001,56,0.9,121007,0.0015380170359841736
54,0.9,121001,56,0.9,121008,0.0015391856159851231
54,0.9,121001,56,0.9,121009,0.0015631833183141495
54,0.9,121001,56,0.9,121010,0.001635832083294719
54,0.9,121001,56,0.9,121011,0.001195937857463661
54,0.9,121001,56,0.9,121012,0.001919112351525698
54,0.9,121001,56,0.9,121013,0.0022849228354752966
54,0.9,121001,56,0.9,121014,0.0007342847788812631
54,0.9,121001,56,0.9,121015,0.0004721011462509623
54,0.9,121001,56,0.9,121016,0.0014577605699698142
54,0.9,121001,56,0.9,121017,0.001302054111513347
54,0.9,121001,56,0.9,121018,0.0018913157995185115
54,0.9,121001,56,0.9,121019,0.001822442357800785
54,0.9,121001,58,0.9,121000,0.0019083639058815034
54,0.9,121001,58,0.9,121001,0.002691971003454697
54,0.9,121001,58,0.9,121002,0.0032435131618261653
54,0.9,121001,58,0.9,121003,0.00393387547968252
54,0.9,121001,58,0.9,121004,0.0020389307149012207
54,0.9,121001,58,0.9,121005,0.0025513532910979167
54,0.9,121001,58,0.9,121006,0.002252086119410801
54,0.9,121001,58,0.9,121007,0.0017283104973730146
54,0.9,121001,58,0.9,121008,0.002832441060959069
54,0.9,121001,58,0.9,121009,0.001595984731219196
54,0.9,121001,58,0.9,121010,0.0020071254566021994
54,0.9,121001,58,0.9,121011,0.0020474182325817838
54,0.9,121001,58,0.9,121012,0.002641078854172592
54,0.9,121001,58,0.9,121013,0.002213393019399732
54,0.9,121001,58,0.9,121014,0.0005301374053744288
54,0.9,121001,58,0.9,121015,0.002533454173561184
54,0.9,121001,58,0.9,121016,0.0024941891530251715
54,0.9,121001,58,0.9,121017,0.0026291832236263256
54,0.9,121001,58,0.9,121018,0.002777866572149518
54,0.9,121001,58,0.9,121019,0.0015384406168100695
54,0.9,121002,54,0.9,121003,0.000674704214226713
54,0.9,121002,54,0.9,121004,0.0016714565888896118
54,0.9,121002,54,0.9,121005,0.0020532702044887847
54,0.9,121002,54,0.9,121006,0.0004756057506062947
54,0.9,121002,54,0.9,121007,0.0030563952552538987
54,0.9,121002,54,0.9,121008,0.0026244758889456717
54,0.9,121002,54,0.9,121009,0.0013045190634646024
54,0.9,121002,54,0.9,121010,0.0013319761799691035
54,0.9,121002,54,0.9,121011,0.0017547520142981272
54,0.9,121002,54,0.9,121012,0.0020569725347155173
54,0.9,121002,54,0.9,121013,0.0009181625829307479
54,0.9,121002,54,0.9,121014,0.001312357093817341
54,0.9,121002,54,0.9,121015,0.0008439601918158441
54,0.9,121002,54,0.9,121016,0.0015631638207008636
54,0.9,121002,54,0.9,121017,0.0018066420823536712
54,0.9,121002,54,0.9,121018,0.002167173751677284
54,0.9,121002,54,0.9,121019,0.0009776323761311531
54,0.9,121002,56,0.9,121000,0.0036527593387055473
54,0.9,121002,56,0.9,121001,0.0018556201805411553
54,0.9,121002,56,0.9,121002,0.0027679370294019143
54,0.9,121002,56,0.9,121003,0.0024260041631584957
54,0.9,121002,56,0.9,121004,0.004584557634340797
54,0.9,121002,56,0.9,121005,0.003041018586459637
54,0.9,121002,56,0.9,121006,0.003231923309921378
54,0.9,121002,56,0.9,121007,0.003023738085137148
54,0.9,121002,56,0.9,121008,0.0030307154513240205
54,0.9,121002,56,0.9,121009,0.0030536872059234196
54,0.9,121002,56,0.9,121010,0.00312385298227401
54,0.9,121002,56,0.9,121011,0.0026337112982218504
54,0.9,121002,56,0.9,121012,0.00340925364699479
54,0.9,121002,56,0.9,121013,0.003773307781622497
54,0.9,121002,56,0.9,121014,0.0018805900670448266
54,0.9,121002,56,0.9,121015,0.0011491525332819406
54,0.9,121002,56,0.9,121016,0.002949028410556842
54,0.9,121002,56,0.9,121017,0.002751992354328612
54,0.9,121002,56,0.9,121018,0.0033487151816596686
54,0.9,121002,56,0.9,121019,0.0033140454323522003
54,0.9,121002,58,0.9,121000,0.0033886349851676456
54,0.9,121002,58,0.9,121001,0.004174265829040221
54,0.9,121002,58,0.9,121002,0.004717013523628285
54,0.9,121002,58,0.9,121003,0.005400275761478203
54,0.9,121002,58,0.9,121004,0.0035225863197492304
54,0.9,121002,58,0.9,121005,0.004017874345228596
54,0.9,121002,58,0.9,121006,0.0036911509778369393
54,0.9,121002,58,0.9,121007,0.00320189568614201
54,0.9,121002,58,0.9,121008,0.004314134713046076
54,0.9,121002,58,0.9,121009,0.003017826996437129
54,0.9,121002,58,0.9,121010,0.0034670042019369954
54,0.9,121002,58,0.9,121011,0.003528970957424322
54,0.9,121002,58,0.9,121012,0.004123054564916439
54,0.9,121002,58,0.9,121013,0.0036816854319040374
54,0.9,121002,58,0.9,121014,0.0019492013799782477
54,0.9,121002,58,0.9,121015,0.00400180299269292
54,0.9,121002,58,0.9,121016,0.003972214371366852
54,0.9,121002,58,0.9,121017,0.004105597477222782
54,0.9,121002,58,0.9,121018,0.004255452401531477
54,0.9,121002,58,0.9,121019,0.0029253725484858265
