N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
20,0.8,103000,20,0.8,103001,0.0009635647547504177
20,0.8,103000,20,0.8,103002,0.0008739775295641475
20,0.8,103000,20,0.8,103003,0.00040018534915982297
20,0.8,103000,20,0.8,103004,0.001950580625574404
20,0.8,103000,20,0.8,103005,0.001506988403596678
20,0.8,103000,20,0.8,103006,0.001360774873956315
20,0.8,103000,20,0.8,103007,0.00038817662177561256
20,0.8,103000,20,0.8,103008,0.0010666875410325072
20,0.8,103000,20,0.8,103009,0.0014043707116833568
20,0.8,103000,24,0.8,103000,0.005098785257059206
20,0.8,103000,24,0.8,103001,0.00587163710395949
20,0.8,103000,24,0.8,103002,0.0062125227290950324
20,0.8,103000,24,0.8,103003,0.006397555848945665
20,0.8,103000,24,0.8,103004,0.006133532484458675
20,0.8,103000,24,0.8,103005,0.006496257814891235
20,0.8,103000,24,0.8,103006,0.004985675876805751
20,0.8,103000,24,0.8,103007,0.004752459049293403
20,0.8,103000,24,0.8,103008,0.005394120586043715
20,0.8,103000,24,0.8,103009,0.004514344310683739
20,0.8,103000,28,0.8,103000,0.008623142859266091
20,0.8,103000,28,0.8,103001,0.008559083294886803
20,0.8,103000,28,0.8,103002,0.00772730898980944
20,0.8,103000,28,0.8,103003,0.008272851772521825
20,0.8,103000,28,0.8,103004,0.008563796309110945
20,0.8,103000,28,0.8,103005,0.007726897248847962
20,0.8,103000,28,0.8,103006,0.00840572577298199
20,0.8,103000,28,0.8,103007,0.008074984362833385
20,0.8,103000,28,0.8,103008,0.007866309641599057
20,0.8,103000,28,0.8,103009,0.008148722841613186
20,0.8,103001,20,0.8,103002,0.0018073346866629683
20,0.8,103001,20,0.8,103003,0.0013563887976287628
20,0.8,103001,20,0.8,103004,0.0028997605862185524
20,0.8,103001,20,0.8,103005,0.002464647334458206
20,0.8,103001,20,0.8,103006,0.0004327600532112655
20,0.8,103001,20,0.8,103007,0.0013339525665078632
20,0.8,103001,20,0.8,103008,0.0020122845644635528
20,0.8,103001,20,0.8,103009,0.0023579334517531024
20,0.8,103001,24,0.8,103000,0.00602834778448761
20,0.8,103001,24,0.8,103001,0.0068157203561716164
20,0.8,103001,24,0.8,103002,0.007162406838451702
20,0.8,103001,24,0.8,103003,0.0073493652941174275
20,0.8,103001,24,0.8,103004,0.007091748285244139
20,0.8,103001,24,0.8,103005,0.007450321854510027
20,0.8,103001,24,0.8,103006,0.005918310856052815
20,0.8,103001,24,0.8,103007,0.005684230253420178
20,0.8,103001,24,0.8,103008,0.006341760476228571
20,0.8,103001,24,0.8,103009,0.005411891586752566
20,0.8,103001,28,0.8,103000,0.009570491605710772
20,0.8,103001,28,0.8,103001,0.009501446253923655
20,0.8,103001,28,0.8,103002,0.008672281295392782
20,0.8,103001,28,0.8,103003,0.009227343727086723
20,0.8,103001,28,0.8,103004,0.009516442555441927
20,0.8,103001,28,0.8,103005,0.008667833014140624
20,0.8,103001,28,0.8,103006,0.009353865880431215
20,0.8,103001,28,0.8,103007,0.009023794781415911
20,0.8,103001,28,0.8,103008,0.008821745933877821
20,0.8,103001,28,0.8,103009,0.009099210591584089
20,0.8,103002,20,0.8,103003,0.0005257650195760023
20,0.8,103002,20,0.8,103004,0.001109031007193288
20,0.8,103002,20,0.8,103005,0.0006994853085453162
20,0.8,103002,20,0.8,103006,0.002169525604811767
20,0.8,103002,20,0.8,103007,0.000498314679949974
20,0.8,103002,20,0.8,103008,0.00022515975924164165
20,0.8,103002,20,0.8,103009,0.0005698321605031054
20,0.8,103002,24,0.8,103000,0.0044232751358306895
20,0.8,103002,24,0.8,103001,0.00515264853035152
20,0.8,103002,24,0.8,103002,0.005472217015134553
20,0.8,103002,24,0.8,103003,0.005649757417831301
20,0.8,103002,24,0.8,103004,0.005361545711931217
20,0.8,103002,24,0.8,103005,0.005741686482340713
20,0.8,103002,24,0.8,103006,0.004305243232987774
20,0.8,103002,24,0.8,103007,0.004073806799887979
20,0.8,103002,24,0.8,103008,0.004664337293427902
20,0.8,103002,24,0.8,103009,0.003919397775318409
20,0.8,103002,28,0.8,103000,0.007880850906325593
20,0.8,103002,28,0.8,103001,0.007832563450262618
20,0.8,103002,28,0.8,103002,0.006999785387466671
20,0.8,103002,28,0.8,103003,0.007509304394826771
20,0.8,103002,28,0.8,103004,0.007804956624495079
20,0.8,103002,28,0.8,103005,0.007010596917614207
20,0.8,103002,28,0.8,103006,0.007663553701373526
20,0.8,103002,28,0.8,103007,0.007334257774771723
20,0.8,103002,28,0.8,103008,0.0071016261922600575
20,0.8,103002,28,0.8,103009,0.007400933509885574
20,0.8,103003,20,0.8,103004,0.0015670767728795498
20,0.8,103003,20,0.8,103005,0.0011143297020886473
20,0.8,103003,20,0.8,103006,0.0017517442826995978
20,0.8,103003,20,0.8,103007,0.0001294873389033176
20,0.8,103003,20,0.8,103008,0.0006898690222505067
20,0.8,103003,20,0.8,103009,0.001020486080785733
20,0.8,103003,24,0.8,103000,0.0047293633650742775
20,0.8,103003,24,0.8,103001,0.00549087632433418
20,0.8,103003,24,0.8,103002,0.005829368139142923
20,0.8,103003,24,0.8,103003,0.006013224510453988
20,0.8,103003,24,0.8,103004,0.00574556280298904
20,0.8,103003,24,0.8,103005,0.0061093779895157515
20,0.8,103003,24,0.8,103006,0.004613042332302175
20,0.8,103003,24,0.8,103007,0.004379208711071443
20,0.8,103003,24,0.8,103008,0.005013193595433596
20,0.8,103003,24,0.8,103009,0.0041610785515108885
20,0.8,103003,28,0.8,103000,0.00823788855913889
20,0.8,103003,28,0.8,103001,0.008176353089762549
20,0.8,103003,28,0.8,103002,0.007345590292293943
20,0.8,103003,28,0.8,103003,0.00788488674391002
20,0.8,103003,28,0.8,103004,0.00817651306926144
20,0.8,103003,28,0.8,103005,0.0073462729291469755
20,0.8,103003,28,0.8,103006,0.00802098571247944
20,0.8,103003,28,0.8,103007,0.007691326552263274
20,0.8,103003,28,0.8,103008,0.007478808720601545
20,0.8,103003,28,0.8,103009,0.007763473098980539
20,0.8,103004,20,0.8,103005,0.0005096494296021784
20,0.8,103004,20,0.8,103006,0.00326335640163792
20,0.8,103004,20,0.8,103007,0.0015702871771683796
20,0.8,103004,20,0.8,103008,0.0009026853351089982
20,0.8,103004,20,0.8,103009,0.0005723527852439553
20,0.8,103004,24,0.8,103000,0.003496719928198196
20,0.8,103004,24,0.8,103001,0.004155727577494092
20,0.8,103004,24,0.8,103002,0.004453975431019071
20,0.8,103004,24,0.8,103003,0.004621627492111616
20,0.8,103004,24,0.8,103004,0.0043112526314545135
20,0.8,103004,24,0.8,103005,0.00469911735848742
20,0.8,103004,24,0.8,103006,0.0033716104069974146
20,0.8,103004,24,0.8,103007,0.0031503383370016795
20,0.8,103004,24,0.8,103008,0.003669242429714457
20,0.8,103004,24,0.8,103009,0.0031193570452492684
20,0.8,103004,28,0.8,103000,0.006819294244073683
20,0.8,103004,28,0.8,103001,0.006783814919471417
20,0.8,103004,28,0.8,103002,0.005963323749860662
