N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
10,0.65,110000,49459,29622,92804,20268,29622,0.34340837629897636,0.10859526366849492,0.9470588235294117,2.0810640546789134,False,0
10,0.65,110001,51713,31385,90572,18868,31384,0.7555837563893759,0.23893656332162302,0.948509485094851,1.8268527518142392,False,0
10,0.65,110002,49455,30816,92780,19676,30814,1.1778618972242925,0.37247263643559236,0.9120234604105572,2.0950782179819245,False,0
10,0.65,110003,44223,28342,98053,21872,28341,2.594790132601914,0.8205446869152379,0.9329608938547486,2.054568828302901,False,0
10,0.65,110004,42727,28942,99550,21256,28942,1.5378539625183472,0.4863121230273189,0.9239130434782609,1.7621307405386286,False,0
10,0.65,110005,52458,32145,89829,18266,32144,1.096976035390888,0.3468942810456682,0.952247191011236,2.163440886505418,False,0
10,0.65,110006,48718,30637,93579,19718,30636,0.8061283248653546,0.25492015929506684,0.947945205479452,1.7466106491365216,False,0
10,0.65,110007,43474,29036,98785,21644,29035,1.622321540108411,0.5130231163894787,0.9505494505494505,1.8964887849421803,False,0
10,0.65,110008,54700,33059,87566,17420,33059,0.7381236307812494,0.2334151868061918,0.9352112676056338,1.7059126369041493,False,0
10,0.65,110009,46473,30263,95814,20271,30263,0.07996262691269054,0.025286402873438012,0.9376693766937669,1.7243126976877177,False,0
10,0.65,110010,39717,26248,102553,24398,26246,1.755572605272852,0.555160803045794,0.907563025210084,1.7020258302708229,False,0
10,0.65,110011,41975,27759,100302,22650,27758,0.6559330780633046,0.20742425193250696,0.958217270194986,2.2229873937566342,False,0
10,0.65,110012,50202,30052,92037,20177,30051,1.2268346779089032,0.3879591894671193,0.9348441926345609,2.0057006690023536,False,0
10,0.65,110013,42724,28347,99554,21999,28344,0.8830978646935909,0.279260064926294,0.9323943661971831,2.1519054162796447,False,0
10,0.65,110014,42727,28768,99556,21427,28767,0.8569996845899193,0.27100709573500487,0.9380053908355795,1.8916402100179033,False,0
10,0.65,110015,43475,29065,98807,20992,29065,1.4970847665090001,0.4734197712509805,0.9259259259259259,1.7220099627236247,False,0
10,0.65,110016,47218,29993,95057,20438,29993,1.3202697375812695,0.4175059496549617,0.9449275362318841,2.1547790546003402,False,0
10,0.65,110017,41969,27954,100315,22358,27954,1.0835532949750648,0.34264963783014857,0.9321533923303835,2.399360326255475,False,0
10,0.65,110018,50969,30462,91328,19996,30459,1.9393636298173131,0.6132806281514348,0.9363395225464191,1.8425813766085162,False,0
10,0.65,110019,38979,27269,103288,23037,27268,0.8920440201612773,0.2820890876842798,0.9303621169916435,1.982135107212593,False,0
11,0.65,110000,29993,22996,126520,31999,22994,0.25867089261176196,0.07799220863450265,0.941025641025641,1.92900000268972,False,0
11,0.65,110001,31493,24430,125047,31147,24429,0.2007774705982495,0.060536685121000605,0.9282051282051282,1.8229822851980255,False,0
11,0.65,110002,36744,26208,119788,29274,26206,0.09530221545570669,0.02873469912328985,0.917910447761194,1.929917622747738,False,0
11,0.65,110003,31489,23648,125036,31890,23648,0.05735895833731618,0.017294376651864125,0.9245742092457421,1.8340011259431972,False,0
11,0.65,110004,29991,22740,126526,32635,22739,0.35485637520948804,0.10699322282140412,0.9384615384615385,2.0121464642540663,False,0
