N,n,seed_a,seed_b,d_l2
17,0.75,112000,112001,0.0003736542087022644
17,0.75,112000,112002,0.0007608334403910813
17,0.75,112000,112003,0.0004922507340232985
17,0.75,112000,112004,0.0013891915663819562
17,0.75,112000,112005,0.0017336988698432871
17,0.75,112000,112006,0.0004639460828681328
17,0.75,112000,112007,0.0008995793766058197
17,0.75,112000,112008,0.0006205203378589424
17,0.75,112000,112009,0.00107028626187721
17,0.75,112000,112010,0.0004593080151653531
17,0.75,112000,112011,0.0008109177354015171
17,0.75,112000,112012,0.0008399323268008244
17,0.75,112000,112013,0.0005469068120750209
17,0.75,112000,112014,0.0012382720403837993
17,0.75,112000,112015,0.00016261874023387908
17,0.75,112000,112016,0.0008451298420444125
17,0.75,112000,112017,0.0006575232462051369
17,0.75,112000,112018,0.0006828717963243171
17,0.75,112000,112019,0.0003144411570635988
17,0.75,112001,112002,0.001064411025447247
17,0.75,112001,112003,0.00017184652604092463
17,0.75,112001,112004,0.001034869671584557
17,0.75,112001,112005,0.0013930197568901592
17,0.75,112001,112006,0.0002217070752613938
17,0.75,112001,112007,0.0011975070011518807
17,0.75,112001,112008,0.00029062067152552275
17,0.75,112001,112009,0.0007291432073081389
17,0.75,112001,112010,0.0007054004109504475
17,0.75,112001,112011,0.0004553002563243035
17,0.75,112001,112012,0.0004964261346002651
17,0.75,112001,112013,0.00023279330402882633
17,0.75,112001,112014,0.0009141383318952103
17,0.75,112001,112015,0.0005214095343914817
17,0.75,112001,112016,0.0005238530976241798
17,0.75,112001,112017,0.00035160555273471944
17,0.75,112001,112018,0.0010423724282717832
17,0.75,112001,112019,0.0006107133900307133
17,0.75,112002,112003,0.001213846543756922
17,0.75,112002,112004,0.0020346475080617425
17,0.75,112002,112005,0.0024310646131597523
17,0.75,112002,112006,0.0011732771220406206
17,0.75,112002,112007,0.00017172246013788395
17,0.75,112002,112008,0.001320151603926521
17,0.75,112002,112009,0.0016403216577047595
17,0.75,112002,112010,0.0008189184822954624
17,0.75,112002,112011,0.0014782806116249182
17,0.75,112002,112012,0.001508202174868662
17,0.75,112002,112013,0.0012495635789683266
17,0.75,112002,112014,0.0019501049430971935
17,0.75,112002,112015,0.000656438844286022
17,0.75,112002,112016,0.001565913006495745
17,0.75,112002,112017,0.0013879418080992426
17,0.75,112002,112018,0.0004140964738820301
17,0.75,112002,112019,0.00048639550802288985
17,0.75,112003,112004,0.0009443763386717323
17,0.75,112003,112005,0.0012585945654381215
17,0.75,112003,112006,0.00016566836604691197
17,0.75,112003,112007,0.0013455060547125054
17,0.75,112003,112008,0.0001852092228264041
17,0.75,112003,112009,0.0006945731563559968
17,0.75,112003,112010,0.0007555510827992392
17,0.75,112003,112011,0.0003557933128682406
17,0.75,112003,112012,0.00042350992431182464
17,0.75,112003,112013,0.0001498654397920018
17,0.75,112003,112014,0.0007929605531026247
17,0.75,112003,112015,0.0006400082669950327
17,0.75,112003,112016,0.00039532294794399834
17,0.75,112003,112017,0.00021237825143593646
17,0.75,112003,112018,0.0011612348876125773
17,0.75,112003,112019,0.0007530114426243022
17,0.75,112004,112005,0.0005360888320862035
17,0.75,112004,112006,0.000986112295840055
17,0.75,112004,112007,0.002168171043829587
17,0.75,112004,112008,0.0007940278156911244
17,0.75,112004,112009,0.00044850782484039223
17,0.75,112004,112010,0.0016920557864876448
17,0.75,112004,112011,0.0006154360253276965
17,0.75,112004,112012,0.0005508712102220687
17,0.75,112004,112013,0.000867251983420419
17,0.75,112004,112014,0.0004023652817221843
17,0.75,112004,112015,0.0015405367144393015
17,0.75,112004,112016,0.0006269798717346425
17,0.75,112004,112017,0.0007978558329348156
