N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
22,0.8,113000,22,0.8,113001,0.00047908953438508163
22,0.8,113000,22,0.8,113002,0.0007381069974912242
22,0.8,113000,22,0.8,113003,0.0006109288405346069
22,0.8,113000,22,0.8,113004,0.0013867605473443494
22,0.8,113000,22,0.8,113005,0.0015817110230687279
22,0.8,113000,22,0.8,113006,0.000632991754342396
22,0.8,113000,22,0.8,113007,0.000418292861515297
22,0.8,113000,22,0.8,113008,0.0009356801590451269
22,0.8,113000,22,0.8,113009,0.0017859618455423627
22,0.8,113000,22,0.8,113010,0.002411001735678002
22,0.8,113000,22,0.8,113011,0.00022343660918790857
22,0.8,113000,22,0.8,113012,0.0006763553461477872
22,0.8,113000,22,0.8,113013,0.0017510876822716122
22,0.8,113000,22,0.8,113014,0.001067539792077776
22,0.8,113000,22,0.8,113015,0.0010365578938263094
22,0.8,113000,22,0.8,113016,0.0006649910972061089
22,0.8,113000,22,0.8,113017,0.0002375052186028036
22,0.8,113000,22,0.8,113018,0.001358825582848417
22,0.8,113000,22,0.8,113019,0.0005868043917301569
22,0.8,113000,24,0.8,113000,0.0031725123559966963
22,0.8,113000,24,0.8,113001,0.0025066220076248916
22,0.8,113000,24,0.8,113002,0.0026453950293059
22,0.8,113000,24,0.8,113003,0.0036631490008023093
22,0.8,113000,24,0.8,113004,0.003352769171925396
22,0.8,113000,24,0.8,113005,0.001776107492511105
22,0.8,113000,24,0.8,113006,0.0026602433766489586
22,0.8,113000,24,0.8,113007,0.003081394431423742
22,0.8,113000,24,0.8,113008,0.0016691281584149005
22,0.8,113000,24,0.8,113009,0.0020985388849291122
22,0.8,113000,24,0.8,113010,0.0019301391430425645
22,0.8,113000,24,0.8,113011,0.0024968342377050395
22,0.8,113000,24,0.8,113012,0.002699207526174835
22,0.8,113000,24,0.8,113013,0.001989972474186413
22,0.8,113000,24,0.8,113014,0.0013032515621932107
22,0.8,113000,24,0.8,113015,0.0023790147784014783
22,0.8,113000,24,0.8,113016,0.0020454860028373
22,0.8,113000,24,0.8,113017,0.002304770978323392
22,0.8,113000,24,0.8,113018,0.002345242013103715
22,0.8,113000,24,0.8,113019,0.003017652744434223
22,0.8,113000,26,0.8,113000,0.0036240636896380926
22,0.8,113000,26,0.8,113001,0.001921959296081126
22,0.8,113000,26,0.8,113002,0.002896686959017058
22,0.8,113000,26,0.8,113003,0.0038618449192981993
22,0.8,113000,26,0.8,113004,0.0031592169673915096
22,0.8,113000,26,0.8,113005,0.003015223884352478
22,0.8,113000,26,0.8,113006,0.004085751689135576
22,0.8,113000,26,0.8,113007,0.004112767500315973
22,0.8,113000,26,0.8,113008,0.002948390366084222
22,0.8,113000,26,0.8,113009,0.0037760381406687048
22,0.8,113000,26,0.8,113010,0.0036762521917506983
22,0.8,113000,26,0.8,113011,0.00392055642411679
22,0.8,113000,26,0.8,113012,0.0034203691819910892
22,0.8,113000,26,0.8,113013,0.002690767101742728
22,0.8,113000,26,0.8,113014,0.0034142679325223245
22,0.8,113000,26,0.8,113015,0.004195081559979591
22,0.8,113000,26,0.8,113016,0.0031766985569921524
22,0.8,113000,26,0.8,113017,0.0025694849863027243
22,0.8,113000,26,0.8,113018,0.003547565784279381
22,0.8,113000,26,0.8,113019,0.0032951763018960294
22,0.8,113001,22,0.8,113002,0.0006633827169541252
22,0.8,113001,22,0.8,113003,0.0007441853178578514
22,0.8,113001,22,0.8,113004,0.0015534507471990906
22,0.8,113001,22,0.8,113005,0.0011836655423761754
22,0.8,113001,22,0.8,113006,0.00037230648005690523
22,0.8,113001,22,0.8,113007,0.0008277937877475703
22,0.8,113001,22,0.8,113008,0.0007623933547217393
22,0.8,113001,22,0.8,113009,0.0014542233232082138
22,0.8,113001,22,0.8,113010,0.0020808344648986852
22,0.8,113001,22,0.8,113011,0.0004005789850872981
22,0.8,113001,22,0.8,113012,0.0011315470124117137
22,0.8,113001,22,0.8,113013,0.001419826508154034
22,0.8,113001,22,0.8,113014,0.0015087122928200654
22,0.8,113001,22,0.8,113015,0.0008878838418504587
22,0.8,113001,22,0.8,113016,0.0008572415290333489
22,0.8,113001,22,0.8,113017,0.0006679708386163657
22,0.8,113001,22,0.8,113018,0.0011824795793074073
22,0.8,113001,22,0.8,113019,0.0006819882485037171
22,0.8,113001,24,0.8,113000,0.003640815720124916
22,0.8,113001,24,0.8,113001,0.0029743440729293564
22,0.8,113001,24,0.8,113002,0.003118269086504557
22,0.8,113001,24,0.8,113003,0.004117020996522479
22,0.8,113001,24,0.8,113004,0.003826051793637822
22,0.8,113001,24,0.8,113005,0.00222503115407514
22,0.8,113001,24,0.8,113006,0.003133015103200731
22,0.8,113001,24,0.8,113007,0.0035538319993495
22,0.8,113001,24,0.8,113008,0.002116185461077897
22,0.8,113001,24,0.8,113009,0.002562919324723234
22,0.8,113001,24,0.8,113010,0.0023843314810555647
22,0.8,113001,24,0.8,113011,0.002967953341504041
22,0.8,113001,24,0.8,113012,0.0031703858631138937
22,0.8,113001,24,0.8,113013,0.0024501466457736354
22,0.8,113001,24,0.8,113014,0.0015120405996719816
22,0.8,113001,24,0.8,113015,0.0028433674115355655
22,0.8,113001,24,0.8,113016,0.002491363274614512
22,0.8,113001,24,0.8,113017,0.002765975484001117
22,0.8,113001,24,0.8,113018,0.0028128305505521318
22,0.8,113001,24,0.8,113019,0.003490978728099804
22,0.8,113001,26,0.8,113000,0.004096104188466972
22,0.8,113001,26,0.8,113001,0.0023400930912223293
22,0.8,113001,26,0.8,113002,0.0033683185696608765
22,0.8,113001,26,0.8,113003,0.004335222806376329
22,0.8,113001,26,0.8,113004,0.003616267346182909
22,0.8,113001,26,0.8,113005,0.003480103425276445
22,0.8,113001,26,0.8,113006,0.004553559321641697
22,0.8,113001,26,0.8,113007,0.004586016898606053
22,0.8,113001,26,0.8,113008,0.0033959470677793254
22,0.8,113001,26,0.8,113009,0.004249196539058584
22,0.8,113001,26,0.8,113010,0.004150340148616901
22,0.8,113001,26,0.8,113011,0.0043933963975195415
22,0.8,113001,26,0.8,113012,0.003893660897439275
22,0.8,113001,26,0.8,113013,0.0031572713858527657
22,0.8,113001,26,0.8,113014,0.0038887306408065024
22,0.8,113001,26,0.8,113015,0.004667651111005807
22,0.8,113001,26,0.8,113016,0.0036496269179344325
22,0.8,113001,26,0.8,113017,0.0029924143281834428
22,0.8,113001,26,0.8,113018,0.004019756591869349
22,0.8,113001,26,0.8,113019,0.0037620337014630766
22,0.8,113002,22,0.8,113003,0.0003229120491289121
22,0.8,113002,22,0.8,113004,0.0009576318619258792
22,0.8,113002,22,0.8,113005,0.0011258547137799758
22,0.8,113002,22,0.8,113006,0.00032756191599802865
22,0.8,113002,22,0.8,113007,0.0008153217099187764
22,0.8,113002,22,0.8,113008,0.0003196885177386394
22,0.8,113002,22,0.8,113009,0.0011670326135065506
22,0.8,113002,22,0.8,113010,0.001790014257275155
22,0.8,113002,22,0.8,113011,0.0005372460950102992
22,0.8,113002,22,0.8,113012,0.0011168639585374673
22,0.8,113002,22,0.8,113013,0.0011522839510889234
22,0.8,113002,22,0.8,113014,0.001574353212012701
22,0.8,113002,22,0.8,113015,0.00031500875627831117
22,0.8,113002,22,0.8,113016,0.0004274433988042798
22,0.8,113002,22,0.8,113017,0.0007695771398958026
22,0.8,113002,22,0.8,113018,0.0007086860170012509
22,0.8,113002,22,0.8,113019,0.00027061823560741674
22,0.8,113002,24,0.8,113000,0.0036294472403997175
22,0.8,113002,24,0.8,113001,0.0028567503989758197
22,0.8,113002,24,0.8,113002,0.00303550043989942
22,0.8,113002,24,0.8,113003,0.004189561927741257
22,0.8,113002,24,0.8,113004,0.0036882035123632006
22,0.8,113002,24,0.8,113005,0.0020039561627300173
22,0.8,113002,24,0.8,113006,0.003014713993337946
22,0.8,113002,24,0.8,113007,0.00341359587848254
22,0.8,113002,24,0.8,113008,0.0018996312031587768
22,0.8,113002,24,0.8,113009,0.0024018303712081707
22,0.8,113002,24,0.8,113010,0.0021960601173403923
22,0.8,113002,24,0.8,113011,0.002901785762124914
22,0.8,113002,24,0.8,113012,0.0030546848863906794
