N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
1,0.8,72000,13576,3343,0,0,3343,0.029612975695211666,0.029612975695211666,0.9090909090909091,5.145539502539067,False,0
1,0.8,72001,13613,3334,0,0,3334,0.008133602361199293,0.008133602361199293,0.9333333333333333,5.675647307123575,False,0
1,0.8,72002,13639,3453,0,0,3453,0.07044077915658967,0.07044077915658967,0.96875,3.2679516268090607,False,0
1,0.8,72003,13581,3308,0,0,3308,0.003066681086916525,0.003066681086916525,1.0,4.366266067667719,False,0
1,0.8,72004,13574,3320,0,0,3320,0.06574160741301217,0.06574160741301217,1.0,3.8464440800412842,False,0
2,0.8,72000,27720,6294,0,0,6294,0.7996597362787295,0.5654448221645358,0.9090909090909091,5.100079610334683,False,0
2,0.8,72001,27680,6231,0,0,6231,0.8885795365100718,0.6283206158898711,1.0,3.6031540326644906,False,0
2,0.8,72002,27753,6350,0,0,6350,1.1245370325666642,0.7951677614232856,0.925,6.036106130241997,False,0
2,0.8,72003,27662,6170,0,0,6170,0.8037066174265624,0.5683063992668245,1.0,5.030092054060732,False,0
2,0.8,72004,27763,6321,0,0,6321,0.7842732098563042,0.5545649049923329,1.0,5.748769254454856,False,0
4,0.8,72000,56171,12029,0,0,12029,0.7689681642590388,0.3844840821295194,1.0,5.876584340260128,False,0
4,0.8,72001,56128,11990,0,0,11990,0.667288759648763,0.3336443798243815,0.9759036144578314,4.725730243076159,False,0
4,0.8,72002,56158,12046,0,0,12046,1.1388248004165547,0.5694124002082773,0.9770114942528736,4.635845617432237,False,0
4,0.8,72003,56226,12022,0,0,12022,0.9441429229405126,0.4720714614702563,0.9887640449438202,4.448758853857423,False,0
4,0.8,72004,56132,11881,0,0,11881,1.0510493910263385,0.5255246955131693,0.987012987012987,5.718990144666212,False,0
8,0.8,72000,113077,23664,0,0,23664,1.3344993996823047,0.4718167875023672,0.9591836734693877,5.078187271469409,False,0
8,0.8,72001,113158,23476,0,0,23476,1.230198103193534,0.43494071048548805,0.9719101123595506,4.579093192918245,False,0
8,0.8,72002,113116,23292,0,0,23292,0.8702929673605715,0.30769502941981136,0.9593023255813954,4.761090628477607,False,0
8,0.8,72003,113124,23387,0,0,23387,1.0024277326957287,0.3544117237193028,0.9659090909090909,4.4676471000777385,False,0
8,0.8,72004,113089,23469,0,0,23469,0.7939392095895723,0.2806998994753371,0.9763313609467456,4.773365525702454,False,0
16,0.8,72000,215984,46298,11186,199,46298,0.7638003174472495,0.19095007936181238,0.9762611275964391,4.936931997867388,False,0
16,0.8,72001,224152,46394,2979,12,46394,0.4764254732260246,0.11910636830650614,0.9727272727272728,4.976711077298078,False,0
16,0.8,72002,224118,46253,2979,21,46253,0.15192072102527945,0.03798018025631986,0.9627118644067797,5.214797558295397,False,0
16,0.8,72003,221158,46258,5953,41,46258,4.662465121249347,1.1656162803123367,0.9658119658119658,4.347868004718234,False,0
16,0.8,72004,217445,46606,9685,70,46606,3.2093955223350483,0.8023488805837621,0.9665653495440729,4.57705531058283,False,0
32,0.8,72000,16501,15062,438610,77157,15062,6.333825350121769,1.1196727139805902,0.9703703703703703,4.774851244467351,False,0
32,0.8,72001,20248,18002,434823,74122,18002,6.298873766852516,1.1134940885948665,0.9854838709677419,5.307081959065882,False,0
32,0.8,72002,19499,17413,435640,75091,17412,6.106907045974064,1.079558846071042,0.9839228295819936,5.544843097826771,False,0
32,0.8,72003,18000,16181,437113,75935,16179,6.17084373721857,1.090861363057447,0.9840510366826156,5.326900287201654,False,0
32,0.8,72004,15001,13845,440082,78210,13845,6.080716182275036,1.074928911739363,0.9817351598173516,5.112829604683205,False,0
64,0.8,72000,14251,13772,896902,170606,13772,8.828713370507893,1.1035891713134867,0.9690402476780186,5.102707865553661,False,0
64,0.8,72001,14251,13738,896870,169802,13738,8.765004854822285,1.0956256068527856,0.9722222222222222,5.0250045415551865,False,0
64,0.8,72002,14251,13761,896863,169842,13761,8.997066591261534,1.1246333239076918,0.9729102167182663,5.17338858171178,False,0
64,0.8,72003,14251,13744,896856,170946,13744,8.718719626072408,1.089839953259051,0.979483282674772,5.081060337976451,False,0
64,0.8,72004,14251,13765,896940,170259,13765,8.763440043401681,1.0954300054252102,0.9784065524944154,4.958655332070775,False,0
128,0.8,72000,14251,13993,1808886,352991,13993,12.53742070615843,1.1081618999891574,0.9770873786407767,5.1694267437150945,False,0
128,0.8,72001,14251,13989,1808936,353027,13989,12.179068899238086,1.0764877758986788,0.9755134281200631,5.285774565392483,False,0
128,0.8,72002,14250,13982,1808974,352821,13982,12.27268939046688,1.084762736424416,0.9807618314736437,5.0772983032943895,False,0
128,0.8,72003,14251,14000,1808988,353978,14000,12.033728574993724,1.063641384792049,0.9777777777777777,4.908851586215115,False,0
128,0.8,72004,14251,13984,1808947,353601,13984,12.20008401631192,1.078345267372471,0.9807306302689683,5.353690227587322,False,0
