seed_a,seed_b,d_l2
75000,75001,0.0015992247589954394
75000,75002,0.0018633631565547297
75000,75003,0.0022622908777300043
75000,75004,0.0012326441288914715
75000,75000,0.0007687676938606605
75000,75001,0.001089980091336224
75000,75002,0.0012586385271833793
75000,75003,0.0009333636674819124
75000,75004,0.0006849509802758676
75000,75000,0.0017768937188749245
75000,75001,0.001620736084941161
75000,75002,0.0012442862347983698
75000,75003,0.0018134443517208113
75000,75004,0.0009437403022218027
75000,75000,0.002223967178598587
75000,75001,0.002550740692583571
75000,75002,0.002228194280929433
75000,75003,0.002062440437618253
75000,75004,0.0034163936449921944
75001,75002,0.0006513583934519443
75001,75003,0.0008036599268136694
75001,75004,0.0006994321984685304
75001,75000,0.0020323810867699595
75001,75001,0.000589603326381337
75001,75002,0.0028029961795373584
75001,75003,0.0022816523248993152
75001,75004,0.0013731658659583848
75001,75000,0.0031876817513009584
75001,75001,0.0027909010540151753
75001,75002,0.0026789668617585092
75001,75003,0.003244888898752474
75001,75004,0.002192871661569194
75001,75000,0.00367567737145729
75001,75001,0.004048255728827366
75001,75002,0.0036295188599458333
75001,75003,0.003492579381397961
75001,75004,0.004943143426149109
75002,75003,0.0005007570335637861
75002,75004,0.0006576953543765341
75002,75000,0.002450528193767306
75002,75001,0.0009568583363166598
75002,75002,0.0031045871272421055
75002,75003,0.0026517715650411842
75002,75004,0.00183057099052163
75002,75000,0.0035721541567657823
75002,75001,0.0032419869591269962
75002,75002,0.0030448361601055586
75002,75003,0.0036044578407215624
75002,75004,0.0026027611586671704
75002,75000,0.004038509923005195
75002,75001,0.004371348197164023
75002,75002,0.004006542189602846
75002,75003,0.0038805426416238463
75002,75004,0.005256117368225603
75003,75004,0.001078710753924331
75003,75000,0.0027930566071214884
75003,75001,0.00130448670092407
75003,75002,0.0035073322646517234
75003,75003,0.0030308573560256322
75003,75004,0.0021521084438294114
75003,75000,0.0039438044257606554
75003,75001,0.003576714910308807
75003,75002,0.003423913574921694
75003,75003,0.0039923101076564105
75003,75004,0.002959440885197047
75003,75000,0.004422733267821776
75003,75001,0.0047752221946315565
75003,75002,0.004386476305400672
75003,75003,0.004246207275941391
75003,75004,0.0056623952942662726
75004,75000,0.001873641122146178
75004,75001,0.0006007640946673089
75004,75002,0.002482286541032582
75004,75003,0.002078606450910427
75004,75004,0.00132584067563042
75004,75000,0.002980810068613109
