N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
21,0.8,75000,95126,44714,203219,15833,44711,4.980304971685262,1.0867916436529819,0.9776286353467561,5.200130102414839,True,20
21,0.8,75001,104860,47244,193451,13286,47242,1.3667173020426095,0.2982421662007658,0.9640449438202248,4.797362283707023,True,20
21,0.8,75002,149002,52655,149360,7627,52654,0.3588481960021532,0.07830709624658175,0.9791666666666666,5.133068127597481,True,20
21,0.8,75003,122808,48871,175489,11256,48867,0.19154679568354027,0.041798937635526855,0.9526184538653366,5.150628989793174,True,20
21,0.8,75004,126523,48647,171810,12249,48645,5.034188560218401,1.0985500066610276,0.9727891156462585,4.8453809787159035,True,20
22,0.8,75000,77184,42151,235432,21257,42148,5.05828470723407,1.0784299231129328,0.9846827133479212,5.374002116952713,True,20
22,0.8,75001,96641,46392,215977,16964,46390,5.068872897388548,1.0806873328387772,0.9714285714285714,4.656064166889298,True,20
22,0.8,75002,72689,40291,239896,23092,40289,5.089811008269064,1.0851513530776362,0.983402489626556,4.466782729207233,True,20
22,0.8,75003,68189,38660,244407,24656,38658,0.7242542076914771,0.15441151590338797,0.98,5.03996717019931,True,20
22,0.8,75004,83917,42544,228691,21020,42543,5.354227296411693,1.1415250951257363,0.9811320754716981,5.749499231219375,True,20
23,0.8,75000,52485,35416,274412,31172,35415,5.314840741947066,1.108220903113761,0.9782608695652174,5.365896007986367,True,20
23,0.8,75001,54727,34905,272147,31598,34902,5.200671194398415,1.084414906803493,0.9815242494226328,5.650695929450528,True,20
23,0.8,75002,55458,35176,271391,31207,35176,5.2777375652235285,1.1004843559595965,0.9725738396624473,5.146999969012651,True,20
23,0.8,75003,56972,35760,269876,30584,35756,5.103817715239168,1.064219560347213,0.967032967032967,5.297630554270975,True,20
23,0.8,75004,65962,39142,260864,27440,39138,5.263406586464888,1.0974961403208743,0.9715447154471545,4.93297607311677,True,20
24,0.8,75000,46477,32009,294646,37286,32008,5.423264376448002,1.1070192052092325,0.9738430583501007,4.944794664283257,True,20
24,0.8,75001,47971,31656,293175,37683,31654,5.40802999960122,1.1039095010572422,0.9743589743589743,4.774282183830665,True,20
24,0.8,75002,50226,33727,290934,35423,33726,5.343700960894839,1.0907783910177102,0.982,5.22498806981714,True,20
24,0.8,75003,49477,34380,291660,35070,34378,5.23112262540817,1.0677984345148601,0.9795918367346939,5.0789761948200125,True,20
24,0.8,75004,42738,31273,298416,38098,31271,5.258013140734422,1.0732874379706776,0.9786821705426356,4.8802384219459976,True,20
