seed_a,seed_b,d_l2
79000,79001,0.0010977313447713423
79000,79002,0.0010105912044308303
79000,79003,0.000571948871039048
79000,79004,0.000463665053426946
79000,79005,0.0005764224189782099
79000,79006,0.0002542875863605399
79000,79007,0.001994850665807012
79000,79008,0.0035654061912481065
79000,79009,0.0004395439695685734
79000,79010,0.0006926339011935198
79000,79011,0.0005117247199195998
79000,79012,0.0007618442063017473
79000,79013,0.0010881245002370438
79000,79014,0.0019431935039100332
79000,79015,0.0003610963402926073
79000,79016,0.001163335156198795
79000,79017,0.0015021023782683292
79000,79018,0.0012446031919884572
79000,79019,0.00011889010906688064
79001,79002,0.00022411577920287157
79001,79003,0.0005442660866228834
79001,79004,0.0015368635624418432
79001,79005,0.0005423527427150546
79001,79006,0.0008783207005297608
79001,79007,0.0012803063503614106
79001,79008,0.0025902081427648122
79001,79009,0.0015289864609078464
79001,79010,0.0004504897000390715
79001,79011,0.0011524576128919134
79001,79012,0.0004356772095536506
79001,79013,0.0008216943242752724
79001,79014,0.0009318675700988935
79001,79015,0.0007545551213207797
79001,79016,0.00038872417398322297
79001,79017,0.0006180710402258201
79001,79018,0.0005152906617351458
79001,79019,0.0010153021939476685
79002,79003,0.0004428970208339299
79002,79004,0.001438240955276609
79002,79005,0.0004499531071358766
79002,79006,0.000817932236977014
79002,79007,0.0011785821653783977
79002,79008,0.002592495268925615
79002,79009,0.0014419395337072914
79002,79010,0.0004557862064262415
79002,79011,0.001000345907685193
79002,79012,0.00030614295067398433
79002,79013,0.0006397679480237579
79002,79014,0.000948644893967109
79002,79015,0.0006773002500518917
79002,79016,0.0002573020166279222
79002,79017,0.0005488903602981741
79002,79018,0.00037369863974782725
79002,79019,0.0009375413502357839
79003,79004,0.001003132838615201
79003,79005,6.849693174119248e-05
79003,79006,0.0003959726929744502
79003,79007,0.0015078183343319837
79003,79008,0.0030140574915829194
79003,79009,0.0010046716459043942
79003,79010,0.0002674484849684924
79003,79011,0.0006539316911763609
79003,79012,0.00023035820176691433
79003,79013,0.0007060716033131907
79003,79014,0.0013768893918843746
79003,79015,0.00024450883395132135
79003,79016,0.0006109917756426413
79003,79017,0.0009498985157570976
79003,79018,0.0007080317630842613
79003,79019,0.0004968690121045848
79004,79005,0.0010048878818599272
79004,79006,0.0007061991942929675
79004,79007,0.0023208584512656636
79004,79008,0.003942691190585827
79004,79009,0.00018057555428669094
79004,79010,0.0011387278404210218
79004,79011,0.0006431157083440785
79004,79012,0.0011720661130149783
79004,79013,0.0013898836089026292
79004,79014,0.0023474023750145183
79004,79015,0.0007906908552659997
79004,79016,0.0015602924320878842
79004,79017,0.0018945289214688712
79004,79018,0.001627592404492189
79004,79019,0.0005317541105794633
79005,79006,0.00039959192581033695
79005,79007,0.0015216779622371163
79005,79008,0.0030200648980965978
79005,79009,0.0010107057970241474
79005,79010,0.00026034067968532703
79005,79011,0.0006630371744177267
79005,79012,0.00025017892144500964
79005,79013,0.0007249684091056676
79005,79014,0.0013745063781148577
79005,79015,0.0002332735658468607
79005,79016,0.0006179496301192691
79005,79017,0.0009556400342706952
79005,79018,0.0007155282615840214
79005,79019,0.0004984128724628849
79006,79007,0.0018846205447001455
79006,79008,0.003401710928380305
79006,79009,0.0006672706948531833
79006,79010,0.00045358558627624793
79006,79011,0.0006386501701741576
79006,79012,0.0005993224294970906
79006,79013,0.0010260640464830758
79006,79014,0.001760473484140753
79006,79015,0.00020528909462570215
79006,79016,0.0010015561718489275
79006,79017,0.0013405607205265015
79006,79018,0.0010998233556596313
79006,79019,0.0002027288376225535
79007,79008,0.0016885509268652476
79007,79009,0.0023645685681664827
79007,79010,0.001619321544342161
79007,79011,0.0017015312556642832
79007,79012,0.001304437366080538
79007,79013,0.0009381591010704052
79007,79014,0.0007730622808421229
79007,79015,0.001728587613529958
79007,79016,0.0009426739114815814
79007,79017,0.000681071360340019
79007,79018,0.0008304233849788904
79007,79019,0.001933329459425496
79008,79009,0.0039732317057881725
79008,79010,0.0030270713930699964
79008,79011,0.0033508780571386864
79008,79012,0.002816950706245867
