N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
28,0.8,79000,26251,22102,371881,58736,22099,5.724274458864772,1.0817861896025014,0.9844827586206897,5.214073297755756,True,20
28,0.8,79001,22498,19468,375608,61399,19467,5.840437908832763,1.1037390181775442,0.9777397260273972,5.259151610795361,True,20
28,0.8,79002,24000,20463,374080,60078,20461,6.038767907113508,1.1412198648185954,0.9913344887348353,5.61379798385712,True,20
28,0.8,79003,24750,21062,373374,59811,21060,5.959632447032985,1.1262646685857567,0.9858657243816255,5.214340621013448,True,20
28,0.8,79004,27749,23115,370363,57245,23115,5.944399832058934,1.123385974940147,0.9711711711711711,5.413140916496486,True,20
28,0.8,79005,23998,20595,374143,60614,20595,5.8555296624558775,1.106591091530017,0.9709208400646203,4.338304645335525,True,20
28,0.8,79006,21751,18799,376376,61934,18797,5.71003422383885,1.0790950381389512,0.9683333333333334,4.3767064782775496,True,20
28,0.8,79007,33744,26667,364323,53859,26667,5.940848255511847,1.1227147900611611,0.9774305555555556,5.2144612878156495,True,20
28,0.8,79008,26992,22310,371121,58065,22310,5.815014898762811,1.0989345208758454,0.9754816112084063,5.144134853044206,True,20
28,0.8,79009,21747,18800,376346,61886,18799,5.847838841514286,1.1051376629879184,0.9732142857142857,5.5554923167056565,True,20
28,0.8,79010,21748,18933,376321,61913,18931,5.794955757190599,1.095143699439166,0.9773913043478261,5.172804382511786,True,20
28,0.8,79011,28495,23681,369628,57325,23680,5.714034753003071,1.0798510670876078,0.9833333333333333,5.63699449406416,True,20
28,0.8,79012,22498,19421,375612,61484,19419,6.195133640726468,1.1707702108694573,0.966996699669967,4.563424499308635,True,20
28,0.8,79013,28496,23667,369634,57084,23666,5.985027980135208,1.1310639732286418,0.9881956155143339,5.034781762226817,True,20
28,0.8,79014,25501,21504,372622,59477,21501,5.960594364349894,1.1264464538716386,0.9802867383512545,5.497876585067788,True,20
28,0.8,79015,23250,20075,374876,60909,20075,5.735579766319914,1.0839226918897464,0.984375,4.963308366979675,True,20
28,0.8,79016,24750,21007,373382,59897,21006,5.764340140283548,1.0893578916841031,0.989492119089317,5.111179636941426,True,20
28,0.8,79017,24748,20896,373373,59850,20896,5.658202198191483,1.0692997060095475,0.9744463373083475,4.984037467878272,True,20
28,0.8,79018,25501,21443,372590,59187,21441,5.826888196318301,1.1011783632025665,0.973421926910299,4.6495631969613544,True,20
28,0.8,79019,25498,21720,372627,59115,21719,5.606798035123044,1.0595852323072261,0.9754385964912281,4.986467063308831,True,20
