N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
28,0.8,95000,28,0.8,95001,0.000788234720403621
28,0.8,95000,28,0.8,95002,0.0009029348298056188
28,0.8,95000,28,0.8,95003,0.000518320409171532
28,0.8,95000,28,0.8,95004,0.0006297100997239622
28,0.8,95000,28,0.8,95005,0.0010436355366638752
28,0.8,95000,28,0.8,95006,0.0006508862870054052
28,0.8,95000,28,0.8,95007,0.0008221602287769578
28,0.8,95000,28,0.8,95008,0.0006963275462052852
28,0.8,95000,28,0.8,95009,0.00044334318535925015
28,0.8,95000,28,0.8,95010,0.0003416710508244548
28,0.8,95000,28,0.8,95011,0.0005385233779508567
28,0.8,95000,28,0.8,95012,0.00030562160718749517
28,0.8,95000,28,0.8,95013,0.0004353197372823114
28,0.8,95000,28,0.8,95014,0.0004497326399026815
28,0.8,95000,28,0.8,95015,0.001526971401723084
28,0.8,95000,28,0.8,95016,0.0012717615563067536
28,0.8,95000,28,0.8,95017,0.0011760463780918786
28,0.8,95000,28,0.8,95018,0.00028219832978905994
28,0.8,95000,28,0.8,95019,0.0007785356065098893
28,0.8,95000,28,0.8,95020,0.00020865443352485332
28,0.8,95000,28,0.8,95021,0.0008256601809932982
28,0.8,95000,28,0.8,95022,0.0012150693754105083
28,0.8,95000,28,0.8,95023,0.0015303184020043275
28,0.8,95000,28,0.8,95024,0.0006189095744662007
28,0.8,95000,28,0.8,95025,0.0012419194323847764
28,0.8,95000,28,0.8,95026,0.0006542235470022901
28,0.8,95000,28,0.8,95027,0.0006248971677854586
28,0.8,95000,28,0.8,95028,0.0005926264352858783
28,0.8,95000,28,0.8,95029,0.0005152291034685286
28,0.8,95000,28,0.8,95030,0.00021803908431939847
28,0.8,95000,28,0.8,95031,0.0014731298668473273
28,0.8,95000,28,0.8,95032,0.0007879519475925646
28,0.8,95000,28,0.8,95033,0.00026695861054709387
28,0.8,95000,28,0.8,95034,0.0005943032417443055
28,0.8,95000,28,0.8,95035,0.00011395675048509703
28,0.8,95000,28,0.8,95036,0.0004250869805792561
28,0.8,95000,28,0.8,95037,0.00012301516615497368
28,0.8,95000,28,0.8,95038,0.0011861651887683084
28,0.8,95000,28,0.8,95039,0.0004112490040816239
28,0.8,95000,28,0.8,95040,0.0008245462897301831
28,0.8,95000,28,0.8,95041,0.006710112160887911
28,0.8,95000,28,0.8,95042,0.00028915760817825137
28,0.8,95000,28,0.8,95043,0.0002602145831185398
28,0.8,95000,28,0.8,95044,0.00041534579341360377
28,0.8,95000,28,0.8,95045,0.0006845580516140145
28,0.8,95000,28,0.8,95046,0.0013367814079328405
28,0.8,95000,28,0.8,95047,0.0008778112449515357
28,0.8,95000,28,0.8,95048,0.0005600469147275743
28,0.8,95000,28,0.8,95049,0.001345454543065821
28,0.8,95000,28,0.8,95050,0.0004376160868332367
28,0.8,95000,28,0.8,95051,0.0005606380003863865
28,0.8,95000,28,0.8,95052,0.001513991850674294
28,0.8,95000,28,0.8,95053,0.0007733344639419833
28,0.8,95000,28,0.8,95054,0.0002969465361852426
28,0.8,95000,28,0.8,95055,0.00021103018717020516
28,0.8,95000,28,0.8,95056,0.0010349720859125625
28,0.8,95000,28,0.8,95057,0.0006575932246554913
28,0.8,95000,28,0.8,95058,0.0005301865420251283
28,0.8,95000,28,0.8,95059,0.0016455361075499175
28,0.8,95000,28,0.8,95060,0.0005498530272701113
28,0.8,95000,28,0.8,95061,0.0010754431769153863
28,0.8,95000,28,0.8,95062,0.0006152765480738724
28,0.8,95000,28,0.8,95063,0.0038303463876163154
28,0.8,95000,28,0.8,95064,0.0009979853904856196
28,0.8,95000,28,0.8,95065,0.000989858849206986
28,0.8,95000,28,0.8,95066,0.0005019223450232349
28,0.8,95000,28,0.8,95067,0.0004987869447399507
28,0.8,95000,28,0.8,95068,0.0011115060910166018
28,0.8,95000,28,0.8,95069,0.0004307578803190417
28,0.8,95000,28,0.8,95070,0.0007936398302098112
28,0.8,95000,28,0.8,95071,0.0008398480865059913
28,0.8,95000,28,0.8,95072,0.0005957565669861762
28,0.8,95000,28,0.8,95073,0.0011205293011328362
28,0.8,95000,28,0.8,95074,0.000749784121233668
28,0.8,95000,28,0.8,95075,0.0006432618142047811
28,0.8,95000,28,0.8,95076,0.0008295285817732182
28,0.8,95000,28,0.8,95077,0.001081288573091467
28,0.8,95000,28,0.8,95078,0.001575746032455499
28,0.8,95000,28,0.8,95079,0.0011920527581302414
28,0.8,95000,28,0.8,95080,0.0013321297901406463
28,0.8,95000,28,0.8,95081,0.00018031319805989293
28,0.8,95000,28,0.8,95082,0.0002462335746258556
28,0.8,95000,28,0.8,95083,0.0006073679016234172
28,0.8,95000,28,0.8,95084,0.001980687335834339
28,0.8,95000,28,0.8,95085,0.0014468534991039694
28,0.8,95000,28,0.8,95086,0.00025769352123579197
28,0.8,95000,28,0.8,95087,0.00017765596630038365
28,0.8,95000,28,0.8,95088,0.000613256069799487
28,0.8,95000,28,0.8,95089,0.00017463066952474413
28,0.8,95000,28,0.8,95090,0.000600879731214657
28,0.8,95000,28,0.8,95091,0.0003968608615129727
28,0.8,95000,28,0.8,95092,0.0007924834765934587
28,0.8,95000,28,0.8,95093,0.00024260622109711902
28,0.8,95000,28,0.8,95094,0.0007531239651759735
28,0.8,95000,28,0.8,95095,0.0011457938699154548
28,0.8,95000,28,0.8,95096,0.000991593643568734
28,0.8,95000,28,0.8,95097,0.0007929692896083199
28,0.8,95000,28,0.8,95098,0.0002916272401543579
28,0.8,95000,28,0.8,95099,0.0008829820419373036
28,0.8,95001,28,0.8,95002,0.0006139791313677593
28,0.8,95001,28,0.8,95003,0.00033972939467265283
28,0.8,95001,28,0.8,95004,0.00016336855401132282
28,0.8,95001,28,0.8,95005,0.00042831723003128715
28,0.8,95001,28,0.8,95006,0.0013405089702713943
28,0.8,95001,28,0.8,95007,0.001591887125756961
28,0.8,95001,28,0.8,95008,0.0012539348315392198
28,0.8,95001,28,0.8,95009,0.0010023892328790047
28,0.8,95001,28,0.8,95010,0.0006886385008886593
28,0.8,95001,28,0.8,95011,0.0005322068252989617
28,0.8,95001,28,0.8,95012,0.00101668161908722
28,0.8,95001,28,0.8,95013,0.0010099808818665153
28,0.8,95001,28,0.8,95014,0.0006543235011453445
28,0.8,95001,28,0.8,95015,0.0009345124953756915
28,0.8,95001,28,0.8,95016,0.0005087226556549635
28,0.8,95001,28,0.8,95017,0.0003950005214382463
28,0.8,95001,28,0.8,95018,0.000621610323440102
28,0.8,95001,28,0.8,95019,0.00047519961526952146
28,0.8,95001,28,0.8,95020,0.0009231964502916717
28,0.8,95001,28,0.8,95021,0.00022522494472180062
28,0.8,95001,28,0.8,95022,0.0005580637557466981
28,0.8,95001,28,0.8,95023,0.000835434032586264
28,0.8,95001,28,0.8,95024,0.0012402652303229315
28,0.8,95001,28,0.8,95025,0.0007227723359491921
28,0.8,95001,28,0.8,95026,0.00032773816416224147
28,0.8,95001,28,0.8,95027,0.00021001805796593624
28,0.8,95001,28,0.8,95028,0.0006970477683450771
28,0.8,95001,28,0.8,95029,0.0007623147447863755
28,0.8,95001,28,0.8,95030,0.0005962307091919801
28,0.8,95001,28,0.8,95031,0.000794169098187879
28,0.8,95001,28,0.8,95032,0.0004171820693519699
28,0.8,95001,28,0.8,95033,0.0009757040172520641
28,0.8,95001,28,0.8,95034,0.000556725070032675
28,0.8,95001,28,0.8,95035,0.0008159734912782031
28,0.8,95001,28,0.8,95036,0.0005462144517901581
28,0.8,95001,28,0.8,95037,0.0007622168106766593
28,0.8,95001,28,0.8,95038,0.0004681880994991993
28,0.8,95001,28,0.8,95039,0.000774617064630071
28,0.8,95001,28,0.8,95040,0.00038796123182373223
28,0.8,95001,28,0.8,95041,0.0074862451244526685
28,0.8,95001,28,0.8,95042,0.0005941984255228205
28,0.8,95001,28,0.8,95043,0.0005915222839166653
28,0.8,95001,28,0.8,95044,0.0008152262515104408
28,0.8,95001,28,0.8,95045,0.0014421172374917697
28,0.8,95001,28,0.8,95046,0.0005534222162349585
28,0.8,95001,28,0.8,95047,0.00011000004280694063
28,0.8,95001,28,0.8,95048,0.00046996960379508667
28,0.8,95001,28,0.8,95049,0.0006418567471811314
28,0.8,95001,28,0.8,95050,0.0006059055604413085
28,0.8,95001,28,0.8,95051,0.0003043325272229278
28,0.8,95001,28,0.8,95052,0.0010781588146556338
28,0.8,95001,28,0.8,95053,0.0006008543750246578
28,0.8,95001,28,0.8,95054,0.0005461371119002144
28,0.8,95001,28,0.8,95055,0.0008737277545071389
28,0.8,95001,28,0.8,95056,0.0002944368333736822
28,0.8,95001,28,0.8,95057,0.001312638431358283
28,0.8,95001,28,0.8,95058,0.0003197706550660816
28,0.8,95001,28,0.8,95059,0.000906977042775703
28,0.8,95001,28,0.8,95060,0.0008232493685660577
28,0.8,95001,28,0.8,95061,0.0003539949725926075
28,0.8,95001,28,0.8,95062,0.000808775474640457
28,0.8,95001,28,0.8,95063,0.004604348930985843
28,0.8,95001,28,0.8,95064,0.000540547983835148
28,0.8,95001,28,0.8,95065,0.0017480939205861603
28,0.8,95001,28,0.8,95066,0.0012603302553376714
28,0.8,95001,28,0.8,95067,0.0006229184940714106
