N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
22,0.8,80000,22,0.8,80001,0.0032477619775104364
22,0.8,80000,22,0.8,80002,0.0010856847766407998
22,0.8,80000,22,0.8,80003,0.0007401759115400582
22,0.8,80000,22,0.8,80004,0.0018419342507202392
22,0.8,80000,22,0.8,80005,0.002980642277220761
22,0.8,80000,22,0.8,80006,0.0019313132967412477
22,0.8,80000,22,0.8,80007,0.0029648137542948095
22,0.8,80000,22,0.8,80008,0.0031853476758968036
22,0.8,80000,22,0.8,80009,0.003132950711644808
22,0.8,80000,22,0.8,80010,0.0005881586644505178
22,0.8,80000,22,0.8,80011,0.0005582070786207831
22,0.8,80000,22,0.8,80012,0.0009314554879556562
22,0.8,80000,22,0.8,80013,0.003677981461675103
22,0.8,80000,22,0.8,80014,0.0032555664916367466
22,0.8,80000,22,0.8,80015,0.0004116223972163038
22,0.8,80000,22,0.8,80016,0.0008293075227634209
22,0.8,80000,22,0.8,80017,0.000644764449328237
22,0.8,80000,22,0.8,80018,0.0025862229991372955
22,0.8,80000,22,0.8,80019,0.00215565504795108
22,0.8,80000,23,0.8,80000,0.00199492382660358
22,0.8,80000,23,0.8,80001,0.001034036461904574
22,0.8,80000,23,0.8,80002,0.001691528199802599
22,0.8,80000,23,0.8,80003,0.001245127714592634
22,0.8,80000,23,0.8,80004,0.0015783596617370004
22,0.8,80000,23,0.8,80005,0.0009864469883534616
22,0.8,80000,23,0.8,80006,0.0010121267874338216
22,0.8,80000,23,0.8,80007,0.0013666512955229986
22,0.8,80000,23,0.8,80008,0.0012586450980520798
22,0.8,80000,23,0.8,80009,0.0014954640693152315
22,0.8,80000,23,0.8,80010,0.0004477390696731182
22,0.8,80000,23,0.8,80011,0.0023008051031093036
22,0.8,80000,23,0.8,80012,0.0004346154261697126
22,0.8,80000,23,0.8,80013,0.0015084649575898357
22,0.8,80000,23,0.8,80014,0.0014557755068076495
22,0.8,80000,23,0.8,80015,0.0013299831891993308
22,0.8,80000,23,0.8,80016,0.0012530819158670036
22,0.8,80000,23,0.8,80017,0.002501614645050779
22,0.8,80000,23,0.8,80018,0.002208022465184382
22,0.8,80000,23,0.8,80019,0.0011413835919107374
22,0.8,80000,24,0.8,80000,0.0026227679764307633
22,0.8,80000,24,0.8,80001,0.0020204916724676255
22,0.8,80000,24,0.8,80002,0.002289072633994894
22,0.8,80000,24,0.8,80003,0.002608183956187107
22,0.8,80000,24,0.8,80004,0.0008816586735869059
22,0.8,80000,24,0.8,80005,0.002000318416961929
22,0.8,80000,24,0.8,80006,0.0014705728631161123
22,0.8,80000,24,0.8,80007,0.0013643472359147848
22,0.8,80000,24,0.8,80008,0.0032386913868583085
22,0.8,80000,24,0.8,80009,0.0016605046776903066
22,0.8,80000,24,0.8,80010,0.0012454475478240509
22,0.8,80000,24,0.8,80011,0.002430957784789453
22,0.8,80000,24,0.8,80012,0.0013111466115374342
22,0.8,80000,24,0.8,80013,0.002408894128598608
22,0.8,80000,24,0.8,80014,0.001768641482268179
22,0.8,80000,24,0.8,80015,0.0011548620704891774
22,0.8,80000,24,0.8,80016,0.0016322428738578044
22,0.8,80000,24,0.8,80017,0.002407482336455873
22,0.8,80000,24,0.8,80018,0.002479950534387146
22,0.8,80000,24,0.8,80019,0.0017655018004901354
22,0.8,80000,28,0.8,80000,0.00360055013469106
22,0.8,80000,28,0.8,80001,0.0030422192960735945
22,0.8,80000,28,0.8,80002,0.0038704120182902033
22,0.8,80000,28,0.8,80003,0.003930660703356649
22,0.8,80000,28,0.8,80004,0.003993206197849709
22,0.8,80000,28,0.8,80005,0.0042247990726679745
22,0.8,80000,28,0.8,80006,0.0032173719225734344
22,0.8,80000,28,0.8,80007,0.0045850740782488785
22,0.8,80000,28,0.8,80008,0.0035343747426581766
22,0.8,80000,28,0.8,80009,0.0034992209296238544
22,0.8,80000,28,0.8,80010,0.003974832776894339
22,0.8,80000,28,0.8,80011,0.003208178433957057
22,0.8,80000,28,0.8,80012,0.0029989496708137985
22,0.8,80000,28,0.8,80013,0.004009011899007675
22,0.8,80000,28,0.8,80014,0.0035508118837665487
22,0.8,80000,28,0.8,80015,0.004025179421815046
22,0.8,80000,28,0.8,80016,0.0030079315545630146
22,0.8,80000,28,0.8,80017,0.004792707897596149
22,0.8,80000,28,0.8,80018,0.004026563603814574
22,0.8,80000,28,0.8,80019,0.0037719181965412767
22,0.8,80001,22,0.8,80002,0.0021835211602684087
22,0.8,80001,22,0.8,80003,0.003394622589882875
22,0.8,80001,22,0.8,80004,0.00142595471190144
22,0.8,80001,22,0.8,80005,0.0006728233873946021
22,0.8,80001,22,0.8,80006,0.0013866852937493986
22,0.8,80001,22,0.8,80007,0.0009275797597069448
22,0.8,80001,22,0.8,80008,0.0011157057161214985
22,0.8,80001,22,0.8,80009,0.0008312480448944534
22,0.8,80001,22,0.8,80010,0.0033118400195387525
22,0.8,80001,22,0.8,80011,0.003623915169619803
22,0.8,80001,22,0.8,80012,0.0023223396854023404
22,0.8,80001,22,0.8,80013,0.0008422194404065933
22,0.8,80001,22,0.8,80014,0.0004930138997379288
22,0.8,80001,22,0.8,80015,0.0029594935289136795
22,0.8,80001,22,0.8,80016,0.0038308511115444956
22,0.8,80001,22,0.8,80017,0.0030378570588837093
22,0.8,80001,22,0.8,80018,0.0007231823447201299
22,0.8,80001,22,0.8,80019,0.0012037803606011967
22,0.8,80001,23,0.8,80000,0.0012661392590376127
22,0.8,80001,23,0.8,80001,0.0028215846233370814
22,0.8,80001,23,0.8,80002,0.004661396895726238
22,0.8,80001,23,0.8,80003,0.0031185110489709475
22,0.8,80001,23,0.8,80004,0.004217489600619419
22,0.8,80001,23,0.8,80005,0.0023153938967574723
22,0.8,80001,23,0.8,80006,0.0029318215506373094
22,0.8,80001,23,0.8,80007,0.0038185960021727182
22,0.8,80001,23,0.8,80008,0.0037217407451463967
22,0.8,80001,23,0.8,80009,0.0028764568687424936
22,0.8,80001,23,0.8,80010,0.003132130742098813
22,0.8,80001,23,0.8,80011,0.004790451413730824
22,0.8,80001,23,0.8,80012,0.003224105544163607
22,0.8,80001,23,0.8,80013,0.0017661815175097277
22,0.8,80001,23,0.8,80014,0.00379574355963757
22,0.8,80001,23,0.8,80015,0.004444790959110824
22,0.8,80001,23,0.8,80016,0.0034393056846895725
22,0.8,80001,23,0.8,80017,0.0008485947609430181
22,0.8,80001,23,0.8,80018,0.001150440082570745
22,0.8,80001,23,0.8,80019,0.0036313151569573087
22,0.8,80001,24,0.8,80000,0.005551411439364509
22,0.8,80001,24,0.8,80001,0.005096680896638605
22,0.8,80001,24,0.8,80002,0.000983824221576806
22,0.8,80001,24,0.8,80003,0.0007713081181743758
22,0.8,80001,24,0.8,80004,0.0031554415713882507
22,0.8,80001,24,0.8,80005,0.004660474951067403
22,0.8,80001,24,0.8,80006,0.0031356262103623823
22,0.8,80001,24,0.8,80007,0.00402034622531475
22,0.8,80001,24,0.8,80008,0.0005540648495973321
22,0.8,80001,24,0.8,80009,0.002791189920883154
22,0.8,80001,24,0.8,80010,0.0038612290948920507
22,0.8,80001,24,0.8,80011,0.005370085697218149
22,0.8,80001,24,0.8,80012,0.002192129624511111
22,0.8,80001,24,0.8,80013,0.005023865416102178
22,0.8,80001,24,0.8,80014,0.004189179476134141
22,0.8,80001,24,0.8,80015,0.0033495008481678546
22,0.8,80001,24,0.8,80016,0.004081093423662741
22,0.8,80001,24,0.8,80017,0.005330337792130675
