N,n,seed_a,seed_b,d_l2
24,0.8,80000,80001,0.0006832672130128804
24,0.8,80000,80002,0.004597511407481822
24,0.8,80000,80003,0.004808461284423099
24,0.8,80000,80004,0.0024214920069879275
24,0.8,80000,80005,0.0009952557372563378
24,0.8,80000,80006,0.002516565305920216
24,0.8,80000,80007,0.001583280236093539
24,0.8,80000,80008,0.005369379754395193
24,0.8,80000,80009,0.002932820125071967
24,0.8,80000,80010,0.0017295311499105504
24,0.8,80000,80011,0.00021804994234081204
24,0.8,80000,80012,0.0033613406909278913
24,0.8,80000,80013,0.0007824263874075938
24,0.8,80000,80014,0.0014770616333889951
24,0.8,80000,80015,0.002216203460433812
24,0.8,80000,80016,0.0015522148960673663
24,0.8,80000,80017,0.00030245557449339825
24,0.8,80000,80018,0.00047206443262929893
24,0.8,80000,80019,0.0010470913470012736
24,0.8,80001,80002,0.004128752536317594
24,0.8,80001,80003,0.004375844699397801
24,0.8,80001,80004,0.001981113674314753
24,0.8,80001,80005,0.0009397359750919209
24,0.8,80001,80006,0.002225061509630529
24,0.8,80001,80007,0.001230043549650166
24,0.8,80001,80008,0.004965393997695678
24,0.8,80001,80009,0.002638495161836035
24,0.8,80001,80010,0.0013530417782713763
24,0.8,80001,80011,0.000524871159490079
24,0.8,80001,80012,0.0029219292853622457
24,0.8,80001,80013,0.0010390677374606232
24,0.8,80001,80014,0.0013290419417231055
24,0.8,80001,80015,0.0018551862081994136
24,0.8,80001,80016,0.0013396504758957644
24,0.8,80001,80017,0.0005534346704822915
24,0.8,80001,80018,0.0008359094267796567
24,0.8,80001,80019,0.0008227229026077604
24,0.8,80002,80003,0.0004533510283288392
24,0.8,80002,80004,0.0021904552622975504
24,0.8,80002,80005,0.003719372135349066
24,0.8,80002,80006,0.0022404745170002734
24,0.8,80002,80007,0.003063330599841973
24,0.8,80002,80008,0.000997515077318174
24,0.8,80002,80009,0.0019281911153219264
24,0.8,80002,80010,0.0029023701821415415
24,0.8,80002,80011,0.004412059960142352
24,0.8,80002,80012,0.0012461891077897402
24,0.8,80002,80013,0.004100618336634323
24,0.8,80002,80014,0.0032651739538379428
24,0.8,80002,80015,0.0024129828179385252
24,0.8,80002,80016,0.00314720640999069
24,0.8,80002,80017,0.004373348014356201
24,0.8,80002,80018,0.004303189014095593
24,0.8,80002,80019,0.003571268604506144
24,0.8,80003,80004,0.0024360179792141754
24,0.8,80003,80005,0.0039168937157822515
24,0.8,80003,80006,0.0023802660143414068
24,0.8,80003,80007,0.0032915385272408626
24,0.8,80003,80008,0.0006876730952128327
24,0.8,80003,80009,0.002050514610769412
24,0.8,80003,80010,0.003133329623951481
24,0.8,80003,80011,0.004631958383397954
24,0.8,80003,80012,0.0014611397916655948
24,0.8,80003,80013,0.0042665152043516365
24,0.8,80003,80014,0.0034384958088358245
24,0.8,80003,80015,0.002603001174156904
24,0.8,80003,80016,0.0033353370035426057
24,0.8,80003,80017,0.004593080685636798
24,0.8,80003,80018,0.004493261719715246
24,0.8,80003,80019,0.0037780042856160215
24,0.8,80004,80005,0.0015585134080132945
24,0.8,80004,80006,0.0006401705841699392
24,0.8,80004,80007,0.0009038939820719301
24,0.8,80004,80008,0.002996707768082434
24,0.8,80004,80009,0.0008680971127110192
24,0.8,80004,80010,0.000724212818130024
24,0.8,80004,80011,0.0022304036908228756
24,0.8,80004,80012,0.0009799727634263599
24,0.8,80004,80013,0.0019762647280825154
24,0.8,80004,80014,0.0011707064036688875
24,0.8,80004,80015,0.0003982850773520755
24,0.8,80004,80016,0.001029722148518741
24,0.8,80004,80017,0.002195821119661969
24,0.8,80004,80018,0.0021375575955285414
24,0.8,80004,80019,0.0014017675395904038
24,0.8,80005,80006,0.0015784420059871405
24,0.8,80005,80007,0.0007210459525412891
24,0.8,80005,80008,0.00444251510342914
24,0.8,80005,80009,0.001972219355043288
24,0.8,80005,80010,0.0008535482025668046
24,0.8,80005,80011,0.0008324940905196688
24,0.8,80005,80012,0.0024867197339882713
24,0.8,80005,80013,0.0005029666525384188
24,0.8,80005,80014,0.0005167987187614662
24,0.8,80005,80015,0.0013212497857793659
24,0.8,80005,80016,0.0005913874491111229
24,0.8,80005,80017,0.00078421480309866
24,0.8,80005,80018,0.0006125516232742202
24,0.8,80005,80019,0.00028767193019113574
24,0.8,80006,80007,0.0010790546407384576
24,0.8,80006,80008,0.002885423207213694
24,0.8,80006,80009,0.0004492028838324441
24,0.8,80006,80010,0.0009424006921861511
24,0.8,80006,80011,0.0023519918615178366
24,0.8,80006,80012,0.0010482140658852985
24,0.8,80006,80013,0.001906260186399588
24,0.8,80006,80014,0.001077390807955486
24,0.8,80006,80015,0.0004299210979157002
24,0.8,80006,80016,0.0009932782144589192
24,0.8,80006,80017,0.0023106979803318166
24,0.8,80006,80018,0.0021515580699360873
24,0.8,80006,80019,0.0014886414294868512
24,0.8,80007,80008,0.003834838559988505
24,0.8,80007,80009,0.0014505221022199275
24,0.8,80007,80010,0.00020882187743471965
24,0.8,80007,80011,0.0013925143426207751
24,0.8,80007,80012,0.0018484811343775227
24,0.8,80007,80013,0.001171379284230919
24,0.8,80007,80014,0.0005085281420293544
24,0.8,80007,80015,0.0007405694212485155
24,0.8,80007,80016,0.00037174807606406323
24,0.8,80007,80017,0.0013334929141136243
24,0.8,80007,80018,0.0012963696614618572
24,0.8,80007,80019,0.0005714884230606757
24,0.8,80008,80009,0.0025039801212498724
24,0.8,80008,80010,0.0036773985037177287
24,0.8,80008,80011,0.005192154344549622
24,0.8,80008,80012,0.0020502948158056394
24,0.8,80008,80013,0.004791037516075664
24,0.8,80008,80014,0.0039549952827748315
24,0.8,80008,80015,0.0031547863718306406
24,0.8,80008,80016,0.0038558089718332207
24,0.8,80008,80017,0.005149868048409354
24,0.8,80008,80018,0.00502920215200738
24,0.8,80008,80019,0.004329516061122122
24,0.8,80009,80010,0.0013113615716749784
