N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
22,0.8,80000,64444,35983,231681,24091,35981,5.307968579575279,1.1316627035585214,0.9824175824175824,4.931535585744569,False,0
22,0.8,80001,53957,32431,242205,27814,32431,5.080058323245053,1.0830720736441264,0.9706498951781971,4.537553636272705,False,0
22,0.8,80002,58467,35794,237736,24552,35792,0.06482429023535352,0.013820585115421372,0.9732142857142857,4.923036059947691,False,0
22,0.8,80003,52478,33852,243667,26492,33845,0.5798850133189668,0.12363190024348641,0.973741794310722,4.713593322663385,False,0
22,0.8,80004,58475,35501,237682,24745,35497,5.115616223774899,1.0906530435091912,0.9698275862068966,5.165668567286296,False,0
22,0.8,80005,74939,38776,221289,21526,38771,5.183567987175253,1.1051404081437735,0.9820224719101124,5.020996528965983,False,0
22,0.8,80006,70451,39569,225711,20812,39568,5.162140636958774,1.1005720817280176,0.9721030042918455,4.950684024334113,False,0
22,0.8,80007,77908,38976,218301,21270,38976,5.2975862567017735,1.1294491848844548,0.9607843137254902,5.119093620012014,False,0
22,0.8,80008,89910,44088,206232,16155,44086,5.251576011957965,1.119639767745378,0.9803921568627451,5.099678750518012,False,0
22,0.8,80009,79411,40683,216743,19879,40683,1.059713670002767,0.22593171357642286,0.9881796690307328,5.446702098241292,False,0
22,0.8,80010,55477,35506,240721,24769,35502,5.089002351558451,1.0849789468876476,0.9832985386221295,4.7901303875738686,False,0
22,0.8,80011,61445,36407,234725,24047,36405,5.307001729531946,1.1314565704366744,0.9719222462203023,4.831083425535637,False,0
22,0.8,80012,76438,41983,219697,18015,41981,5.019225660747495,1.0701025064218281,0.9699769053117783,5.08895335323614,False,0
22,0.8,80013,74938,39291,221222,20770,39289,0.23128821903792693,0.04931081398349935,0.9824561403508771,5.231303448758771,False,0
22,0.8,80014,67444,36727,228719,23424,36725,0.19705938195024053,0.042013201396385126,0.9824175824175824,4.8801701188254745,False,0
22,0.8,80015,61470,37026,234670,23212,37023,5.264351232683046,1.122363453955566,0.9744680851063829,4.947269050501558,False,0
22,0.8,80016,53972,33697,242190,26522,33695,5.050253100624606,1.0767175788303087,0.9821428571428571,5.0973785157514735,False,0
22,0.8,80017,52483,34236,243666,26283,34235,5.048900921760173,1.0764292933277706,0.9860788863109049,5.270953382041446,False,0
22,0.8,80018,73445,39395,222713,20558,39392,5.061548143439633,1.0791256900497397,0.9722222222222222,5.155610897201609,False,0
22,0.8,80019,59959,33981,236187,26465,33979,5.111597253962477,1.0897961962661713,0.9763948497854077,4.54202493930785,False,0
23,0.8,80000,61473,37926,248222,25334,37924,5.367083869376157,1.1191143482181471,0.9827586206896551,5.544007071459117,False,0
23,0.8,80001,46480,31730,263161,31207,31729,5.099325328688492,1.0632828329978812,0.9775051124744376,4.990866124150754,False,0
23,0.8,80002,43484,31060,266164,31906,31056,5.314841910908201,1.108221146859007,0.9767981438515081,5.403390391758709,False,0
23,0.8,80003,43481,30667,266148,32127,30666,5.348272317843056,1.115191868572718,0.991869918699187,4.812355216132895,False,0
23,0.8,80004,43487,31343,266188,31524,31340,1.9921859618502866,0.41539948852794245,0.9848484848484849,5.191815457890544,False,0
23,0.8,80005,56965,36373,252692,26585,36369,1.6677869843803756,0.34775762582008973,0.9789915966386554,5.402182390772526,False,0
23,0.8,80006,49475,33418,260155,29916,33417,1.1994310233892456,0.2500986570438861,0.9804347826086957,5.333113976769301,False,0
23,0.8,80007,40487,29490,269147,33490,29488,5.222919141082665,1.089053924370332,0.9755555555555555,5.356218534454089,False,0
23,0.8,80008,38986,27672,270727,35538,27671,5.338109748129922,1.1130728263036698,0.974025974025974,5.40641037842479,False,0
23,0.8,80009,41991,29310,267664,34061,29308,0.22322073694399724,0.04654474116926601,0.9676113360323887,4.594769404618579,False,0
23,0.8,80010,56977,36596,252657,26105,36595,5.246869904347644,1.094048003738749,0.9767932489451476,5.110292572364447,False,0
23,0.8,80011,33000,25432,276595,37573,25431,5.460375201531634,1.1385669356791503,0.9710743801652892,4.489859462521121,False,0
23,0.8,80012,53975,33966,255648,28861,33965,5.309959518126077,1.107203097588846,0.9830148619957537,5.021563289847998,False,0
