N,n,seed_a,seed_b,d_l2
23,0.7,82000,82001,0.0006860849206175809
23,0.7,82000,82002,0.0002620819876419981
23,0.7,82000,82003,0.000897309126188174
23,0.7,82000,82004,0.00044339615715365715
23,0.7,82000,82005,0.0008878146177435569
23,0.7,82000,82006,0.0005296983326825242
23,0.7,82000,82007,0.0012478376836646762
23,0.7,82000,82008,0.0002113429421427746
23,0.7,82000,82009,0.0001766573029804698
23,0.7,82000,82010,0.00044711969236602595
23,0.7,82000,82011,0.0005677209347263991
23,0.7,82000,82012,0.0002894962503702162
23,0.7,82000,82013,0.0006787498648147031
23,0.7,82000,82014,0.000219275218805711
23,0.7,82000,82015,0.0012228148407553998
23,0.7,82000,82016,0.0006038249374373625
23,0.7,82000,82017,0.0005404244759552991
23,0.7,82000,82018,0.0016069003413472366
23,0.7,82000,82019,0.00032512369301351953
23,0.7,82001,82002,0.0004811355039182339
23,0.7,82001,82003,0.0002569387239851404
23,0.7,82001,82004,0.00029350304683251386
23,0.7,82001,82005,0.00026308205132233867
23,0.7,82001,82006,0.0005585664094559865
23,0.7,82001,82007,0.00058966486429484
23,0.7,82001,82008,0.0005118533266207922
23,0.7,82001,82009,0.0005156651762165786
23,0.7,82001,82010,0.0002574296042894216
23,0.7,82001,82011,0.0001477784351699825
23,0.7,82001,82012,0.0003993798461846421
23,0.7,82001,82013,0.0001317414123961735
23,0.7,82001,82014,0.0004957322683153895
23,0.7,82001,82015,0.0005834051150708245
23,0.7,82001,82016,0.0002482155938454327
23,0.7,82001,82017,0.0001581041575347789
23,0.7,82001,82018,0.0010115564444194455
23,0.7,82001,82019,0.0009202347436866469
23,0.7,82002,82003,0.0006992674805628941
23,0.7,82002,82004,0.000210380639877762
23,0.7,82002,82005,0.000707995456327292
23,0.7,82002,82006,0.00032194560771669594
23,0.7,82002,82007,0.001018865298776062
23,0.7,82002,82008,9.223103129997893e-05
23,0.7,82002,82009,0.00018102254982016913
23,0.7,82002,82010,0.0002872188164373449
23,0.7,82002,82011,0.0003722181265383625
23,0.7,82002,82012,0.0001346107334025744
23,0.7,82002,82013,0.0004770087127673411
23,0.7,82002,82014,5.519959012659076e-05
23,0.7,82002,82015,0.0010086051708954448
23,0.7,82002,82016,0.0003625686797285662
23,0.7,82002,82017,0.0003592634747322582
23,0.7,82002,82018,0.0013546989908488638
23,0.7,82002,82019,0.0004523963002009566
23,0.7,82003,82004,0.0005224544284763325
23,0.7,82003,82005,9.155295673010084e-05
23,0.7,82003,82006,0.0007701189902585801
23,0.7,82003,82007,0.0004098635753198892
23,0.7,82003,82008,0.0007151450552784794
23,0.7,82003,82009,0.0007277290677836168
23,0.7,82003,82010,0.00045461116793954313
23,0.7,82003,82011,0.0003379218971053284
23,0.7,82003,82012,0.0006233655315477535
23,0.7,82003,82013,0.0002310998238502594
23,0.7,82003,82014,0.0007159929727121139
23,0.7,82003,82015,0.00035000871987010234
23,0.7,82003,82016,0.00045451185067050826
23,0.7,82003,82017,0.0003676627819450495
23,0.7,82003,82018,0.0009159721116591183
23,0.7,82003,82019,0.0011480720313570456
23,0.7,82004,82005,0.0005369315059940426
23,0.7,82004,82006,0.0003116903226512413
23,0.7,82004,82007,0.0008249443102450689
23,0.7,82004,82008,0.00026661787586568063
23,0.7,82004,82009,0.0003029839037625203
23,0.7,82004,82010,0.00018334464972117665
23,0.7,82004,82011,0.0002142263423335074
23,0.7,82004,82012,0.0001761059743298403
23,0.7,82004,82013,0.0003068643415837222
23,0.7,82004,82014,0.0002342384688656694
23,0.7,82004,82015,0.0008292473011403008
23,0.7,82004,82016,0.00016658389839392025
23,0.7,82004,82017,0.0002102037366407037
23,0.7,82004,82018,0.0011683518971351541
23,0.7,82004,82019,0.0006381639109129268
23,0.7,82005,82006,0.0008049270301308053
23,0.7,82005,82007,0.0004675267350033301
23,0.7,82005,82008,0.000717700949516572
23,0.7,82005,82009,0.0007150206845718102
23,0.7,82005,82010,0.00044544513444670116
23,0.7,82005,82011,0.0003402695015356073
23,0.7,82005,82012,0.0006184810905319853
23,0.7,82005,82013,0.00025090349102716974
23,0.7,82005,82014,0.0007183772289459668
23,0.7,82005,82015,0.00040039085592200643
23,0.7,82005,82016,0.00048668379929409577
23,0.7,82005,82017,0.00035971958835680093
23,0.7,82005,82018,0.0009822151844511074
23,0.7,82005,82019,0.0011524693427149022
