N,n,seed_a,seed_b,d_l2
10,0.7,90000,90001,0.0005092567004754094
10,0.7,90000,90002,0.00024035935200245078
10,0.7,90000,90003,0.0005270690074897986
10,0.7,90000,90004,0.0008195528291365597
10,0.7,90000,90005,0.0004696597017914055
10,0.7,90000,90006,0.0006035638633142399
10,0.7,90000,90007,0.0005700760020783748
10,0.7,90000,90008,0.0003737969058292362
10,0.7,90000,90009,0.0007746970709183975
10,0.7,90000,90010,0.0006962724322541612
10,0.7,90000,90011,0.000952724063661329
10,0.7,90000,90012,0.0002733019501590168
10,0.7,90000,90013,0.00027161448792980067
10,0.7,90000,90014,0.000545432423927386
10,0.7,90000,90015,0.0004970354397000018
10,0.7,90000,90016,0.00036890358871731124
10,0.7,90000,90017,0.0006291866070419431
10,0.7,90000,90018,0.00042443078421209
10,0.7,90000,90019,0.00045655277470080604
10,0.7,90001,90002,0.0004989201165115653
10,0.7,90001,90003,0.00017904917065274462
10,0.7,90001,90004,0.0003407895738328204
10,0.7,90001,90005,0.0003374557484232649
10,0.7,90001,90006,0.0002816340255958556
10,0.7,90001,90007,0.0001776722075065485
10,0.7,90001,90008,0.0007329344621971822
10,0.7,90001,90009,0.0002824868448399245
10,0.7,90001,90010,0.0011700832437273308
10,0.7,90001,90011,0.00046856236231440727
10,0.7,90001,90012,0.0006413022240876487
10,0.7,90001,90013,0.000774377432305582
10,0.7,90001,90014,0.00010867295149349901
10,0.7,90001,90015,8.775606094700273e-05
10,0.7,90001,90016,0.0006556957978899119
10,0.7,90001,90017,0.0003469487648379277
10,0.7,90001,90018,0.000839051386232785
10,0.7,90001,90019,0.0002949102373910683
10,0.7,90002,90003,0.0004368670340410215
10,0.7,90002,90004,0.0008141519063523962
10,0.7,90002,90005,0.0003054748275663622
10,0.7,90002,90006,0.0004950433665604832
10,0.7,90002,90007,0.0005167146873028662
10,0.7,90002,90008,0.0002758104409435014
10,0.7,90002,90009,0.0007491525888636757
10,0.7,90002,90010,0.0007009086701846294
10,0.7,90002,90011,0.0009142734933035817
10,0.7,90002,90012,0.00020072954071055526
10,0.7,90002,90013,0.0004254737675796919
10,0.7,90002,90014,0.0005564172437042212
10,0.7,90002,90015,0.00047198517906543307
10,0.7,90002,90016,0.00021863310636118286
10,0.7,90002,90017,0.0007202887436853562
10,0.7,90002,90018,0.00038342021616849054
10,0.7,90002,90019,0.00031839323105983103
10,0.7,90003,90004,0.00043498941744789634
10,0.7,90003,90005,0.00018857725922529368
10,0.7,90003,90006,0.00014294621034857807
10,0.7,90003,90007,0.00015072628644774647
10,0.7,90003,90008,0.0006627097283389774
10,0.7,90003,90009,0.00036010563711229624
10,0.7,90003,90010,0.0011258232966814916
10,0.7,90003,90011,0.000514156422831421
10,0.7,90003,90012,0.0005878063044292493
10,0.7,90003,90013,0.0007920889688885999
10,0.7,90003,90014,0.0002434606367273366
10,0.7,90003,90015,0.00016029890280285658
10,0.7,90003,90016,0.000572264048078748
10,0.7,90003,90017,0.0005171256022520538
10,0.7,90003,90018,0.0007905468623417901
10,0.7,90003,90019,0.0001617661248913511
10,0.7,90004,90005,0.0006076153175364961
10,0.7,90004,90006,0.0005049776272516064
10,0.7,90004,90007,0.00041788739286953024
10,0.7,90004,90008,0.0010613991097807045
10,0.7,90004,90009,0.00012631886979058875
10,0.7,90004,90010,0.0014858245564039708
10,0.7,90004,90011,0.00017477071531106847
10,0.7,90004,90012,0.0009721375435441389
10,0.7,90004,90013,0.0010711259093156267
10,0.7,90004,90014,0.00033027063756358805
10,0.7,90004,90015,0.0003662966370032952
10,0.7,90004,90016,0.0009826887199450537
10,0.7,90004,90017,0.00037631036552227795
10,0.7,90004,90018,0.0011284921235529108
10,0.7,90004,90019,0.000567749758306151
10,0.7,90005,90006,0.00023227899714540738
10,0.7,90005,90007,0.0003035622242681567
10,0.7,90005,90008,0.0005208989423093408
10,0.7,90005,90009,0.0005317120616077722
10,0.7,90005,90010,0.0009847533220129889
10,0.7,90005,90011,0.0006735251338599338
10,0.7,90005,90012,0.0004627048519291591
10,0.7,90005,90013,0.000711118857688218
10,0.7,90005,90014,0.00040376319926876237
10,0.7,90005,90015,0.00030504171872100506
10,0.7,90005,90016,0.0004259087786170322
10,0.7,90005,90017,0.0006524476418310521
10,0.7,90005,90018,0.000651601458297525
10,0.7,90005,90019,8.823767243199934e-05
10,0.7,90006,90007,0.00014702916930698262
10,0.7,90006,90008,0.0006859156956263813
10,0.7,90006,90009,0.000422500797930108
10,0.7,90006,90010,0.0011673994299897204
10,0.7,90006,90011,0.000561874398978396
10,0.7,90006,90012,0.0006228269545421551
10,0.7,90006,90013,0.0008664469064125293
10,0.7,90006,90014,0.0003095365775169612
10,0.7,90006,90015,0.0002591294501107525
10,0.7,90006,90016,0.0005822246857871356
10,0.7,90006,90017,0.0006114979189758946
10,0.7,90006,90018,0.0008574408160817005
10,0.7,90006,90019,0.0002404041026728973
10,0.7,90007,90008,0.0007249101075760346
10,0.7,90007,90009,0.0003391247414498092
10,0.7,90007,90010,0.0011934203905109592
10,0.7,90007,90011,0.0005082864929919762
10,0.7,90007,90012,0.0006464874242898868
10,0.7,90007,90013,0.0008384780470987621
10,0.7,90007,90014,0.000180151007380107
10,0.7,90007,90015,0.0001676501641490615
10,0.7,90007,90016,0.000626816945875564
10,0.7,90007,90017,0.000480198042868772
10,0.7,90007,90018,0.000884190938326656
10,0.7,90007,90019,0.0002952858032749998
10,0.7,90008,90009,0.0009969780316923622
10,0.7,90008,90010,0.0004936398242622454
10,0.7,90008,90011,0.0011649712398149614
10,0.7,90008,90012,0.00010918741639833451
10,0.7,90008,90013,0.00041874518386577524
10,0.7,90008,90014,0.0007845632672175134
10,0.7,90008,90015,0.0007153271322886687
10,0.7,90008,90016,0.0001548320109301793
10,0.7,90008,90017,0.0009559238064848386
10,0.7,90008,90018,0.0003309041322200681
10,0.7,90008,90019,0.0005380874171907968
10,0.7,90009,90010,0.0014353559260494252
10,0.7,90009,90011,0.00020754549520970994
10,0.7,90009,90012,0.0009099092524914273
10,0.7,90009,90013,0.0010323310874755277
10,0.7,90009,90014,0.0002789323437089337
10,0.7,90009,90015,0.0002980041204140756
10,0.7,90009,90016,0.0009073241057157759
10,0.7,90009,90017,0.000380552550802593
10,0.7,90009,90018,0.0010839196013386575
10,0.7,90009,90019,0.0004994408467444358
10,0.7,90010,90011,0.001599842665975081
10,0.7,90010,90012,0.0005538302813893404
10,0.7,90010,90013,0.0005092201478035295
10,0.7,90010,90014,0.0012189077051608492
10,0.7,90010,90015,0.0011536287707323294
10,0.7,90010,90016,0.000617612061465885
10,0.7,90010,90017,0.0013200791365086024
10,0.7,90010,90018,0.00041041999660372823
10,0.7,90010,90019,0.000994494447427484
10,0.7,90011,90012,0.001082754288250783
10,0.7,90011,90013,0.0012064733557204646
10,0.7,90011,90014,0.00046308633358508493
10,0.7,90011,90015,0.00047817547191455475
10,0.7,90011,90016,0.0010762927546489236
10,0.7,90011,90017,0.0005312593887776101
10,0.7,90011,90018,0.0012308128644834039
10,0.7,90011,90019,0.0006431027018533732
10,0.7,90012,90013,0.00036519676829987693
10,0.7,90012,90014,0.0006916301706981841
10,0.7,90012,90015,0.0006259416673906514
10,0.7,90012,90016,0.00015555110311605484
10,0.7,90012,90017,0.000851911737665026
10,0.7,90012,90018,0.0003399099483112912
10,0.7,90012,90019,0.000471838573616126
10,0.7,90013,90014,0.00080918502637476
10,0.7,90013,90015,0.0007630276826719316
10,0.7,90013,90016,0.0004798767282495685
10,0.7,90013,90017,0.0008429299386024598
10,0.7,90013,90018,0.00035084368884099877
10,0.7,90013,90019,0.000704501942730163
10,0.7,90014,90015,0.00011783957718977432
10,0.7,90014,90016,0.0007002474994229164
10,0.7,90014,90017,0.00031332737372892917
10,0.7,90014,90018,0.0008979087198382155
10,0.7,90014,90019,0.00037361325414215764
10,0.7,90015,90016,0.0006260452225359545
10,0.7,90015,90017,0.00036993953718339256
10,0.7,90015,90018,0.0008178545473293623
10,0.7,90015,90019,0.0002755510143051743
10,0.7,90016,90017,0.0008921545070088177
10,0.7,90016,90018,0.00041726299688801084
