N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
22,0.9,92000,22,0.9,92001,0.0009374536085125837
22,0.9,92000,22,0.9,92002,0.0011209983353106345
22,0.9,92000,22,0.9,92003,0.0008270734178966181
22,0.9,92000,22,0.9,92004,0.0004907927725941136
22,0.9,92000,22,0.9,92005,0.00026756090491170456
22,0.9,92000,22,0.9,92006,0.0006961802788602957
22,0.9,92000,22,0.9,92007,0.0003377641569897916
22,0.9,92000,22,0.9,92008,0.00024662440514749506
22,0.9,92000,22,0.9,92009,0.00045520059233824416
22,0.9,92000,22,0.9,92010,0.0003247466548129246
22,0.9,92000,22,0.9,92011,0.00017018178218536904
22,0.9,92000,22,0.9,92012,0.0013987097605846265
22,0.9,92000,22,0.9,92013,0.001444190914760686
22,0.9,92000,22,0.9,92014,0.0008573357484505457
22,0.9,92000,22,0.9,92015,0.0005285764165046207
22,0.9,92000,22,0.9,92016,0.0008499978727507315
22,0.9,92000,22,0.9,92017,0.0005187986835801045
22,0.9,92000,22,0.9,92018,0.0007605768865906954
22,0.9,92000,22,0.9,92019,0.00021199205542110584
22,0.9,92000,23,0.9,92000,0.0006398692117513448
22,0.9,92000,23,0.9,92001,0.0004958606474927442
22,0.9,92000,23,0.9,92002,0.0005204358397847974
22,0.9,92000,23,0.9,92003,0.0012767638050769393
22,0.9,92000,23,0.9,92004,0.0004777282109897694
22,0.9,92000,23,0.9,92005,0.00044277485639838244
22,0.9,92000,23,0.9,92006,0.00029200624921290946
22,0.9,92000,23,0.9,92007,0.0005787097856478095
22,0.9,92000,23,0.9,92008,0.0007740886355286903
22,0.9,92000,23,0.9,92009,0.0006982519111087026
22,0.9,92000,23,0.9,92010,0.0013858560526512432
22,0.9,92000,23,0.9,92011,0.0004403466652628325
22,0.9,92000,23,0.9,92012,0.0012100787745694575
22,0.9,92000,23,0.9,92013,0.0012390924797084691
22,0.9,92000,23,0.9,92014,0.0007300352885183545
22,0.9,92000,23,0.9,92015,0.000318488331552771
22,0.9,92000,23,0.9,92016,0.0005979395689835633
22,0.9,92000,23,0.9,92017,0.0015732414436239578
22,0.9,92000,23,0.9,92018,0.000421030452300111
22,0.9,92000,23,0.9,92019,0.001491189957085464
22,0.9,92000,24,0.9,92000,0.002209558618619386
22,0.9,92000,24,0.9,92001,0.0007654974056928921
22,0.9,92000,24,0.9,92002,0.0008203448962214143
22,0.9,92000,24,0.9,92003,0.0011013103096703335
22,0.9,92000,24,0.9,92004,0.001287703762108437
22,0.9,92000,24,0.9,92005,0.0005622751217853286
22,0.9,92000,24,0.9,92006,0.0011611132841475868
22,0.9,92000,24,0.9,92007,0.0007108029603780151
22,0.9,92000,24,0.9,92008,0.0007062178987188294
22,0.9,92000,24,0.9,92009,0.0016712571301664718
22,0.9,92000,24,0.9,92010,0.0004923427204087307
22,0.9,92000,24,0.9,92011,0.00100090361966019
22,0.9,92000,24,0.9,92012,0.0010896543880191283
22,0.9,92000,24,0.9,92013,0.001830760034382715
22,0.9,92000,24,0.9,92014,0.000710048256877865
22,0.9,92000,24,0.9,92015,0.0006949850932944843
22,0.9,92000,24,0.9,92016,0.0005676686606305035
22,0.9,92000,24,0.9,92017,0.0008318535332508561
22,0.9,92000,24,0.9,92018,0.0006459600965622333
22,0.9,92000,24,0.9,92019,0.0006718001793980966
22,0.9,92000,28,0.9,92000,0.0016610891420828359
22,0.9,92000,28,0.9,92001,0.0015486782688047282
22,0.9,92000,28,0.9,92002,0.0014785627848128272
22,0.9,92000,28,0.9,92003,0.0018620994391299966
22,0.9,92000,28,0.9,92004,0.0018400532841790533
22,0.9,92000,28,0.9,92005,0.0021512856080189873
22,0.9,92000,28,0.9,92006,0.0014044388892356563
22,0.9,92000,28,0.9,92007,0.0012521540272125427
22,0.9,92000,28,0.9,92008,0.0016358304682570185
22,0.9,92000,28,0.9,92009,0.0024438523508431495
22,0.9,92000,28,0.9,92010,0.0014165956663767154
22,0.9,92000,28,0.9,92011,0.001643679252029645
22,0.9,92000,28,0.9,92012,0.0012820600974721608
22,0.9,92000,28,0.9,92013,0.0015535974881743795
22,0.9,92000,28,0.9,92014,0.0015372243557874364
22,0.9,92000,28,0.9,92015,0.002280406220257766
22,0.9,92000,28,0.9,92016,0.0018905138204206018
22,0.9,92000,28,0.9,92017,0.0018776184351278825
22,0.9,92000,28,0.9,92018,0.00202081095536059
22,0.9,92000,28,0.9,92019,0.001817758834501992
22,0.9,92001,22,0.9,92002,0.000491783229825137
22,0.9,92001,22,0.9,92003,0.0001670407496617447
22,0.9,92001,22,0.9,92004,0.00045762645349594857
22,0.9,92001,22,0.9,92005,0.0008086303743696687
22,0.9,92001,22,0.9,92006,0.0016141827321196833
22,0.9,92001,22,0.9,92007,0.0006791949115442188
22,0.9,92001,22,0.9,92008,0.001132047993093172
22,0.9,92001,22,0.9,92009,0.0008069471623870137
22,0.9,92001,22,0.9,92010,0.0007480103184592847
22,0.9,92001,22,0.9,92011,0.0009127282842641981
22,0.9,92001,22,0.9,92012,0.0004994605084628396
22,0.9,92001,22,0.9,92013,0.0006325227200025493
22,0.9,92001,22,0.9,92014,0.001733229576010544
22,0.9,92001,22,0.9,92015,0.0004198996379874309
22,0.9,92001,22,0.9,92016,0.0017274250306741558
22,0.9,92001,22,0.9,92017,0.000528597495040399
22,0.9,92001,22,0.9,92018,0.00041814646528130013
22,0.9,92001,22,0.9,92019,0.0010352197417078258
22,0.9,92001,23,0.9,92000,0.00034399113152471325
22,0.9,92001,23,0.9,92001,0.0013688821422100377
22,0.9,92001,23,0.9,92002,0.0006625007647867798
22,0.9,92001,23,0.9,92003,0.0006191781568629422
22,0.9,92001,23,0.9,92004,0.0010416395984991372
22,0.9,92001,23,0.9,92005,0.0006688675571990914
22,0.9,92001,23,0.9,92006,0.0007058325690105654
22,0.9,92001,23,0.9,92007,0.0006214539313470625
22,0.9,92001,23,0.9,92008,0.0007685703012254895
22,0.9,92001,23,0.9,92009,0.0007828095618719486
22,0.9,92001,23,0.9,92010,0.0006425740603619257
22,0.9,92001,23,0.9,92011,0.0006264551745928925
22,0.9,92001,23,0.9,92012,0.0006684309476551906
22,0.9,92001,23,0.9,92013,0.00040284638905908416
22,0.9,92001,23,0.9,92014,0.0004247713876671278
22,0.9,92001,23,0.9,92015,0.0010638139482716837
22,0.9,92001,23,0.9,92016,0.0005230706760897523
22,0.9,92001,23,0.9,92017,0.0008699032085611162
22,0.9,92001,23,0.9,92018,0.0010702640802698212
22,0.9,92001,23,0.9,92019,0.0007565054282641725
22,0.9,92001,24,0.9,92000,0.0015127116614690116
