N,n,seed_a,seed_b,d_l2
48,0.85,114000,114001,0.00022594200158454508
48,0.85,114000,114002,0.00040631303373025925
48,0.85,114000,114003,0.0006078745798108421
48,0.85,114000,114004,0.0017754670471881024
48,0.85,114000,114005,0.001345782653499804
48,0.85,114000,114006,0.002642007489805156
48,0.85,114000,114007,0.0004236325974773636
48,0.85,114000,114008,0.0004459063424370258
48,0.85,114000,114009,0.001534754043215675
48,0.85,114001,114002,0.0005657784975840775
48,0.85,114001,114003,0.0007875433724877668
48,0.85,114001,114004,0.001916550393761848
48,0.85,114001,114005,0.001473753796372519
48,0.85,114001,114006,0.0027776419777557804
48,0.85,114001,114007,0.00023417556697385275
48,0.85,114001,114008,0.0004449362987615925
48,0.85,114001,114009,0.001654934984240521
48,0.85,114002,114003,0.00023312034210961382
48,0.85,114002,114004,0.0013710756651915746
48,0.85,114002,114005,0.0009429569252089671
48,0.85,114002,114006,0.0022379609116278975
48,0.85,114002,114007,0.0006510808243847115
48,0.85,114002,114008,0.00037235709355617466
48,0.85,114002,114009,0.0011336387892971348
48,0.85,114003,114004,0.0011891542129963974
48,0.85,114003,114005,0.0007896824513999444
48,0.85,114003,114006,0.002058514270915627
48,0.85,114003,114007,0.0008798807307932925
48,0.85,114003,114008,0.0005807664278314309
48,0.85,114003,114009,0.0009876208204077008
48,0.85,114004,114005,0.0004575339553352482
48,0.85,114004,114006,0.000872517894158097
48,0.85,114004,114007,0.0019243784133558082
48,0.85,114004,114008,0.0015504582125533176
48,0.85,114004,114009,0.00034977751603385026
48,0.85,114005,114006,0.0013065489245507637
48,0.85,114005,114007,0.001471822591083215
48,0.85,114005,114008,0.0010976494002934763
48,0.85,114005,114009,0.00022086252136350345
48,0.85,114006,114007,0.002769524187174326
48,0.85,114006,114008,0.002391841692202698
48,0.85,114006,114009,0.0011353717758239542
48,0.85,114007,114008,0.00039475711020131154
48,0.85,114007,114009,0.0016412961154011541
48,0.85,114008,114009,0.0012591928084010533
