N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
34,0.85,120000,34,0.85,120001,0.0006441789608547365
34,0.85,120000,34,0.85,120002,0.00039758030629446107
34,0.85,120000,34,0.85,120003,0.00025884717627264365
34,0.85,120000,34,0.85,120004,0.0005794396150499315
34,0.85,120000,34,0.85,120005,0.0008687431198389497
34,0.85,120000,34,0.85,120006,0.0006008785466477827
34,0.85,120000,34,0.85,120007,0.000850759039342713
34,0.85,120000,34,0.85,120008,0.0015508956227634758
34,0.85,120000,34,0.85,120009,0.0005141693344806337
34,0.85,120000,34,0.85,120010,0.0009500589770126838
34,0.85,120000,34,0.85,120011,0.0012447521921137032
34,0.85,120000,34,0.85,120012,0.0020471833502456595
34,0.85,120000,34,0.85,120013,0.0013554410925168175
34,0.85,120000,34,0.85,120014,0.0009907931489817616
34,0.85,120000,34,0.85,120015,0.0005576904853680697
34,0.85,120000,34,0.85,120016,0.001014645432541981
34,0.85,120000,34,0.85,120017,0.00023166175921672077
34,0.85,120000,34,0.85,120018,0.001214351500760265
34,0.85,120000,34,0.85,120019,0.002354396196213521
34,0.85,120000,35,0.85,120000,0.0002692783552160446
34,0.85,120000,35,0.85,120001,0.0017619218612247194
34,0.85,120000,35,0.85,120002,0.0007381868379006598
34,0.85,120000,35,0.85,120003,0.0001889076275406807
34,0.85,120000,35,0.85,120004,0.002576265415314941
34,0.85,120000,35,0.85,120005,0.0019572647937095514
34,0.85,120000,35,0.85,120006,0.0006690654430238248
34,0.85,120000,35,0.85,120007,0.0010782308289490746
34,0.85,120000,35,0.85,120008,0.000829260912770847
34,0.85,120000,35,0.85,120009,0.0012027182728532894
34,0.85,120000,35,0.85,120010,0.0018710985338539733
34,0.85,120000,35,0.85,120011,0.001525800408457013
34,0.85,120000,35,0.85,120012,0.0018528220814892401
34,0.85,120000,35,0.85,120013,0.0006761612163348629
34,0.85,120000,35,0.85,120014,0.0005857491278636878
34,0.85,120000,35,0.85,120015,0.0007616861630507503
34,0.85,120000,35,0.85,120016,0.0014932171152758564
34,0.85,120000,35,0.85,120017,0.0010774143096163675
34,0.85,120000,35,0.85,120018,0.002134530164970313
34,0.85,120000,35,0.85,120019,0.0014030272727808774
34,0.85,120000,36,0.85,120000,0.0025640119931442293
34,0.85,120000,36,0.85,120001,0.0019799822355702655
34,0.85,120000,36,0.85,120002,0.0013122864790374236
34,0.85,120000,36,0.85,120003,0.002043717019284101
34,0.85,120000,36,0.85,120004,0.003288791920539033
34,0.85,120000,36,0.85,120005,0.0010042674314696793
34,0.85,120000,36,0.85,120006,0.0011492490093021556
34,0.85,120000,36,0.85,120007,0.0017122799086611495
34,0.85,120000,36,0.85,120008,0.0021487391912971836
34,0.85,120000,36,0.85,120009,0.0029290305693705407
34,0.85,120000,36,0.85,120010,0.002491672695255377
34,0.85,120000,36,0.85,120011,0.002014772854899768
34,0.85,120000,36,0.85,120012,0.0015592684450192352
34,0.85,120000,36,0.85,120013,0.002841780719770866
34,0.85,120000,36,0.85,120014,0.0019112205350031246
34,0.85,120000,36,0.85,120015,0.0025676995875909
34,0.85,120000,36,0.85,120016,0.001998930767545344
34,0.85,120000,36,0.85,120017,0.0026286660815852793
34,0.85,120000,36,0.85,120018,0.001909683852517873
34,0.85,120000,36,0.85,120019,0.002844966986593316
34,0.85,120001,34,0.85,120002,0.00098197021703771
34,0.85,120001,34,0.85,120003,0.00042078143520881734
34,0.85,120001,34,0.85,120004,0.00024030251826893378
34,0.85,120001,34,0.85,120005,0.0012602701680895453
34,0.85,120001,34,0.85,120006,0.0003324312043739261
34,0.85,120001,34,0.85,120007,0.00022429667949761125
34,0.85,120001,34,0.85,120008,0.0010593025796382747
34,0.85,120001,34,0.85,120009,0.0004798618612404495
34,0.85,120001,34,0.85,120010,0.0004953339458065518
34,0.85,120001,34,0.85,120011,0.0006355599892068483
34,0.85,120001,34,0.85,120012,0.0025062735855134162
34,0.85,120001,34,0.85,120013,0.0008473210854696631
34,0.85,120001,34,0.85,120014,0.0013830743856869654
34,0.85,120001,34,0.85,120015,0.00018812880042584398
34,0.85,120001,34,0.85,120016,0.0014424282976950697
34,0.85,120001,34,0.85,120017,0.0005606767778639563
34,0.85,120001,34,0.85,120018,0.0006705388871372945
34,0.85,120001,34,0.85,120019,0.0027816138801469215
34,0.85,120001,35,0.85,120000,0.000485764292674739
34,0.85,120001,35,0.85,120001,0.0013240844221613928
34,0.85,120001,35,0.85,120002,0.0005920963875772838
34,0.85,120001,35,0.85,120003,0.0006048055306432379
34,0.85,120001,35,0.85,120004,0.0021361386248949813
34,0.85,120001,35,0.85,120005,0.0017578578461615354
34,0.85,120001,35,0.85,120006,0.0006349319484591713
34,0.85,120001,35,0.85,120007,0.0008661392161949501
34,0.85,120001,35,0.85,120008,0.0007994864369983459
34,0.85,120001,35,0.85,120009,0.0007894294457300845
34,0.85,120001,35,0.85,120010,0.0014475698269060403
34,0.85,120001,35,0.85,120011,0.0011378562152598054
34,0.85,120001,35,0.85,120012,0.0014174885526480093
34,0.85,120001,35,0.85,120013,0.0006721415087404657
34,0.85,120001,35,0.85,120014,0.0007724774718117234
34,0.85,120001,35,0.85,120015,0.0005776064863562398
34,0.85,120001,35,0.85,120016,0.0013265251717748114
34,0.85,120001,35,0.85,120017,0.0007814286354832624
34,0.85,120001,35,0.85,120018,0.0017238960304575368
34,0.85,120001,35,0.85,120019,0.0010203346449425175
34,0.85,120001,36,0.85,120000,0.002261458400372857
34,0.85,120001,36,0.85,120001,0.0016298868384978706
34,0.85,120001,36,0.85,120002,0.0013842269569815202
34,0.85,120001,36,0.85,120003,0.0016451826076519266
34,0.85,120001,36,0.85,120004,0.0028697438952787167
34,0.85,120001,36,0.85,120005,0.0015608283249801424
34,0.85,120001,36,0.85,120006,0.0008379714022700459
34,0.85,120001,36,0.85,120007,0.001380004353427964
34,0.85,120001,36,0.85,120008,0.0019603656532721017
34,0.85,120001,36,0.85,120009,0.0025013700230940494
34,0.85,120001,36,0.85,120010,0.0020506931885380573
34,0.85,120001,36,0.85,120011,0.0016257778606570041
34,0.85,120001,36,0.85,120012,0.0012593138355197473
34,0.85,120001,36,0.85,120013,0.0024097107360551316
34,0.85,120001,36,0.85,120014,0.0016130612494297393
34,0.85,120001,36,0.85,120015,0.0021626160062713264
34,0.85,120001,36,0.85,120016,0.0016750916880394087
34,0.85,120001,36,0.85,120017,0.0022715851299574923
34,0.85,120001,36,0.85,120018,0.0015036156336462702
34,0.85,120001,36,0.85,120019,0.002447590882426619
34,0.85,120002,34,0.85,120003,0.0005805484673060113
34,0.85,120002,34,0.85,120004,0.0008675585987687116
34,0.85,120002,34,0.85,120005,0.0009349072061165324
34,0.85,120002,34,0.85,120006,0.0008573565840151309
34,0.85,120002,34,0.85,120007,0.0011713665038773577
34,0.85,120002,34,0.85,120008,0.0017531596492400784
34,0.85,120002,34,0.85,120009,0.0007086670832585397
34,0.85,120002,34,0.85,120010,0.001166746641770613
34,0.85,120002,34,0.85,120011,0.0015315609083561602
34,0.85,120002,34,0.85,120012,0.0019987167919062205
34,0.85,120002,34,0.85,120013,0.0015842815020473233
34,0.85,120002,34,0.85,120014,0.001083645659225267
34,0.85,120002,34,0.85,120015,0.0008854944578090702
34,0.85,120002,34,0.85,120016,0.001093631091182118
34,0.85,120002,34,0.85,120017,0.000561982705257135
34,0.85,120002,34,0.85,120018,0.001464303765981223
34,0.85,120002,34,0.85,120019,0.0023460985657136396
34,0.85,120002,35,0.85,120000,0.000626300339246924
34,0.85,120002,35,0.85,120001,0.0019178995541296183
34,0.85,120002,35,0.85,120002,0.0008666435397159154
34,0.85,120002,35,0.85,120003,0.00040618187899426424
34,0.85,120002,35,0.85,120004,0.0027102788060686207
34,0.85,120002,35,0.85,120005,0.001961265974150982
34,0.85,120002,35,0.85,120006,0.0007868024062704446
34,0.85,120002,35,0.85,120007,0.001178911068637943
34,0.85,120002,35,0.85,120008,0.0008557055471357811
34,0.85,120002,35,0.85,120009,0.0013673397958428584
34,0.85,120002,35,0.85,120010,0.0020174085782488395
34,0.85,120002,35,0.85,120011,0.001675047526917294
34,0.85,120002,35,0.85,120012,0.002001471000944498
