N,n,seed_a,seed_b,d_l2
36,0.85,120000,120001,0.0006652758637406885
36,0.85,120000,120002,0.0015256868606329734
36,0.85,120000,120003,0.0007486066808979679
36,0.85,120000,120004,0.0009001209812666734
36,0.85,120000,120005,0.0026991306279493935
36,0.85,120000,120006,0.0014831592200857916
36,0.85,120000,120007,0.0008999559154568279
36,0.85,120000,120008,0.0005672220044001406
36,0.85,120000,120009,0.000692073880635838
36,0.85,120000,120010,0.0006516223632347307
36,0.85,120000,120011,0.0006963119405069654
36,0.85,120000,120012,0.0010373818357856618
36,0.85,120000,120013,0.000682021122655225
36,0.85,120000,120014,0.0006652796160043788
36,0.85,120000,120015,0.0004901279928012378
36,0.85,120000,120016,0.0006031267580326622
36,0.85,120000,120017,0.0002979210129844018
36,0.85,120000,120018,0.0008206688358748984
36,0.85,120000,120019,0.0005290571470659911
36,0.85,120001,120002,0.0011613813733188445
36,0.85,120001,120003,0.00021134127534622467
36,0.85,120001,120004,0.0013275669595669611
36,0.85,120001,120005,0.0022665848737162004
36,0.85,120001,120006,0.0008529837749295319
36,0.85,120001,120007,0.00027432364382350073
36,0.85,120001,120008,0.0005991508822068723
36,0.85,120001,120009,0.0009784864628402511
36,0.85,120001,120010,0.000597784577018359
36,0.85,120001,120011,0.00014920549655657612
36,0.85,120001,120012,0.0004296815293916184
36,0.85,120001,120013,0.0008996331708456773
36,0.85,120001,120014,0.00019973308580715658
36,0.85,120001,120015,0.0006084899368503682
36,0.85,120001,120016,0.00011276735634862732
36,0.85,120001,120017,0.0006532307321763593
36,0.85,120001,120018,0.00024313994806446604
36,0.85,120001,120019,0.0008726849837482692
36,0.85,120002,120003,0.0013287155899572027
36,0.85,120002,120004,0.002391460868712195
36,0.85,120002,120005,0.001187370039793292
36,0.85,120002,120006,0.0008414804420325856
36,0.85,120002,120007,0.0009697876320609701
36,0.85,120002,120008,0.0009980722363381075
36,0.85,120002,120009,0.002087383592586974
36,0.85,120002,120010,0.0017455826758399078
36,0.85,120002,120011,0.001262775306150505
36,0.85,120002,120012,0.0008336470991037322
36,0.85,120002,120013,0.0020267039195438316
36,0.85,120002,120014,0.0010007599082181992
36,0.85,120002,120015,0.0017320025951285485
36,0.85,120002,120016,0.0011161648545269219
36,0.85,120002,120017,0.0016848235262208941
36,0.85,120002,120018,0.0012318696928257241
36,0.85,120002,120019,0.0019528091799657563
36,0.85,120003,120004,0.0012745318763673385
36,0.85,120003,120005,0.002391895333855405
36,0.85,120003,120006,0.0009000223309314581
36,0.85,120003,120007,0.0003794824882293143
36,0.85,120003,120008,0.000780472921093
36,0.85,120003,120009,0.0009100529586841719
36,0.85,120003,120010,0.0005039419915172125
36,0.85,120003,120011,0.00018276320465178002
36,0.85,120003,120012,0.0005372369880331596
36,0.85,120003,120013,0.0008118749189783826
36,0.85,120003,120014,0.0004080282884540037
36,0.85,120003,120015,0.0005453441899306683
36,0.85,120003,120016,0.0003136665104627167
36,0.85,120003,120017,0.0006531630680146217
36,0.85,120003,120018,0.0002639403424304734
36,0.85,120003,120019,0.000823694140176722
36,0.85,120004,120005,0.003553872608953426
36,0.85,120004,120006,0.0021630666108787035
36,0.85,120004,120007,0.00159252220222713
36,0.85,120004,120008,0.0014557214010786552
36,0.85,120004,120009,0.0003787667002501808
36,0.85,120004,120010,0.0008260381435285536
