N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
54,0.9,121000,71960,44537,693568,34818,44536,8.178599252152624,1.1129663876934457,0.9981203007518797,15.809396867401848,False,0
54,0.9,121001,72707,44361,692699,34177,44360,7.686039790265592,1.0459375349377187,0.9980806142034548,15.360320048906189,False,0
54,0.9,121002,91443,48885,674126,29883,48884,7.925894492201695,1.0785776256127633,0.9926062846580407,13.526883115283612,False,0
54,0.9,121003,74960,44810,690622,33986,44807,8.383717667873546,1.1408794685470198,0.9949066213921901,13.302913060536381,False,0
54,0.9,121004,65964,41351,699465,37549,41348,8.070500279537292,1.0982559807697427,0.9963570127504554,13.270816447022492,False,0
54,0.9,121005,62976,41200,702680,37623,41200,7.967326164452206,1.08421576206854,0.9981308411214953,14.457748130908303,False,0
54,0.9,121006,82441,46459,683004,32457,46451,7.791359515829717,1.0602697342422778,0.9964664310954063,13.563703345788046,False,0
54,0.9,121007,61473,38941,703937,40200,38940,8.058658289955824,1.096644490102301,0.9982142857142857,13.928678733232562,False,0
54,0.9,121008,63726,41827,701774,37125,41825,8.15256943078623,1.109424177668809,0.998211091234347,14.043036295538748,False,0
54,0.9,121009,78704,47134,686733,31599,47129,8.151257776093768,1.109245684073517,0.9982046678635548,13.418884104369246,False,0
54,0.9,121010,71204,43730,694298,35095,43729,8.146231645421834,1.1085617143220285,1.0,14.667490995130997,False,0
54,0.9,121011,79419,42206,686075,36183,42205,8.158448009635297,1.1102241509239719,0.9981818181818182,13.868867015336408,False,0
54,0.9,121012,71954,46020,693562,32603,46018,7.972834354339301,1.0849653317701922,0.9964285714285714,13.10028005505017,False,0
54,0.9,121013,84664,44968,680811,33694,44965,8.071048128845355,1.0983305336175588,0.9942084942084942,14.796570125494972,False,0
54,0.9,121014,82445,48627,683054,29902,48626,8.353218143826792,1.1367290090296702,0.9963963963963964,13.92353543212056,False,0
54,0.9,121015,57715,36652,707751,42620,36647,8.044977236492507,1.0947827345395862,0.9945054945054945,14.776605915748783,False,0
54,0.9,121016,69710,44109,695837,34837,44109,8.148515848497345,1.1088725549889118,0.9967105263157895,12.842838492619784,False,0
54,0.9,121017,73461,45421,692045,33006,45418,7.855115185091198,1.068945781903404,0.993103448275862,13.276763015456527,False,0
54,0.9,121018,70458,44859,695065,33766,44856,8.210525826624973,1.117311044176347,0.9946808510638298,13.077584731698868,False,0
54,0.9,121019,85436,47106,679968,31223,47104,8.072973215759383,1.0985925047647742,0.9964476021314387,13.62578662512567,False,0
56,0.9,121000,55486,39403,738524,42427,39403,8.446424411599907,1.1287009389818048,0.9966273187183811,13.584927167985754,False,0
56,0.9,121001,62216,40397,731661,41131,40396,7.954520219675357,1.0629674763639634,0.9931389365351629,13.995744374162115,False,0
56,0.9,121002,63728,42875,730252,38393,42870,8.142904105522009,1.0881413320077957,0.9945054945054945,14.920277814789621,False,0
56,0.9,121003,51727,36795,742253,44559,36793,8.132565200208543,1.0867597376707496,0.9983818770226537,12.988805283596648,False,0
56,0.9,121004,43494,32918,750456,48502,32918,8.429830584949125,1.126483495622421,0.9982608695652174,13.905706360556307,False,0
56,0.9,121005,50234,36357,743773,45446,36355,8.099768527179112,1.082377097888529,0.9965156794425087,14.354744690192598,False,0
56,0.9,121006,48734,35507,745310,46364,35507,8.072797886065645,1.0787729943689492,0.9982363315696648,13.839485022496579,False,0
56,0.9,121007,53236,37797,740877,44329,37794,8.228463389442517,1.099574672246662,0.9929203539823008,14.940659741276166,False,0
56,0.9,121008,54732,38725,739254,42915,38720,8.241301280454778,1.1012902075943987,0.9964850615114236,13.503773686325962,False,0
56,0.9,121009,53983,38731,740009,43046,38729,8.352931631544214,1.11620744072804,1.0,14.73570518357299,False,0
56,0.9,121010,50980,37159,742986,43880,37159,8.159945746880265,1.0904186171246124,0.9891107078039928,15.377768600955799,False,0
56,0.9,121011,71208,43924,722678,37170,43921,8.138467505702671,1.0875484664190034,0.9966044142614601,13.554782705359997,False,0
56,0.9,121012,50986,36487,742857,44567,36486,7.899784769011165,1.0556531441033894,1.0,13.441994598245097,False,0
56,0.9,121013,49490,35847,744449,45318,35845,8.213328600764717,1.0975522010376066,1.0,14.372775276574078,False,0
56,0.9,121014,56220,38406,737690,43043,38403,8.173497611584155,1.0922295612201078,0.9948892674616695,13.186212216834369,False,0
56,0.9,121015,65215,42040,728759,39376,42038,7.878505601524069,1.0528095957386574,0.9949832775919732,14.09037214821097,False,0
56,0.9,121016,52486,37204,741538,44668,37203,8.351870185583905,1.1160655990452524,0.9945255474452555,14.082806595064131,False,0
56,0.9,121017,53978,38762,739957,42660,38760,8.446768384143565,1.1287469042464058,0.9967320261437909,12.455131798058678,False,0
56,0.9,121018,47241,35204,746740,46503,35203,8.336736734861514,1.114043306628009,0.991652754590985,13.176769787527606,False,0
56,0.9,121019,53984,38581,740073,42757,38579,8.058681161353382,1.0768865676797816,0.9950738916256158,13.315686579721,False,0
58,0.9,121000,45743,34440,776839,50476,34439,8.298548717222513,1.0896528299711146,0.9967213114754099,14.184110285056626,False,0
58,0.9,121001,52483,37378,769954,46452,37376,8.3378156276442,1.0948088279080086,0.9966499162479062,14.852927301560108,False,0
58,0.9,121002,41241,31910,781261,52482,31907,8.209873208146943,1.0780091651923815,0.9982608695652174,14.830776947287552,False,0
58,0.9,121003,38987,30666,783426,53931,30665,8.63158033827521,1.133382024161035,0.998330550918197,13.891244105957158,False,0
58,0.9,121004,50983,36940,771476,47065,36937,8.31544387674024,1.0918712730999833,0.9965753424657534,13.870704072660146,False,0
58,0.9,121005,56227,39871,766177,44364,39870,8.254025580634123,1.083806655725967,0.9927536231884058,15.950953940546318,False,0
58,0.9,121006,41242,32035,781236,52308,32034,8.611208986693242,1.1307071346522757,0.9900826446280991,13.604859301225053,False,0
58,0.9,121007,45743,34449,776875,50733,34447,8.347870349381653,1.0961290775527506,0.9963963963963964,14.887181701782463,False,0
58,0.9,121008,42746,32813,779845,52205,32811,8.247949060590523,1.0830087695548412,0.9982332155477032,15.030972716040498,False,0
58,0.9,121009,44994,33876,777552,50859,33874,8.577815342435612,1.1263223343446196,0.9966887417218543,13.383366992876878,False,0
58,0.9,121010,41243,31917,781343,52989,31916,8.223651355394157,1.0798183245588293,0.9948979591836735,14.280271669913159,False,0
58,0.9,121011,50983,36737,771528,47144,36736,8.051769738955647,1.0572491626301255,1.0,13.88451713909369,False,0
58,0.9,121012,43490,33301,778907,50999,33300,8.32291999137628,1.092852935044492,0.9982300884955753,14.218437681508302,False,0
58,0.9,121013,44238,33417,778245,50815,33415,8.436277426720237,1.1077374955176336,0.9950576606260296,14.140505076455034,False,0
58,0.9,121014,54725,38245,767644,45819,38240,8.734211213434126,1.1468581182794237,0.9967159277504105,13.981606006615381,False,0
58,0.9,121015,42740,32943,779783,51871,32942,8.401913354478397,1.103225271773024,0.9982758620689656,14.42201635915435,False,0
58,0.9,121016,42746,32978,779736,51826,32974,8.248725039124624,1.0831106605281298,0.9983766233766234,13.366107442602317,False,0
58,0.9,121017,43484,33329,778965,51361,33327,8.225804708565573,1.080101073682455,0.9967373572593801,13.296298610607508,False,0
58,0.9,121018,43490,33339,778964,51007,33338,8.488363699273062,1.1145767581675046,0.9930313588850174,14.518141913724067,False,0
58,0.9,121019,47980,35263,774537,48719,35261,8.335073312329843,1.0944487442663038,0.9915540540540541,13.36273585917077,False,0
