N,n,seed_a,seed_b,d_l2
14,0.75,102000,102001,0.0012440116954501104
14,0.75,102000,102002,0.0016131688194355894
14,0.75,102000,102003,0.0021424774346970096
14,0.75,102000,102004,0.0017866601986510752
14,0.75,102000,102005,0.0013048894007626035
14,0.75,102000,102006,0.0018453731329521618
14,0.75,102000,102007,0.0014315004261441844
14,0.75,102000,102008,0.0013266328511314443
14,0.75,102000,102009,0.0010389792418636229
14,0.75,102001,102002,0.0005268142858834176
14,0.75,102001,102003,0.001399916061405125
14,0.75,102001,102004,0.0008227245815600104
14,0.75,102001,102005,0.0008584038570414018
14,0.75,102001,102006,0.0008140025487878052
14,0.75,102001,102007,0.0002764228229559521
14,0.75,102001,102008,0.0005913384518264563
14,0.75,102001,102009,0.00024149813901794978
14,0.75,102002,102003,0.0009229082886357424
14,0.75,102002,102004,0.00031654995825634066
14,0.75,102002,102005,0.0006926069387808282
14,0.75,102002,102006,0.0002909135815697311
14,0.75,102002,102007,0.00028975244393288443
14,0.75,102002,102008,0.00041091513105989095
14,0.75,102002,102009,0.0006565124218814339
14,0.75,102003,102004,0.0006447611390085806
14,0.75,102003,102005,0.0009197837238434472
14,0.75,102003,102006,0.0006875737014656303
14,0.75,102003,102007,0.0011650313409771722
14,0.75,102003,102008,0.0009245975336773314
14,0.75,102003,102009,0.0014314361104284022
14,0.75,102004,102005,0.0006410461801487782
14,0.75,102004,102006,0.00014182581332503242
14,0.75,102004,102007,0.0005964020821552961
14,0.75,102004,102008,0.00046694472783416697
14,0.75,102004,102009,0.0009202512571294136
14,0.75,102005,102006,0.0007560515568768967
14,0.75,102005,102007,0.0007861134715355674
14,0.75,102005,102008,0.0003027133131877586
14,0.75,102005,102009,0.0008139019003374204
14,0.75,102006,102007,0.0005666263978021719
14,0.75,102006,102008,0.0005510347683033552
14,0.75,102006,102009,0.0009303674828713311
14,0.75,102007,102008,0.0004876060985941637
14,0.75,102007,102009,0.0004172150650763962
14,0.75,102008,102009,0.0005920458710127893
