N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
14,0.75,102000,130983,45157,67976,5364,45156,3.2872455745633524,0.8785533347289226,0.9361111111111111,3.656719662298019,False,0
14,0.75,102001,148961,47859,50027,2473,47859,0.8223901647883145,0.2197930167778883,0.978494623655914,3.764097196246268,False,0
14,0.75,102002,139926,46294,59036,3900,46294,1.3951005913364831,0.3728563166333461,0.9652173913043478,3.7236617025444145,False,0
14,0.75,102003,110056,42910,88904,7936,42909,1.5603827196118443,0.4170298235021478,0.9622641509433962,3.175162994379339,False,0
14,0.75,102004,126505,44900,72445,5510,44900,0.9048122858653236,0.24182125521798595,0.9710982658959537,3.73568079803192,False,0
14,0.75,102005,129515,44811,69452,5804,44808,2.9280858166705244,0.7825638517895197,0.9606060606060606,3.9196116830114947,False,0
14,0.75,102006,136993,47090,61981,3211,47088,0.6831737053371519,0.1825858529303199,0.956268221574344,3.8759656586015723,False,0
14,0.75,102007,151176,48555,47776,1901,48555,2.741943301015261,0.7328151718827912,0.9579579579579579,3.83548559806633,False,0
14,0.75,102008,134739,46351,64265,4391,46348,1.7327768833884392,0.46310410181153444,0.9476584022038568,3.344655956686665,False,0
14,0.75,102009,132480,45252,66464,5576,45252,0.8142561751391072,0.21761911660253833,0.970108695652174,3.4513904984348867,False,0
18,0.75,102000,37486,28147,218466,36790,28147,4.676864889251866,1.1023476259610887,0.9766454352441614,3.5496706704778083,False,0
18,0.75,102001,36745,27585,219218,37386,27584,0.9686547430723036,0.22831411248497963,0.9462809917355371,3.277611831743325,False,0
18,0.75,102002,36744,27302,219226,37675,27302,4.425944358430909,1.0432050896669465,0.976545842217484,3.5549369668913666,False,0
18,0.75,102003,30746,24502,225218,40548,24501,4.576067708463581,1.0785895026077945,0.9659090909090909,4.009768742351129,False,0
18,0.75,102004,39736,28905,216272,35609,28904,0.055347843565532864,0.013045611836413505,0.9716157205240175,3.784015434038148,False,0
18,0.75,102005,38234,28466,217714,36609,28466,4.565054232568016,1.0759936014443985,0.971830985915493,3.7616715724857355,False,0
18,0.75,102006,39738,28959,216290,36235,28957,4.721981438732122,1.1129816986548313,0.9664570230607966,3.3210944899797115,False,0
18,0.75,102007,32244,25159,223743,39721,25158,2.5846313257735916,0.6092034457738945,0.9552572706935123,3.4197904872860847,False,0
18,0.75,102008,40477,28545,215471,36647,28542,0.48668834287647245,0.11471354252413242,0.9710467706013363,3.7958683788869316,False,0
18,0.75,102009,38246,28624,217745,36342,28623,1.0414540380356099,0.2454730708630308,0.9671772428884027,3.6278712502901627,False,0
22,0.75,102000,20248,17762,292720,61357,17762,0.4651617341397671,0.09917281493981635,0.9668989547038328,3.385883102606654,False,0
22,0.75,102001,20999,18195,291987,60919,18195,5.006370230640038,1.0673617195138587,0.9506172839506173,3.575920196736688,False,0
22,0.75,102002,20999,18194,291973,61013,18192,5.29418789712953,1.1287246521892185,0.9549393414211439,3.2424676073055037,False,0
22,0.75,102003,23252,20014,289741,59278,20012,5.0491475767393625,1.0764818803460265,0.9808695652173913,3.6121846381257607,False,0
22,0.75,102004,20248,17674,292749,61245,17674,5.287539142846677,1.127307133013242,0.9625668449197861,3.4560047198346324,False,0
22,0.75,102005,20998,18344,291970,60555,18344,5.017020340764977,1.0696323306217617,0.9586330935251799,3.4634220221385004,False,0
22,0.75,102006,17251,15374,295718,64057,15373,5.202568686188592,1.1091913707846748,0.9669117647058824,3.6515631863350517,False,0
22,0.75,102007,21001,18187,291996,60903,18186,5.017268442729581,1.0696852261383445,0.9669724770642202,3.787351025621192,False,0
22,0.75,102008,20997,18101,291993,61467,18101,5.185361040987207,1.1055226885009464,0.963302752293578,3.8010096268250972,False,0
22,0.75,102009,25498,20997,287507,58648,20997,0.30087312295376595,0.06414636534589255,0.9566787003610109,3.830558272198675,False,0
