N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
28,0.9,105000,28,0.9,105001,0.0004249962381716451
28,0.9,105000,28,0.9,105002,0.00023390611826059566
28,0.9,105000,28,0.9,105003,0.00042067187983927935
28,0.9,105000,28,0.9,105004,0.00038540339855974254
28,0.9,105000,28,0.9,105005,0.0002968111667438018
28,0.9,105000,28,0.9,105006,0.0006126308816171334
28,0.9,105000,28,0.9,105007,0.000861063131225249
28,0.9,105000,28,0.9,105008,0.0009631573401787531
28,0.9,105000,28,0.9,105009,0.0008545765440931603
28,0.9,105000,32,0.9,105000,0.0011650819381058685
28,0.9,105000,32,0.9,105001,0.0012233805306638543
28,0.9,105000,32,0.9,105002,0.0012506169768994502
28,0.9,105000,32,0.9,105003,0.0011632593782441305
28,0.9,105000,32,0.9,105004,0.001068425247727463
28,0.9,105000,32,0.9,105005,0.001267839947940038
28,0.9,105000,32,0.9,105006,0.001188858075507402
28,0.9,105000,32,0.9,105007,0.0013818822272862806
28,0.9,105000,32,0.9,105008,0.0008100371791441575
28,0.9,105000,32,0.9,105009,0.0013174559844223383
28,0.9,105000,40,0.9,105000,0.002326897661765432
28,0.9,105000,40,0.9,105001,0.0021787316441428156
28,0.9,105000,40,0.9,105002,0.00273125279283179
28,0.9,105000,40,0.9,105003,0.0023555482356944456
28,0.9,105000,40,0.9,105004,0.002366810982061086
28,0.9,105000,40,0.9,105005,0.0025152266993204893
28,0.9,105000,40,0.9,105006,0.002347441132951847
28,0.9,105000,40,0.9,105007,0.002211592496081088
28,0.9,105000,40,0.9,105008,0.002175767104725444
28,0.9,105000,40,0.9,105009,0.0021968375502676063
28,0.9,105001,28,0.9,105002,0.00033776221221179124
28,0.9,105001,28,0.9,105003,0.00043994414023858084
28,0.9,105001,28,0.9,105004,7.538875607660957e-05
28,0.9,105001,28,0.9,105005,0.00016968384821915516
28,0.9,105001,28,0.9,105006,0.00025970000531267226
28,0.9,105001,28,0.9,105007,0.0005940942795551002
28,0.9,105001,28,0.9,105008,0.0010026646554314352
28,0.9,105001,28,0.9,105009,0.0010248344673653444
28,0.9,105001,32,0.9,105000,0.0009043274390511929
28,0.9,105001,32,0.9,105001,0.0010513371116591442
28,0.9,105001,32,0.9,105002,0.0009142384864466885
28,0.9,105001,32,0.9,105003,0.0007958607394851336
28,0.9,105001,32,0.9,105004,0.0006907282673374078
28,0.9,105001,32,0.9,105005,0.0010094125201310104
28,0.9,105001,32,0.9,105006,0.0008211629878038182
28,0.9,105001,32,0.9,105007,0.0012022235751711267
28,0.9,105001,32,0.9,105008,0.0005901582581214461
28,0.9,105001,32,0.9,105009,0.0011962078493692762
28,0.9,105001,40,0.9,105000,0.0020461349183462075
28,0.9,105001,40,0.9,105001,0.001899417829443897
28,0.9,105001,40,0.9,105002,0.00251032028359084
28,0.9,105001,40,0.9,105003,0.0021165831454555643
28,0.9,105001,40,0.9,105004,0.0020029302501714938
28,0.9,105001,40,0.9,105005,0.002297476793677112
28,0.9,105001,40,0.9,105006,0.0020666239111310804
28,0.9,105001,40,0.9,105007,0.0018866470114444756
28,0.9,105001,40,0.9,105008,0.0017957171853174427
28,0.9,105001,40,0.9,105009,0.0018411538268347774
28,0.9,105002,28,0.9,105003,0.00020518201806718283
28,0.9,105002,28,0.9,105004,0.000298330583288798
28,0.9,105002,28,0.9,105005,0.00021163552095766712
28,0.9,105002,28,0.9,105006,0.0005818194951226238
28,0.9,105002,28,0.9,105007,0.0008858490822966278
28,0.9,105002,28,0.9,105008,0.0007950617205739693
28,0.9,105002,28,0.9,105009,0.0007421559041658792
28,0.9,105002,32,0.9,105000,0.0009574939477458381
