N_a,n_a,seed_a,N_b,n_b,seed_b,d_l2
16,0.75,112000,16,0.75,112001,0.0006451509021456646
16,0.75,112000,16,0.75,112002,0.0008627378155437148
16,0.75,112000,16,0.75,112003,0.0009968165957310942
16,0.75,112000,16,0.75,112004,0.0004369783133899541
16,0.75,112000,16,0.75,112005,0.00031514630008113326
16,0.75,112000,16,0.75,112006,0.00022461563884390614
16,0.75,112000,16,0.75,112007,0.0008743386835919229
16,0.75,112000,16,0.75,112008,0.0002752377661131131
16,0.75,112000,16,0.75,112009,0.000342328984041356
16,0.75,112000,16,0.75,112010,0.0005501045272582985
16,0.75,112000,16,0.75,112011,0.0012540621258501142
16,0.75,112000,16,0.75,112012,0.0012902939546257956
16,0.75,112000,16,0.75,112013,0.0009247315490123605
16,0.75,112000,16,0.75,112014,0.0006847373425491586
16,0.75,112000,16,0.75,112015,0.000996029097886465
16,0.75,112000,16,0.75,112016,0.0002948631724282714
16,0.75,112000,16,0.75,112017,0.0005286390316657382
16,0.75,112000,16,0.75,112018,0.0008237764584246674
16,0.75,112000,16,0.75,112019,0.0004114281358673555
16,0.75,112000,17,0.75,112000,0.0011794367369601323
16,0.75,112000,17,0.75,112001,0.0014495818752915412
16,0.75,112000,17,0.75,112002,0.0004667574834539969
16,0.75,112000,17,0.75,112003,0.0016113581747019656
16,0.75,112000,17,0.75,112004,0.002357011455920821
16,0.75,112000,17,0.75,112005,0.0027969458232877838
16,0.75,112000,17,0.75,112006,0.0015830311520430324
16,0.75,112000,17,0.75,112007,0.00038856251562591237
16,0.75,112000,17,0.75,112008,0.001705445447009695
16,0.75,112000,17,0.75,112009,0.0019430342418184877
16,0.75,112000,17,0.75,112010,0.0012726559463479604
16,0.75,112000,17,0.75,112011,0.0018466300526393366
16,0.75,112000,17,0.75,112012,0.001857778512127357
16,0.75,112000,17,0.75,112013,0.001641254777503263
16,0.75,112000,17,0.75,112014,0.002312031268742229
16,0.75,112000,17,0.75,112015,0.001079305699857156
16,0.75,112000,17,0.75,112016,0.0019477270777529868
16,0.75,112000,17,0.75,112017,0.0017836782449158787
16,0.75,112000,17,0.75,112018,0.0007955147211366175
16,0.75,112000,17,0.75,112019,0.0008985462688545429
16,0.75,112000,18,0.75,112000,0.002025345913812667
16,0.75,112000,18,0.75,112001,0.002371271415662434
16,0.75,112000,18,0.75,112002,0.002843537310260409
16,0.75,112000,18,0.75,112003,0.002203084840271612
16,0.75,112000,18,0.75,112004,0.0009355751420480075
16,0.75,112000,18,0.75,112005,0.002538583967775062
16,0.75,112000,18,0.75,112006,0.002495923965179189
16,0.75,112000,18,0.75,112007,0.0038506298001936795
16,0.75,112000,18,0.75,112008,0.0011593769519415576
16,0.75,112000,18,0.75,112009,0.002643909817885786
16,0.75,112000,18,0.75,112010,0.004473775263202277
16,0.75,112000,18,0.75,112011,0.0035213109441947807
16,0.75,112000,18,0.75,112012,0.0021433093878869174
16,0.75,112000,18,0.75,112013,0.0036340200768853258
16,0.75,112000,18,0.75,112014,0.001977243027903146
