N,n,seed_a,seed_b,d_l2
18,0.75,112000,112001,0.0006521698588494813
18,0.75,112000,112002,0.000855827866037786
18,0.75,112000,112003,0.0006834250245505841
18,0.75,112000,112004,0.0019580532573114785
18,0.75,112000,112005,0.0010849497421516763
18,0.75,112000,112006,0.0006011294832037336
18,0.75,112000,112007,0.002186105015125386
18,0.75,112000,112008,0.0009029526785165039
18,0.75,112000,112009,0.001230928795678912
18,0.75,112000,112010,0.0029045731470167062
18,0.75,112000,112011,0.0019713590864741
18,0.75,112000,112012,0.0005993256260845191
18,0.75,112000,112013,0.001957482187284988
18,0.75,112000,112014,0.00017431247506960484
18,0.75,112000,112015,0.000610210551569934
18,0.75,112000,112016,0.002650530891530175
18,0.75,112000,112017,0.0013035165610633418
18,0.75,112000,112018,0.0012274272490832923
18,0.75,112000,112019,0.001444628795164282
18,0.75,112001,112002,0.0006296153345075793
18,0.75,112001,112003,0.00022603270676913633
18,0.75,112001,112004,0.0024780156872611296
18,0.75,112001,112005,0.0005064292808085552
18,0.75,112001,112006,0.00029038155724086113
18,0.75,112001,112007,0.0015977069135784331
18,0.75,112001,112008,0.0013213992939710636
18,0.75,112001,112009,0.0006335240397815013
18,0.75,112001,112010,0.0023102695119745923
18,0.75,112001,112011,0.0013707432683343545
18,0.75,112001,112012,0.001143539610286133
18,0.75,112001,112013,0.001372394525045573
18,0.75,112001,112014,0.0007363059262629366
18,0.75,112001,112015,0.00014837445412716653
18,0.75,112001,112016,0.0020301744117377186
18,0.75,112001,112017,0.0007523201598452099
18,0.75,112001,112018,0.0006811149911231223
18,0.75,112001,112019,0.0008286958633802489
18,0.75,112002,112003,0.0008429398711668637
18,0.75,112002,112004,0.002801912943014264
18,0.75,112002,112005,0.0009272830736866898
18,0.75,112002,112006,0.0004257536461834396
18,0.75,112002,112007,0.0014912119120265375
18,0.75,112002,112008,0.001731266598821934
18,0.75,112002,112009,0.001016670194899617
18,0.75,112002,112010,0.0022187777631750387
18,0.75,112002,112011,0.001389980009292156
18,0.75,112002,112012,0.0011479030824842107
18,0.75,112002,112013,0.00127897130990552
18,0.75,112002,112014,0.000928850525204074
18,0.75,112002,112015,0.000632020813067944
18,0.75,112002,112016,0.0021114678304120144
18,0.75,112002,112017,0.0007564081072076127
18,0.75,112002,112018,0.0005685919668528404
18,0.75,112002,112019,0.0010824366848539695
18,0.75,112003,112004,0.0023700343709489096
18,0.75,112003,112005,0.0004902266046226182
18,0.75,112003,112006,0.0004819017054791345
18,0.75,112003,112007,0.0017079290110550364
18,0.75,112003,112008,0.0012000380027638795
18,0.75,112003,112009,0.0006170773233887956
18,0.75,112003,112010,0.0023994670653531163
18,0.75,112003,112011,0.0014456767998312376
18,0.75,112003,112012,0.001199523900238877
18,0.75,112003,112013,0.001485702157874339
18,0.75,112003,112014,0.0007569147115118426
18,0.75,112003,112015,0.00025869278506699403
18,0.75,112003,112016,0.0020670828789751583
18,0.75,112003,112017,0.0008736502834819013
18,0.75,112003,112018,0.0008508396249984088
18,0.75,112003,112019,0.0008520455558608122
18,0.75,112004,112005,0.0028002984657097022
18,0.75,112004,112006,0.002498745423364019
18,0.75,112004,112007,0.0040666642282198165
18,0.75,112004,112008,0.0011753053660426254
18,0.75,112004,112009,0.0029305235632380005
18,0.75,112004,112010,0.004758374733520427
18,0.75,112004,112011,0.0037957120944662795
18,0.75,112004,112012,0.0018111725897824269
18,0.75,112004,112013,0.0038400495754933065
18,0.75,112004,112014,0.0018818764889793028
18,0.75,112004,112015,0.002445879318583913
18,0.75,112004,112016,0.004386098838045238
18,0.75,112004,112017,0.00318504836988692
18,0.75,112004,112018,0.003131106997797425
18,0.75,112004,112019,0.0031863174809885044
18,0.75,112005,112006,0.000752320092677339
18,0.75,112005,112007,0.0013186062484422964
18,0.75,112005,112008,0.001630478147417552
18,0.75,112005,112009,0.00015367627796522213
18,0.75,112005,112010,0.001969445342594826
18,0.75,112005,112011,0.0010055051860764998
18,0.75,112005,112012,0.0016285667709381268
18,0.75,112005,112013,0.0011018769880592378
18,0.75,112005,112014,0.0011749603969344016
18,0.75,112005,112015,0.0005103397686282694
18,0.75,112005,112016,0.0016095924421025603
18,0.75,112005,112017,0.000526978690762416
18,0.75,112005,112018,0.0006964875313480883
18,0.75,112005,112019,0.0004036668370998548
18,0.75,112006,112007,0.0016456399048284786
18,0.75,112006,112008,0.0013865603085379183
18,0.75,112006,112009,0.0008651881627813426
18,0.75,112006,112010,0.0023782387164723298
18,0.75,112006,112011,0.0014781174336510458
18,0.75,112006,112012,0.0009782436124022638
18,0.75,112006,112013,0.0014237857923293119
18,0.75,112006,112014,0.0006712223237944698
18,0.75,112006,112015,0.0003417241969619938
18,0.75,112006,112016,0.0021672763907762695
18,0.75,112006,112017,0.0008383338363244327
18,0.75,112006,112018,0.0006566292814541565
18,0.75,112006,112019,0.0010118861294436412
18,0.75,112007,112008,0.0028994641358393203
18,0.75,112007,112009,0.001214843259005523
18,0.75,112007,112010,0.0007389182589254006
18,0.75,112007,112011,0.00040207042284434393
18,0.75,112007,112012,0.002597029284640687
18,0.75,112007,112013,0.0002344512627932247
18,0.75,112007,112014,0.00226852382275412
18,0.75,112007,112015,0.0016280162732680834
18,0.75,112007,112016,0.0007804229986821565
18,0.75,112007,112017,0.0009142405434689778
18,0.75,112007,112018,0.00100399809265132
18,0.75,112007,112019,0.0009631742796258991
18,0.75,112008,112009,0.0017601569656465587
18,0.75,112008,112010,0.0035869331701186198
18,0.75,112008,112011,0.0026253653564299166
18,0.75,112008,112012,0.0010326765204033716
18,0.75,112008,112013,0.0026748981998045247
18,0.75,112008,112014,0.0008454555021060974
18,0.75,112008,112015,0.001290915112990095
18,0.75,112008,112016,0.0032185827664290593
18,0.75,112008,112017,0.0020292017057342237
18,0.75,112008,112018,0.001989054530050288
18,0.75,112008,112019,0.002014607783635207
18,0.75,112009,112010,0.001847410100040344
18,0.75,112009,112011,0.0008880565936325929
18,0.75,112009,112012,0.0017659886982829
18,0.75,112009,112013,0.0010064183097583666
18,0.75,112009,112014,0.0013173614035945557
18,0.75,112009,112015,0.000647366843596562
18,0.75,112009,112016,0.001468618903038887
18,0.75,112009,112017,0.0005084742881313265
18,0.75,112009,112018,0.000701640627503223
18,0.75,112009,112019,0.0002710491448107573
18,0.75,112010,112011,0.0009666068486115451
18,0.75,112010,112012,0.0033317808874628583
18,0.75,112010,112013,0.0009564052454259964
18,0.75,112010,112014,0.002988406034715491
18,0.75,112010,112015,0.002335174055167526
18,0.75,112010,112016,0.0006385908804431165
18,0.75,112010,112017,0.0016087369502413716
18,0.75,112010,112018,0.0017388383989339578
18,0.75,112010,112019,0.0015861709099713945
18,0.75,112011,112012,0.0024417125772819067
18,0.75,112011,112013,0.0002982039971236995
18,0.75,112011,112014,0.002057711564903733
18,0.75,112011,112015,0.001388826204917445
18,0.75,112011,112016,0.0007269153273498936
18,0.75,112011,112017,0.0006863843384593
18,0.75,112011,112018,0.0008974476626524795
18,0.75,112011,112019,0.0006306443455485196
18,0.75,112012,112013,0.0023783372859059546
18,0.75,112012,112014,0.0005187188910214538
18,0.75,112012,112015,0.0011273351263282258
18,0.75,112012,112016,0.003137609980588463
18,0.75,112012,112017,0.0017779680771173546
18,0.75,112012,112018,0.0016059420667016296
18,0.75,112012,112019,0.001954876901235711
18,0.75,112013,112014,0.00204201563164427
18,0.75,112013,112015,0.0014017678755498073
18,0.75,112013,112016,0.000897025067469377
18,0.75,112013,112017,0.0006839994577018052
18,0.75,112013,112018,0.0007880196032478713
18,0.75,112013,112019,0.0007648032674481538
18,0.75,112014,112015,0.0006891546657150038
18,0.75,112014,112016,0.0027340824717433827
18,0.75,112014,112017,0.0013985641246001242
18,0.75,112014,112018,0.001302911268247301
18,0.75,112014,112019,0.0015255877166527796
18,0.75,112015,112016,0.0020537727131123315
18,0.75,112015,112017,0.0007572657876382821
18,0.75,112015,112018,0.0007340383780248833
18,0.75,112015,112019,0.0008447573597555879
18,0.75,112016,112017,0.001397987324455334
18,0.75,112016,112018,0.0015927291055847087
18,0.75,112016,112019,0.0012221014240009574
18,0.75,112017,112018,0.0004030865492505423
18,0.75,112017,112019,0.0004285676573229053
18,0.75,112018,112019,0.0006555189724094209
