seed_a,seed_b,d_l2
77000,77001,0.0012057662571582015
77000,77002,0.0009054488605084507
77000,77003,0.0008641304348294775
77000,77004,0.0010079656055905935
77000,77005,0.0015182000461680702
77000,77006,0.002215481853498978
77000,77007,0.0006708515146695845
77000,77008,0.00091424259952025
77000,77009,0.0013856787191303462
77000,77010,0.0009270338152565596
77000,77011,0.0012193256561998718
77000,77012,0.0009037123474817954
77000,77013,0.0012164625764785693
77000,77014,0.002317702252231945
77000,77015,0.0011533150391327086
77000,77016,0.001428328842893818
77000,77017,0.0016349277656573127
77000,77018,0.0009505915009269443
77000,77019,0.000889219300948745
77001,77002,0.0014534012483902988
77001,77003,0.0016702579522345823
77001,77004,0.0004627304726134403
77001,77005,0.0004595748857510744
77001,77006,0.003184853493043717
77001,77007,0.001628344381586849
77001,77008,0.00034700043078700685
77001,77009,0.0002736383218767564
77001,77010,0.0006671625840409544
77001,77011,0.0006768335158128513
77001,77012,0.00031553653255231377
77001,77013,0.0009608285457846017
77001,77014,0.0011245692820121202
77001,77015,0.001309419217955933
77001,77016,0.00024987346033201265
77001,77017,0.00044066459864970333
77001,77018,0.0008536798639653773
77001,77019,0.0012640459960437103
77002,77003,0.000379145470590968
77002,77004,0.001024294745188578
77002,77005,0.0015237163335168123
77002,77006,0.0017711899452649324
77002,77007,0.0004917456448690554
77002,77008,0.0011385645791190582
77002,77009,0.0015006281464159598
77002,77010,0.0008146551553182553
77002,77011,0.0010118901683280354
77002,77012,0.001267875800285306
77002,77013,0.0007789426370101416
77002,77014,0.0024096266212173703
77002,77015,0.0004222552588222619
77002,77016,0.0016618040789080281
77002,77017,0.001792202322816438
77002,77018,0.000655972619714609
77002,77019,0.00021508347022102051
77003,77004,0.001264487737495501
77003,77005,0.0018100875455665851
77003,77006,0.0015216486929767916
77003,77007,0.00029365674127277655
77003,77008,0.0013363144799538307
77003,77009,0.0017590224987337664
77003,77010,0.0010845934772289881
77003,77011,0.0013159027839773037
77003,77012,0.001437185536286923
77003,77013,0.0011003741030624235
77003,77014,0.0026902007926591608
77003,77015,0.0007498847361233396
77003,77016,0.00189833349064504
77003,77017,0.002045536174704844
77003,77018,0.0009599161446955685
77003,77019,0.0005652901742808115
77004,77005,0.000585998401701936
77004,77006,0.0027731983965709906
77004,77007,0.0012691723063057254
77004,77008,0.0002514098876203736
77004,77009,0.0005174605711253644
77004,77010,0.00024576842822156107
77004,77011,0.00035054128893131746
77004,77012,0.0004206843677864054
77004,77013,0.0005411834504051959
77004,77014,0.001439222796863525
77004,77015,0.0008566421714687548
77004,77016,0.0006696078883219814
77004,77017,0.0007902552435618724
77004,77018,0.0004173835450971723
77004,77019,0.0008315446536149803
77005,77006,0.00329395253012721
77005,77007,0.001806322280775891
77005,77008,0.0006360177067121968
77005,77009,0.00021267937030849742
77005,77010,0.0007327843266947525
77005,77011,0.0005422995848433687
77005,77012,0.0007176328603692493
77005,77013,0.0008501953429221837
77005,77014,0.0008885617985948634
77005,77015,0.00127160943179353
77005,77016,0.0004005734756295109
77005,77017,0.0003490079020136798
77005,77018,0.0008706515335960859
77005,77019,0.0013165227013789953
77006,77007,0.0015967517370571885
77006,77008,0.0028538365619092203
77006,77009,0.0032616019856795612
77006,77010,0.002576342901231864
77006,77011,0.002774683426097167
77006,77012,0.002947832738664492
77006,77013,0.0025093613635053316
77006,77014,0.004179195378733407
77006,77015,0.0020816093586955406
77006,77016,0.0034076634366516094
77006,77017,0.0035531588531392904
77006,77018,0.0024254382436144236
77006,77019,0.0019815134849157745
77007,77008,0.0012961344051280817
77007,77009,0.0017345226189838102
77007,77010,0.0010897047823168501
77007,77011,0.0013477237751953438
77007,77012,0.0013721093083422667
77007,77013,0.0011831135180509007
77007,77014,0.0026819576980574708
77007,77015,0.0008910991927903685
77007,77016,0.001852479249447073
77007,77017,0.0020217357941330082
77007,77018,0.0009915281286334444
77007,77019,0.0006374416847664998
77008,77009,0.0004957448923401097
77008,77010,0.0004073276701708926
77008,77011,0.0005378785265145165
77008,77012,0.0001931942810272336
77008,77013,0.0007502899482155291
77008,77014,0.0014299208363906014
77008,77015,0.0010347048965546248
77008,77016,0.0005798379233152946
77008,77017,0.0007487494357424409
77008,77018,0.0005919714719873582
77008,77019,0.00096271254368477
77009,77010,0.0006896108741162786
77009,77011,0.000587908563996763
77009,77012,0.0005447506404022705
77009,77013,0.0008967107072267184
77009,77014,0.0009544353082045254
77009,77015,0.0012939611960448934
77009,77016,0.00024068589530966595
77009,77017,0.0003018618113092673
77009,77018,0.0008617916524635166
77009,77019,0.0012989104725133155
77010,77011,0.00032166742086662777
77010,77012,0.0005788343804230669
77010,77013,0.0003956890880998356
77010,77014,0.001612372413298262
77010,77015,0.0006546309752468009
77010,77016,0.0008592071683112815
77010,77017,0.0009807144776190924
77010,77018,0.00020964154564850863
77010,77019,0.0006147570303887868
77011,77012,0.000717532102958182
77011,77013,0.0003218914264573158
77011,77014,0.0014123014792350877
77011,77015,0.000735342765020927
77011,77016,0.0008024281250981828
77011,77017,0.0008524957289326019
77011,77018,0.000377978151964671
77011,77019,0.0008082655997071684
77012,77013,0.0009369950463534183
77012,77014,0.0014329111441832825
77012,77015,0.0012035791785757488
77012,77016,0.0005472276310241924
77012,77017,0.0007489622330313489
77012,77018,0.000757565154399902
77012,77019,0.0011024653603495394
77013,77014,0.0017024938773575545
77013,77015,0.0004359841046535064
77013,77016,0.0011105833000437913
77013,77017,0.001163219217780091
77013,77018,0.00029481450225556224
77013,77019,0.0005893262569150019
77014,77015,0.0021348787968204393
77014,77016,0.0008994368607317267
77014,77017,0.0006865979777830787
77014,77018,0.001756390682355741
77014,77019,0.002201428975705017
77015,77016,0.001490901970305521
77015,77017,0.0015733053049399547
77015,77018,0.0004738271924942394
77015,77019,0.0003117689149873408
77016,77017,0.00023583919998714742
77016,77018,0.001040112484151613
77016,77019,0.0014650569179158598
77017,77018,0.0011484986986989674
77017,77019,0.0015899038710845772
77018,77019,0.00045095586693193093
