N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
24,0.8,78000,43475,31229,297607,38045,31228,5.3683534717854435,1.0958105637310758,0.9799599198396793,4.518384105031259,True,20
24,0.8,78001,51728,34990,289414,34240,34989,5.163921185340976,1.0540809980027892,0.9765957446808511,5.34679342434281,True,20
24,0.8,78002,41986,31104,299145,38078,31103,5.326368092715278,1.0872403341161394,0.9675456389452333,5.149780838928314,True,20
24,0.8,78003,45728,32224,295417,37189,32223,5.40225225003631,1.1027301228659405,0.9762419006479481,5.200691853666962,True,20
24,0.8,78004,45735,32070,295403,37256,32069,0.10470229655322116,0.02137226678774648,0.9638095238095238,4.9212662353421255,True,20
24,0.8,78005,44227,31800,296919,37846,31800,5.259666999718597,1.0736250305221564,0.9791231732776617,5.064233723760606,True,20
24,0.8,78006,50227,34661,290861,34335,34659,5.23083863466525,1.0677404651472078,0.9809523809523809,4.899758628021115,True,20
24,0.8,78007,62965,37615,278121,31563,37614,5.316780726773099,1.0852833212381665,0.9852941176470589,5.18527510013123,True,20
24,0.8,78008,50227,34881,290856,34491,34880,5.322420247390926,1.0864344835637982,0.9702380952380952,4.749013347740428,True,20
24,0.8,78009,46482,32219,294649,36862,32218,5.539572265367883,1.1307604536187337,0.9835051546391752,5.089698664958631,True,20
24,0.8,78010,47978,32160,293141,37114,32158,5.418953460835858,1.1061392432447366,0.9722222222222222,5.001758040737986,True,20
24,0.8,78011,42737,31489,298415,38159,31487,5.613431940641639,1.145836996701097,0.9776422764227642,5.123148062787535,True,20
24,0.8,78012,41984,30821,299107,38729,30818,5.146056022418353,1.0504342868917798,0.9824175824175824,5.880030548090646,True,20
24,0.8,78013,39737,29678,301368,39911,29677,5.06623791437785,1.0341414838139822,0.9739696312364425,5.136545521009442,True,20
24,0.8,78014,41233,29960,299863,40186,29960,5.351061529993292,1.0922808608933525,0.9862204724409449,5.022351555634987,True,20
24,0.8,78015,39741,29792,301335,39559,29790,5.472795071876962,1.1171296160764121,0.972972972972973,4.989754459893206,True,20
24,0.8,78016,38234,28118,302869,41242,28118,1.4621663597948207,0.2984634583800026,0.982532751091703,5.405257555188462,True,20
24,0.8,78017,49483,33722,291662,35567,33722,5.3227536334665,1.086502535711507,0.9766536964980544,4.955348940283267,True,20
24,0.8,78018,39734,29639,301402,39481,29638,5.30409111666877,1.082693065422294,0.9665271966527197,5.25886027481638,True,20
24,0.8,78019,44985,31713,296175,37876,31712,5.424343040970878,1.1072393866829566,0.9661016949152542,4.5456352880508915,True,20
